TF.ID,Target.ID,TF.alias,Target.alias,Activate/Repress,Reference,Note
AT1G32770,AT5G56110,ANAC012,AT5G56110,A,18952777,
AT1G33240,AT1G04110,AT-GTL1,SDD1,R,21169508,
AT1G34370,AT1G08430,STOP1,ALMT1,A,"19704731, 17535918, 18752686, 18826429",
AT1G34370,AT3G22200,STOP1,POP2,A,19321711,
AT1G34370,AT5G07440,STOP1,GDH2,A,19321711,
AT1G34790,AT1G61720,TT1,BAN,A,"14555692, 12368498",
AT1G35515,AT1G77120,HOS10,ADH1,R,15994234,
AT1G35515,AT2G39030,HOS10,AT2G39030,A,15994234,
AT1G35515,AT2G42540,HOS10,COR15A,R,15994234,
AT1G35515,AT5G15960,HOS10,KIN1,R,15994234,
AT1G35515,AT5G52310,HOS10,LTI78,R,15994234,
AT1G42990,AT1G09080,BZIP60,BIP3,A,"21482766, 19017746",
AT1G42990,AT2G31955,BZIP60,CNX2,A,15781873,
AT1G42990,AT5G20990,BZIP60,B73,A,15781873,
AT1G42990,AT5G28540,BZIP60,BIP1,A,19017746,
AT1G42990,AT5G42020,BZIP60,BIP2,A,"15781873, 19352029",
AT1G45249,AT1G77120,ABF2,ADH1,R,15516505,
AT1G45249,AT2G18050,ABF2,HIS1-3,A,16284313,
AT1G45249,AT5G20830,ABF2,SUS1,R,15516505,
AT1G45249,AT5G52300,ABF2,LTI65,A,"16284313, 11005831, 12084834",
AT1G45249,AT5G52310,ABF2,LTI78,R,15516505,
AT1G46768,AT1G46768,RAP2.1,RAP2.1,R,20230648,
AT1G46768,AT2G42540,RAP2.1,COR15A,R,20230648,
AT1G46768,AT5G52310,RAP2.1,LTI78,R,20230648,
AT1G47870,AT2G37640,E2FC,EXP3,R,16920782,
AT1G51700,AT5G15840,ADOF1,CO,R,17965272,
AT1G52150,AT2G17950,ATHB-15,WUS,R,17898423,
AT1G52880,AT5G61850,NAM,LFY,A,19095941,
AT1G52890,AT1G02930,ANAC019,GSTF6,A,19995345,
AT1G52890,AT1G20440,ANAC019,COR47,A,19995345,
AT1G52890,AT3G45140,ANAC019,LOX2,A,18427573,
AT1G52890,AT5G24780,ANAC019,VSP1,A,18427573,
AT1G52890,AT5G51070,ANAC019,ERD1,A,19126699,
AT1G52890,AT5G52300,ANAC019,LTI65,A,19995345,
AT1G53230,AT1G04240,TCP3,SHY2,A,21119060,
AT1G53230,AT2G37630,TCP3,AS1,A,21119060,
AT1G53910,AT1G77120,RAP2.12,ADH1,A,18441225,
AT1G54060,AT1G21970,ASIL1,LEC1,R,19155348,
AT1G54060,AT1G28300,ASIL1,LEC2,R,19155348,
AT1G54060,AT1G69180,ASIL1,CRC,R,19155348,
AT1G54060,AT2G40220,ASIL1,ABI4,R,19155348,
AT1G54060,AT3G24650,ASIL1,ABI3,R,19155348,
AT1G54060,AT3G26790,ASIL1,FUS3,R,19155348,
AT1G54060,AT3G27660,ASIL1,OLEO4,R,19155348,
AT1G54060,AT4G25140,ASIL1,OLEO1,R,19155348,
AT1G54060,AT5G40420,ASIL1,OLEO2,R,19155348,
AT1G54060,AT5G51210,ASIL1,OLEO3,R,19155348,
AT1G55580,AT1G62360,LAS,BUM1,A,16473968,
AT1G55580,AT2G37630,LAS,AS1,A,16473968,
AT1G55580,AT4G37750,LAS,ANT,A,16473968,
AT1G55580,AT5G60690,LAS,REV,A,12730136,
AT1G55600,AT3G19700,WRKY10,IKU2,A,"19141706, 20406407, 16293693, 16330781",
AT1G56010,AT2G04160,NAC1,AIR3,A,11114891,
AT1G56650,AT1G03940,MYB75,AT1G03940,A,15807784,
AT1G56650,AT1G22640,MYB75,MYB3,A,19192188,
AT1G56650,AT1G66390,MYB75,MYB90,A,"18532978, 19192188",
AT1G56650,AT2G23000,MYB75,SCPL10,R,17600138,
AT1G56650,AT2G37260,MYB75,TTG2,A,17766401,
AT1G56650,AT3G29590,MYB75,AT3G29590,A,15807784,
AT1G56650,AT3G55120,MYB75,TT5,A,15807784,
AT1G56650,AT4G09820,MYB75,TT8,A,"18532978, 16709193, 18532977",
AT1G56650,AT4G14090,MYB75,AT4G14090,A,"15807784, 16010003",
AT1G56650,AT5G13930,MYB75,TT4,A,"15807784, 16640595",
AT1G56650,AT5G17050,MYB75,UGT78D2,A,"15807784, 16010003",
AT1G56650,AT5G17220,MYB75,GSTF12,A,19192188,
AT1G56650,AT5G42800,MYB75,DFR,A,"18532977, 17181777",
AT1G56650,AT5G54060,MYB75,AT5G54060,A,"15807784, 16010003",
AT1G62300,AT1G17420,WRKY6,LOX3,A,18641266,
AT1G62300,AT1G45145,WRKY6,TRX5,A,14976236,
AT1G62300,AT1G62300,WRKY6,WRKY6,R,"19934380, 15504732, 12000796",
AT1G62300,AT2G14610,WRKY6,PR1,A,12000796,
