1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01690	setA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01728	talA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01738	yebF	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01742	aidB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01803	yiiS	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01804	uspD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01824	rpoE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01853	yjbJ	+	? 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01913	yehE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01925	yehW	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01926	yehX	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01927	yehY	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01928	osmF	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01931	yohC	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01975	yojI	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC01995	sgrR	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02000	efp	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02001	tktB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02013	prfC	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02019	rssB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02022	hisJ	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02023	hisQ	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02047	narU	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02077	cbpA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02078	cbpM	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02110	uspB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02111	dtpB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02118	mdtE	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02119	mdtF	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02121	gadX	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02123	treF	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02211	rseA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02247	lhgD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02331	yiaG	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02348	grxB	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02357	yccJ	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02395	ybeL	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02446	alaT	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02447	alaU	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02448	alaV	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02455	argX	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02465	glnU	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02466	glnV	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02467	glnW	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02468	glnX	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02469	gltT	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02470	gltU	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02471	gltV	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02472	gltW	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02473	glyT	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02479	hisR	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02480	ileT	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02481	ileU	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02482	ileV	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02486	leuT	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02488	leuV	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02489	leuW	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02490	leuX	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02495	metT	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02496	metU	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02497	metV	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02499	metZ	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02505	proM	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02507	rrfA	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02508	rrfB	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02509	rrfC	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02510	rrfD	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02511	rrfE	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02512	rrfG	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02513	rrfH	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02514	rrlA	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02515	rrlB	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02516	rrlC	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02517	rrlD	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02518	rrlE	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02519	rrlG	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02520	rrlH	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02521	rrsA	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02522	rrsB	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02523	rrsC	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02524	rrsD	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02525	rrsE	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02526	rrsG	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02527	rrsH	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02528	rrfF	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02533	serW	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02538	thrT	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02539	thrU	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02540	thrV	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02543	tyrT	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02544	tyrU	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02545	tyrV	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02554	metW	-	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02558	rmf	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02563	gadA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02674	sgrT	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC02682	ilvX	+	W 
