uniprot_protein_id	go_term	qualifier
B1X6F1	GO:0003735	enables
B1X6F1	GO:0006412	involved_in
B1X6F1	GO:0005737	located_in
B1X6F1	GO:0005840	located_in
B1X6F1	GO:1990904	part_of
B1X6F3	GO:0003723	enables
B1X6F3	GO:0003735	enables
B1X6F3	GO:0019843	enables
B1X6F3	GO:0006412	involved_in
B1X6F3	GO:0005840	located_in
B1X6F3	GO:0015934	part_of
B1X6F3	GO:0022625	part_of
B1X6F3	GO:1990904	part_of
B1X6F4	GO:0003735	enables
B1X6F4	GO:0006412	involved_in
B1X6F4	GO:0005840	located_in
B1X6F4	GO:0015934	part_of
B1X6F4	GO:0022625	part_of
B1X6F4	GO:1990904	part_of
B1X6F6	GO:0003723	enables
B1X6F6	GO:0003735	enables
B1X6F6	GO:0008097	enables
B1X6F6	GO:0019843	enables
B1X6F6	GO:0006412	involved_in
B1X6F6	GO:0005737	located_in
B1X6F6	GO:0005840	located_in
B1X6F6	GO:0022625	part_of
B1X6F6	GO:1990904	part_of
B1X6F7	GO:0003723	enables
B1X6F7	GO:0003735	enables
B1X6F7	GO:0019843	enables
B1X6F7	GO:0002181	involved_in
B1X6F7	GO:0006412	involved_in
B1X6F7	GO:0005840	located_in
B1X6F7	GO:0022625	part_of
B1X6F7	GO:1990904	part_of
B1X6F8	GO:0003723	enables
B1X6F8	GO:0003735	enables
B1X6F8	GO:0019843	enables
B1X6F8	GO:0006412	involved_in
B1X6F8	GO:0005737	located_in
B1X6F8	GO:0005840	located_in
B1X6F8	GO:1990904	part_of
B1X6F9	GO:0003723	enables
B1X6F9	GO:0003735	enables
B1X6F9	GO:0019843	enables
B1X6F9	GO:0006412	involved_in
B1X6F9	GO:0005737	located_in
B1X6F9	GO:0005840	located_in
B1X6F9	GO:0015935	part_of
B1X6F9	GO:1990904	part_of
B1X6G0	GO:0000049	enables
B1X6G0	GO:0003723	enables
B1X6G0	GO:0003735	enables
B1X6G0	GO:0019843	enables
B1X6G0	GO:0006412	involved_in
B1X6G0	GO:0005840	located_in
B1X6G0	GO:1990904	part_of
B1X6G1	GO:0003723	enables
B1X6G1	GO:0003735	enables
B1X6G1	GO:0019843	enables
B1X6G1	GO:0006412	involved_in
B1X6G1	GO:0005829	located_in
B1X6G1	GO:0005840	located_in
B1X6G1	GO:1990904	part_of
B1X6G2	GO:0003723	enables
B1X6G2	GO:0003735	enables
B1X6G2	GO:0019843	enables
B1X6G2	GO:0070180	enables
B1X6G2	GO:0006412	involved_in
B1X6G2	GO:0005840	located_in
B1X6G2	GO:0015934	part_of
B1X6G2	GO:0022625	part_of
B1X6G2	GO:1990904	part_of
B1X6G3	GO:0003723	enables
B1X6G3	GO:0003735	enables
B1X6G3	GO:0019843	enables
B1X6G3	GO:0006412	involved_in
B1X6G3	GO:0005840	located_in
B1X6G3	GO:0022627	part_of
B1X6G3	GO:1990904	part_of
B1X6G4	GO:0003735	enables
B1X6G4	GO:0006412	involved_in
B1X6G4	GO:0005840	located_in
B1X6G4	GO:0022625	part_of
B1X6G4	GO:1990904	part_of
B1X6G5	GO:0000049	enables
B1X6G5	GO:0003723	enables
B1X6G5	GO:0003735	enables
B1X6G5	GO:0019843	enables
B1X6G5	GO:0006412	involved_in
B1X6G5	GO:0005840	located_in
B1X6G5	GO:0022625	part_of
B1X6G5	GO:1990904	part_of
B1X6G6	GO:0003723	enables
B1X6G6	GO:0003735	enables
B1X6G6	GO:0019843	enables
B1X6G6	GO:0006412	involved_in
B1X6G6	GO:0005840	located_in
B1X6G6	GO:0015934	part_of
B1X6G6	GO:0022625	part_of
B1X6G6	GO:1990904	part_of
B1X6G7	GO:0003723	enables
B1X6G7	GO:0003735	enables
B1X6G7	GO:0019843	enables
B1X6G7	GO:0000028	involved_in
B1X6G7	GO:0006412	involved_in
B1X6G7	GO:0005737	located_in
B1X6G7	GO:0005840	located_in
B1X6G7	GO:0015935	part_of
B1X6G7	GO:1990904	part_of
B1X6G8	GO:0003723	enables
B1X6G8	GO:0003735	enables
B1X6G8	GO:0016740	enables
B1X6G8	GO:0019843	enables
B1X6G8	GO:0002181	involved_in
B1X6G8	GO:0006412	involved_in
B1X6G8	GO:0005829	located_in
B1X6G8	GO:0005840	located_in
B1X6G8	GO:0015934	part_of
B1X6G8	GO:1990904	part_of
B1X6H0	GO:0003723	enables
B1X6H0	GO:0003735	enables
B1X6H0	GO:0019843	enables
B1X6H0	GO:0006412	involved_in
B1X6H0	GO:0005840	located_in
B1X6H0	GO:1990904	part_of
B1X6H1	GO:0003723	enables
B1X6H1	GO:0003735	enables
B1X6H1	GO:0019843	enables
B1X6H1	GO:0006412	involved_in
B1X6H1	GO:0005840	located_in
B1X6H1	GO:0022625	part_of
B1X6H1	GO:1990904	part_of
B1X6H2	GO:0000049	enables
B1X6H2	GO:0003723	enables
B1X6H2	GO:0003735	enables
B1X6H2	GO:0006412	involved_in
B1X6H2	GO:0005840	located_in
B1X6H2	GO:1990904	part_of
B1X6J0	GO:0000166	enables
B1X6J0	GO:0003746	enables
B1X6J0	GO:0003924	enables
B1X6J0	GO:0005525	enables
B1X6J0	GO:0097216	enables
B1X6J0	GO:0006412	involved_in
B1X6J0	GO:0006414	involved_in
B1X6J0	GO:0032790	involved_in
B1X6J0	GO:0005737	located_in
B1X6J1	GO:0000049	enables
B1X6J1	GO:0003723	enables
B1X6J1	GO:0003735	enables
B1X6J1	GO:0019843	enables
B1X6J1	GO:0006412	involved_in
B1X6J1	GO:0005840	located_in
B1X6J1	GO:0015935	part_of
B1X6J1	GO:1990904	part_of
B1X6J2	GO:0002143	involved_in
B1X6J2	GO:0008033	involved_in
B1X6J2	GO:0005737	located_in
B1X6J2	GO:1990228	part_of
B1X6J3	GO:0008033	involved_in
B1X6J3	GO:0005737	located_in
B1X6J4	GO:0016740	enables
B1X6J4	GO:0016783	enables
B1X6J4	GO:0097163	enables
B1X6J4	GO:0002143	involved_in
B1X6J4	GO:0008033	involved_in
B1X6J4	GO:0005737	located_in
B1X6J4	GO:0005829	located_in
B1X6J4	GO:1990228	part_of
B1X6K0	GO:0008324	enables
B1X6K0	GO:0015297	enables
B1X6K0	GO:0015503	enables
B1X6K0	GO:0006811	involved_in
B1X6K0	GO:0006812	involved_in
B1X6K0	GO:0006813	involved_in
B1X6K0	GO:0055085	involved_in
B1X6K0	GO:0071805	involved_in
B1X6K0	GO:1902600	involved_in
B1X6K0	GO:0005886	located_in
B1X6K0	GO:0016020	located_in
B1X6K1	GO:0003955	enables
B1X6K1	GO:0008753	enables
B1X6K1	GO:0009055	enables
B1X6K1	GO:0010181	enables
B1X6K1	GO:0016491	enables
B1X6K1	GO:0050136	enables
B1X6K1	GO:0006813	involved_in
B1X6K1	GO:1901381	involved_in
B1X6K1	GO:0005886	located_in
B1X6K1	GO:0016020	located_in
B1X6L1	GO:0003824	enables
B1X6L1	GO:0004342	enables
B1X6L1	GO:0016787	enables
B1X6L1	GO:0042802	enables
B1X6L1	GO:0005975	involved_in
B1X6L1	GO:0006043	involved_in
B1X6L1	GO:0006044	involved_in
B1X6L1	GO:0006046	involved_in
B1X6L1	GO:0019262	involved_in
B1X6L1	GO:0005737	located_in
B1X6L1	GO:0005829	located_in
B1X6L3	GO:0000166	enables
B1X6L3	GO:0004812	enables
B1X6L3	GO:0004819	enables
B1X6L3	GO:0005524	enables
B1X6L3	GO:0016874	enables
B1X6L3	GO:0006412	involved_in
B1X6L3	GO:0006418	involved_in
B1X6L3	GO:0006424	involved_in
B1X6L3	GO:0006425	involved_in
B1X6L3	GO:0043039	involved_in
B1X6L3	GO:0005737	located_in
B1X6L3	GO:0005829	located_in
B1X6M7	GO:0000166	enables
B1X6M7	GO:0005524	enables
B1X6M7	GO:0008556	enables
B1X6M7	GO:0006811	involved_in
B1X6M7	GO:0006813	involved_in
B1X6M7	GO:0071805	involved_in
B1X6M7	GO:0005886	located_in
B1X6M7	GO:0016020	located_in
B1X6M8	GO:0000166	enables
B1X6M8	GO:0000287	enables
B1X6M8	GO:0005524	enables
B1X6M8	GO:0008556	enables
B1X6M8	GO:0015662	enables
B1X6M8	GO:0016887	enables
B1X6M8	GO:0046872	enables
B1X6M8	GO:0006811	involved_in
B1X6M8	GO:0006813	involved_in
B1X6M8	GO:0055085	involved_in
B1X6M8	GO:0071805	involved_in
B1X6M8	GO:0005886	located_in
B1X6M8	GO:0016020	located_in
B1X6M9	GO:0008556	enables
B1X6M9	GO:0030955	enables
B1X6M9	GO:0006811	involved_in
B1X6M9	GO:0006813	involved_in
B1X6M9	GO:0071805	involved_in
B1X6M9	GO:0005886	located_in
B1X6M9	GO:0016020	located_in
B1X6P4	GO:0000166	enables
B1X6P4	GO:0005524	enables
B1X6P4	GO:0016787	enables
B1X6P4	GO:0017168	enables
B1X6P4	GO:0005975	involved_in
B1X6P5	GO:0000703	enables
B1X6P5	GO:0003676	enables
B1X6P5	GO:0003677	enables
B1X6P5	GO:0003684	enables
B1X6P5	GO:0003824	enables
B1X6P5	GO:0003906	enables
B1X6P5	GO:0008270	enables
B1X6P5	GO:0016787	enables
B1X6P5	GO:0016798	enables
B1X6P5	GO:0016799	enables
B1X6P5	GO:0016829	enables
B1X6P5	GO:0019104	enables
B1X6P5	GO:0046872	enables
B1X6P5	GO:0140078	enables
B1X6P5	GO:0006281	involved_in
B1X6P5	GO:0006284	involved_in
B1X6P5	GO:0006974	involved_in
B1X6Q8	GO:0000166	enables
B1X6Q8	GO:0000287	enables
B1X6Q8	GO:0003824	enables
B1X6Q8	GO:0004775	enables
B1X6Q8	GO:0004776	enables
B1X6Q8	GO:0005524	enables
B1X6Q8	GO:0016874	enables
B1X6Q8	GO:0046872	enables
B1X6Q8	GO:0006099	involved_in
B1X6Q8	GO:0006104	involved_in
B1X6Q8	GO:0005829	located_in
B1X6Q8	GO:0042709	part_of
B1X6S1	GO:0015031	involved_in
B1X6S1	GO:0017038	involved_in
B1X6S1	GO:0051301	involved_in
B1X6S1	GO:0042597	located_in
B1X6S4	GO:0008987	enables
B1X6S4	GO:0016740	enables
B1X6S4	GO:0016765	enables
B1X6S4	GO:0046872	enables
B1X6S4	GO:0051536	enables
B1X6S4	GO:0051539	enables
B1X6S4	GO:0009435	involved_in
B1X6S4	GO:0019363	involved_in
B1X6S4	GO:0019805	involved_in
B1X6S4	GO:0034628	involved_in
B1X6S4	GO:0005737	located_in
B1X6S4	GO:0005829	located_in
B1X6S9	GO:0008939	enables
B1X6S9	GO:0016740	enables
B1X6S9	GO:0016757	enables
B1X6S9	GO:0009236	involved_in
B1X6T0	GO:0008818	enables
B1X6T0	GO:0016740	enables
B1X6T0	GO:0051073	enables
B1X6T0	GO:0009236	involved_in
B1X6T0	GO:0005886	located_in
B1X6T0	GO:0016020	located_in
B1X6V6	GO:0000166	enables
B1X6V6	GO:0000287	enables
B1X6V6	GO:0003879	enables
B1X6V6	GO:0005524	enables
B1X6V6	GO:0016740	enables
B1X6V6	GO:0016757	enables
B1X6V6	GO:0046872	enables
B1X6V6	GO:0000105	involved_in
B1X6V6	GO:0008652	involved_in
B1X6V6	GO:0005737	located_in
B1X6V8	GO:0004400	enables
B1X6V8	GO:0008483	enables
B1X6V8	GO:0016740	enables
B1X6V8	GO:0030170	enables
B1X6V8	GO:0000105	involved_in
B1X6V8	GO:0008652	involved_in
B1X6W1	GO:0003949	enables
B1X6W1	GO:0016853	enables
B1X6W1	GO:0000105	involved_in
B1X6W1	GO:0000162	involved_in
B1X6W1	GO:0008652	involved_in
B1X6W1	GO:0005737	located_in
B1X6W2	GO:0000107	enables
B1X6W2	GO:0016829	enables
B1X6W2	GO:0000105	involved_in
B1X6W2	GO:0008652	involved_in
B1X6W2	GO:0005737	located_in
B1X701	GO:0000166	enables
B1X701	GO:0008829	enables
B1X701	GO:0016787	enables
B1X701	GO:0006226	involved_in
B1X701	GO:0006229	involved_in
B1X701	GO:0009117	involved_in
B1X701	GO:0015949	involved_in
B1X712	GO:0022857	enables
B1X712	GO:0055085	involved_in
B1X712	GO:0005886	located_in
B1X712	GO:0016020	located_in
B1X716	GO:0003824	enables
B1X716	GO:0004325	enables
B1X716	GO:0004851	enables
B1X716	GO:0008168	enables
B1X716	GO:0016491	enables
B1X716	GO:0016740	enables
B1X716	GO:0016829	enables
B1X716	GO:0043115	enables
B1X716	GO:0051266	enables
B1X716	GO:0051287	enables
B1X716	GO:0006779	involved_in
B1X716	GO:0009236	involved_in
B1X716	GO:0019354	involved_in
B1X716	GO:0032259	involved_in
B1X736	GO:0000166	enables
B1X736	GO:0003856	enables
B1X736	GO:0016829	enables
B1X736	GO:0016838	enables
B1X736	GO:0046872	enables
B1X736	GO:0008652	involved_in
B1X736	GO:0009073	involved_in
B1X736	GO:0009423	involved_in
B1X736	GO:0005737	located_in
B1X737	GO:0000166	enables
B1X737	GO:0000287	enables
B1X737	GO:0004765	enables
B1X737	GO:0005524	enables
B1X737	GO:0016301	enables
B1X737	GO:0016740	enables
B1X737	GO:0046872	enables
B1X737	GO:0008652	involved_in
B1X737	GO:0009073	involved_in
B1X737	GO:0009423	involved_in
B1X737	GO:0019752	involved_in
B1X737	GO:0005737	located_in
B1X737	GO:0005829	located_in
B1X748	GO:0044183	enables
B1X748	GO:0051082	enables
B1X748	GO:0006457	involved_in
B1X748	GO:0042026	involved_in
B1X748	GO:0005737	located_in
B1X750	GO:0000166	enables
B1X750	GO:0004611	enables
B1X750	GO:0004612	enables
B1X750	GO:0005524	enables
B1X750	GO:0016829	enables
B1X750	GO:0016831	enables
B1X750	GO:0017076	enables
B1X750	GO:0046872	enables
B1X750	GO:0006094	involved_in
B1X750	GO:0005737	located_in
B1X750	GO:0005829	located_in
B1X757	GO:0003677	enables
B1X757	GO:0005506	enables
B1X757	GO:0046872	enables
B1X757	GO:0051536	enables
B1X758	GO:0016787	enables
B1X758	GO:0052689	enables
B1X758	GO:0090499	enables
B1X758	GO:0009102	involved_in
B1X758	GO:0005737	located_in
B1X760	GO:0005506	enables
B1X760	GO:0046872	enables
B1X760	GO:0051536	enables
B1X760	GO:0051539	enables
B1X760	GO:0016226	involved_in
B1X760	GO:0051604	involved_in
B1X764	GO:0000166	enables
B1X764	GO:0003677	enables
B1X764	GO:0003700	enables
B1X764	GO:0005524	enables
B1X764	GO:0006355	involved_in
B1X764	GO:0045893	involved_in
B1X764	GO:0045913	involved_in
B1X765	GO:0000166	enables
B1X765	GO:0003824	enables
B1X765	GO:0003963	enables
B1X765	GO:0005524	enables
B1X765	GO:0016874	enables
B1X765	GO:0006396	involved_in
B1X765	GO:0005737	located_in
B1X769	GO:0004252	enables
B1X769	GO:0008233	enables
B1X769	GO:0008236	enables
B1X769	GO:0016787	enables
B1X769	GO:0006508	involved_in
B1X769	GO:0005886	located_in
B1X769	GO:0016020	located_in
B1X770	GO:0004792	enables
B1X770	GO:0016740	enables
B1X770	GO:0006071	involved_in
B1X770	GO:0005737	located_in
B1X774	GO:0004373	enables
B1X774	GO:0009011	enables
B1X774	GO:0016740	enables
B1X774	GO:0016757	enables
B1X774	GO:0005978	involved_in
B1X774	GO:0005829	located_in
B1X775	GO:0000166	enables
B1X775	GO:0003824	enables
B1X775	GO:0005524	enables
B1X775	GO:0008878	enables
B1X775	GO:0016740	enables
B1X775	GO:0016779	enables
B1X775	GO:0005977	involved_in
B1X775	GO:0005978	involved_in
B1X775	GO:0009250	involved_in
B1X776	GO:0004135	enables
B1X776	GO:0004553	enables
B1X776	GO:0016787	enables
B1X776	GO:0016798	enables
B1X776	GO:0120549	enables
B1X776	GO:0005975	involved_in
B1X776	GO:0005977	involved_in
B1X776	GO:0005980	involved_in
B1X786	GO:0003824	enables
B1X786	GO:0004619	enables
B1X786	GO:0016853	enables
B1X786	GO:0016868	enables
B1X786	GO:0006094	involved_in
B1X786	GO:0006096	involved_in
B1X797	GO:0016787	enables
B1X797	GO:0017057	enables
B1X797	GO:0005975	involved_in
B1X797	GO:0006006	involved_in
B1X797	GO:0006098	involved_in
B1X797	GO:0009051	involved_in
B1X797	GO:0005829	located_in
B1X7A5	GO:0003824	enables
B1X7A5	GO:0004076	enables
B1X7A5	GO:0005506	enables
B1X7A5	GO:0016740	enables
B1X7A5	GO:0046872	enables
B1X7A5	GO:0051536	enables
B1X7A5	GO:0051537	enables
B1X7A5	GO:0051539	enables
B1X7A5	GO:0009102	involved_in
B1X7A6	GO:0008710	enables
B1X7A6	GO:0016740	enables
B1X7A6	GO:0030170	enables
B1X7A6	GO:0009102	involved_in
B1X7A9	GO:0000166	enables
B1X7A9	GO:0003677	enables
B1X7A9	GO:0004386	enables
B1X7A9	GO:0004518	enables
B1X7A9	GO:0005524	enables
B1X7A9	GO:0009381	enables
B1X7A9	GO:0016787	enables
B1X7A9	GO:0016887	enables
B1X7A9	GO:0006281	involved_in
B1X7A9	GO:0006289	involved_in
B1X7A9	GO:0006950	involved_in
B1X7A9	GO:0006974	involved_in
B1X7A9	GO:0009432	involved_in
B1X7A9	GO:0005737	located_in
B1X7A9	GO:0009380	part_of
B1X7B1	GO:0000166	enables
B1X7B1	GO:0003824	enables
B1X7B1	GO:0005525	enables
B1X7B1	GO:0016829	enables
B1X7B1	GO:0046872	enables
B1X7B1	GO:0051536	enables
B1X7B1	GO:0051539	enables
B1X7B1	GO:0061798	enables
B1X7B1	GO:0061799	enables
B1X7B1	GO:1904047	enables
B1X7B1	GO:0006777	involved_in
B1X7B3	GO:0016829	enables
B1X7B3	GO:0061799	enables
B1X7B3	GO:0006777	involved_in
B1X7C5	GO:0042597	located_in
B1X7D4	GO:0005506	enables
B1X7D4	GO:0016491	enables
B1X7D4	GO:0016705	enables
B1X7D4	GO:0016706	enables
B1X7D4	GO:0031418	enables
B1X7D4	GO:0046872	enables
B1X7D4	GO:0051213	enables
B1X7D4	GO:0006879	involved_in
B1X7D4	GO:0006974	involved_in
B1X7D7	GO:0008168	enables
B1X7D7	GO:0008988	enables
B1X7D7	GO:0016740	enables
B1X7D7	GO:0052907	enables
B1X7D7	GO:0006364	involved_in
B1X7D7	GO:0032259	involved_in
B1X7D7	GO:0070475	involved_in
B1X7D7	GO:0005737	located_in
B1X7E2	GO:0003677	enables
B1X7E2	GO:0008199	enables
B1X7E2	GO:0016491	enables
B1X7E2	GO:0016722	enables
B1X7E2	GO:0046872	enables
B1X7E2	GO:0006879	involved_in
B1X7E2	GO:0030261	involved_in
B1X7E2	GO:0005737	located_in
B1X7E2	GO:0009295	located_in
B1X7H0	GO:0015562	enables
B1X7H0	GO:0022857	enables
B1X7H0	GO:0055085	involved_in
B1X7H0	GO:0005886	located_in
B1X7H0	GO:0016020	located_in
B1X7H0	GO:1990281	part_of
B1X7H1	GO:0022857	enables
B1X7H1	GO:0042910	enables
B1X7H1	GO:0042908	involved_in
B1X7H1	GO:0055085	involved_in
B1X7H1	GO:0005886	located_in
B1X7H1	GO:0016020	located_in
B1X7H2	GO:0022857	enables
B1X7H2	GO:0042910	enables
B1X7H2	GO:0042908	involved_in
B1X7H2	GO:0055085	involved_in
B1X7H2	GO:0005886	located_in
B1X7H2	GO:0016020	located_in
B1X7H3	GO:0022857	enables
B1X7H3	GO:0055085	involved_in
B1X7H3	GO:0005886	located_in
B1X7H3	GO:0016020	located_in
B1X7I0	GO:0000166	enables
B1X7I0	GO:0000287	enables
B1X7I0	GO:0001727	enables
B1X7I0	GO:0005524	enables
B1X7I0	GO:0016301	enables
B1X7I0	GO:0016740	enables
