protein1 protein2 homology experiments experiments_transferred database database_transferred textmining textmining_transferred combined_score
511145.b0015 511145.b0797 0 0 242 0 0 0 0 241
511145.b0015 511145.b3197 0 0 157 0 0 0 0 156
511145.b0015 511145.b1805 0 0 279 0 0 0 0 279
511145.b0015 511145.b2283 0 0 326 0 0 0 0 325
511145.b0015 511145.b3461 0 549 0 0 0 0 0 549
511145.b0015 511145.b3418 0 409 0 0 0 0 0 408
511145.b0015 511145.b0318 0 0 179 0 0 0 139 262
511145.b0015 511145.b1656 0 0 457 0 0 0 0 457
511145.b0015 511145.b0473 0 0 320 0 0 0 283 491
511145.b0015 511145.b0525 0 0 459 0 0 0 100 492
511145.b0015 511145.b4506 0 0 301 0 0 0 0 301
511145.b0015 511145.b0637 0 0 466 0 0 0 0 465
511145.b0015 511145.b2581 0 0 335 0 0 0 0 335
511145.b0015 511145.b2567 0 0 457 0 0 0 0 457
511145.b0015 511145.b4034 0 483 0 0 0 0 0 483
511145.b0015 511145.b0773 0 0 284 0 0 0 0 284
511145.b0015 511145.b2275 0 0 206 0 0 0 63 224
511145.b0015 511145.b2285 0 0 454 0 0 0 0 454
511145.b0015 511145.b3340 0 72 162 0 0 0 0 189
511145.b0015 511145.b3296 0 0 376 0 0 0 0 376
511145.b0015 511145.b2594 0 0 283 0 0 0 0 282
511145.b0015 511145.b2606 0 76 460 0 0 0 0 479
511145.b0015 511145.b2522 0 0 206 0 0 0 63 224
511145.b0015 511145.b1343 0 0 242 0 0 0 0 241
511145.b0015 511145.b3865 0 0 463 0 0 0 0 463
511145.b0015 511145.b3315 0 76 423 0 0 0 0 444
511145.b0015 511145.b2488 0 0 246 0 0 0 0 245
511145.b0015 511145.b0545 0 0 284 0 0 0 0 284
511145.b0015 511145.b0148 0 0 158 0 0 0 66 179
511145.b0015 511145.b3313 0 0 452 0 0 0 116 494
511145.b0015 511145.b1094 0 0 482 0 0 0 0 482
511145.b0015 511145.b3780 0 0 242 0 0 0 0 241
511145.b0015 511145.b3656 0 0 338 0 0 0 0 338
511145.b0015 511145.b0058 0 0 283 0 0 0 0 282
511145.b0015 511145.b2255 0 0 278 0 0 0 0 278
511145.b0015 511145.b0661 0 357 0 0 0 0 0 357
511145.b0015 511145.b0999 0 0 460 0 0 312 65 622
511145.b0015 511145.b2919 0 0 256 0 0 0 0 256
511145.b0015 511145.b3846 0 0 256 0 0 0 0 256
511145.b0015 511145.b2052 0 0 256 0 0 0 0 256
511145.b0015 511145.b3983 0 0 477 0 0 0 0 477
511145.b0015 511145.b0869 0 0 258 0 0 0 0 258
511145.b0015 511145.b1086 0 0 283 0 0 0 0 282
511145.b0015 511145.b2096 0 404 218 0 0 0 0 514
511145.b0015 511145.b2942 0 283 0 0 0 0 0 282
511145.b0015 511145.b0423 0 0 206 0 0 0 0 206
511145.b0015 511145.b4180 0 0 335 0 0 0 0 335
511145.b0015 511145.b2069 0 0 0 0 227 0 208 361
511145.b0015 511145.b4063 0 0 276 0 0 0 93 315
511145.b0015 511145.b3308 0 0 454 0 0 0 0 454
511145.b0015 511145.b3878 0 0 338 0 0 0 0 338
511145.b0015 511145.b2066 0 0 68 0 328 0 103 389
511145.b0015 511145.b2529 0 0 153 0 0 0 0 152
511145.b0015 511145.b3320 0 0 481 0 0 0 0 481
511145.b0015 511145.b2614 0 457 155 0 0 976 0 988
511145.b0015 511145.b4211 0 0 258 0 0 0 0 258
511145.b0015 511145.b1378 0 0 752 0 0 0 0 752
511145.b0015 511145.b3686 0 0 174 0 0 0 146 264
511145.b0015 511145.b3702 0 113 0 0 0 0 286 339
511145.b0015 511145.b2576 0 121 242 0 0 0 0 305
511145.b0015 511145.b3298 0 75 447 0 0 0 0 466
511145.b0015 511145.b3152 0 0 258 0 0 0 0 258
511145.b0015 511145.b3651 0 0 335 0 0 0 0 335
511145.b0015 511145.b0145 0 0 0 0 0 560 208 636
511145.b0015 511145.b3532 0 0 206 0 0 0 63 224
511145.b0015 511145.b0183 0 0 282 0 0 0 0 282
511145.b0015 511145.b0036 0 0 256 0 0 0 0 256
511145.b0015 511145.b3363 0 0 459 0 0 0 100 492
511145.b0015 511145.b0650 0 0 0 0 227 0 139 305
511145.b0015 511145.b3321 0 84 415 0 0 0 0 441
511145.b0015 511145.b0868 0 0 256 0 0 0 0 256
511145.b0015 511145.b3306 0 0 392 0 0 0 0 392
511145.b0015 511145.b2834 0 0 212 0 0 0 0 212
511145.b0015 511145.b0487 0 0 276 0 0 0 93 315
511145.b0015 511145.b3186 0 0 464 0 0 0 0 463
511145.b0015 511145.b3162 0 76 242 0 0 0 0 269
511145.b0015 511145.b2526 0 0 0 0 227 0 139 305
511145.b0015 511145.b0875 0 0 243 0 0 0 0 242
511145.b0015 511145.b4142 0 0 77 0 0 352 0 376
511145.b0015 511145.b1494 0 0 282 0 0 0 0 282
511145.b0015 511145.b2609 0 0 457 0 0 0 0 457
511145.b0015 511145.b3311 0 0 465 0 0 0 0 465
511145.b0015 511145.b3299 0 0 301 0 0 0 0 301
511145.b0015 511145.b2786 0 0 168 0 80 0 0 201
511145.b0015 511145.b3317 0 0 454 0 0 0 0 454
511145.b0015 511145.b0649 0 0 206 0 0 0 63 224
511145.b0015 511145.b2720 0 0 246 0 0 0 0 245
511145.b0015 511145.b2562 0 0 246 0 0 0 0 245
511145.b0015 511145.b0037 0 0 279 0 0 0 0 279
511145.b0015 511145.b1224 0 388 0 0 0 0 0 388
511145.b0015 511145.b3178 0 0 165 0 0 0 0 165
511145.b0015 511145.b3319 0 0 396 0 0 0 0 396
511145.b0015 511145.b1413 0 0 158 0 0 0 66 179
511145.b0015 511145.b0177 0 0 75 0 58 0 103 150
511145.b0015 511145.b3165 0 0 415 0 0 0 0 414
511145.b0015 511145.b0424 0 457 0 0 0 0 63 469
511145.b0015 511145.b3001 0 0 212 0 0 0 0 212
511145.b0015 511145.b2592 0 509 73 0 0 0 154 581
511145.b0015 511145.b3300 0 0 0 0 0 0 212 212
511145.b0015 511145.b3644 0 395 0 0 0 0 0 394
511145.b0015 511145.b2836 0 0 282 0 0 0 0 282
511145.b0015 511145.b3729 0 111 131 0 0 0 0 194
511145.b0015 511145.b0659 0 0 381 0 0 0 0 381
511145.b0015 511145.b2791 0 0 283 0 0 0 0 282
511145.b0015 511145.b3706 0 0 463 0 0 0 0 463
511145.b0015 511145.b3230 0 0 458 0 0 0 0 457
511145.b0015 511145.b1771 0 0 212 0 0 0 0 212
511145.b0015 511145.b3301 0 0 480 0 0 0 0 480
511145.b0015 511145.b3611 0 0 206 0 0 0 0 206
511145.b0015 511145.b3636 0 0 457 0 0 0 0 457
511145.b0015 511145.b3637 0 0 457 0 0 0 0 457
511145.b0015 511145.b2668 0 0 206 0 0 0 0 206
511145.b0015 511145.b2072 0 0 371 0 0 0 0 371
511145.b0015 511145.b2699 0 382 0 0 0 0 0 382
511145.b0015 511145.b2297 0 108 145 0 0 0 0 204
511145.b0015 511145.b3425 0 0 206 0 0 0 0 206
511145.b0015 511145.b1393 0 0 256 0 0 0 0 256
511145.b0015 511145.b1773 0 0 218 0 0 0 0 218
511145.b0015 511145.b1207 0 114 116 0 0 0 0 183
511145.b0015 511145.b3309 0 83 463 0 0 0 0 486
511145.b0015 511145.b3908 0 0 457 0 0 0 0 457
511145.b0015 511145.b3185 0 0 457 0 0 0 0 457
511145.b0015 511145.b3294 0 0 484 0 0 0 0 483
511145.b0015 511145.b2745 0 0 464 0 0 0 0 463
511145.b0015 511145.b2260 0 0 279 0 0 0 0 279
511145.b0015 511145.b1701 0 0 279 0 0 0 0 279
511145.b0015 511145.b1860 0 406 0 0 0 0 0 406
511145.b0015 511145.b3341 0 0 445 0 0 0 0 445
511145.b0015 511145.b2195 0 0 357 0 0 0 138 422
511145.b0015 511145.b3137 0 0 218 0 0 0 0 218
511145.b0015 511145.b0476 0 0 199 0 0 0 0 199
511145.b0015 511145.b3527 0 0 282 0 0 0 0 282
511145.b0015 511145.b4143 0 0 74 0 0 0 283 307
511145.b0015 511145.b2284 0 0 279 0 0 0 0 279
511145.b0015 511145.b2542 0 0 177 0 0 0 0 177
511145.b0015 511145.b3783 0 158 0 0 0 328 142 472
511145.b0015 511145.b3231 0 0 480 0 0 0 0 480
511145.b0015 511145.b3305 0 0 461 0 0 0 0 461
511145.b0015 511145.b1162 0 0 276 0 0 0 93 315
511145.b0015 511145.b0646 0 0 206 0 0 0 63 224
511145.b0015 511145.b4309 0 0 199 0 0 0 0 199
511145.b0015 511145.b2127 0 0 276 0 0 0 93 315
511145.b0015 511145.b1276 0 0 283 0 0 0 65 300
511145.b0015 511145.b3927 0 0 243 0 0 0 0 242
511145.b0020 511145.b3585 0 0 0 0 0 230 0 229
511145.b0020 511145.b0881 0 457 0 0 0 0 0 457
511145.b0020 511145.b2741 0 0 0 0 0 253 44 255
511145.b0020 511145.b0338 0 0 0 0 0 257 0 256
511145.b0023 511145.b3308 0 800 738 0 0 0 0 945
511145.b0023 511145.b0169 0 800 738 720 0 0 0 984
511145.b0023 511145.b3988 0 800 0 0 0 0 0 800
511145.b0023 511145.b0949 0 0 465 0 0 0 0 465
511145.b0023 511145.b2938 0 457 0 0 0 0 0 457
511145.b0023 511145.b3985 0 935 0 0 0 0 0 935
511145.b0023 511145.b3319 0 800 738 0 0 0 0 945
511145.b0023 511145.b4375 0 800 0 0 0 0 0 800
511145.b0023 511145.b3486 0 0 0 720 0 0 0 720
511145.b0023 511145.b3303 0 813 738 720 0 0 0 985
511145.b0023 511145.b3307 0 800 738 720 0 0 0 984
511145.b0023 511145.b3936 0 800 545 0 0 0 0 905
511145.b0023 511145.b3287 0 935 0 0 0 0 0 935
511145.b0023 511145.b0957 0 800 0 0 0 0 0 800
511145.b0023 511145.b3302 0 800 738 0 0 0 0 945
511145.b0023 511145.b0953 0 800 0 0 0 0 0 800
511145.b0023 511145.b2597 0 0 518 720 0 0 0 859
511145.b0023 511145.b2620 0 800 641 0 0 0 0 925
511145.b0023 511145.b3311 0 800 738 720 0 0 0 984
511145.b0023 511145.b3299 0 800 614 0 0 0 0 919
511145.b0023 511145.b2610 0 0 453 0 0 0 0 453
511145.b0023 511145.b3342 0 800 738 720 0 0 0 984
511145.b0023 511145.b3317 0 800 738 0 0 0 0 945
511145.b0023 511145.b3649 0 809 0 0 0 0 0 809
511145.b0023 511145.b1480 0 0 0 720 0 0 0 720
511145.b0023 511145.b3986 0 800 641 0 0 0 0 925
511145.b0023 511145.b3703 0 800 738 0 0 0 0 945
511145.b0023 511145.b3318 0 800 738 0 0 0 0 945
511145.b0023 511145.b2569 0 935 452 0 0 0 0 963
511145.b0023 511145.b3312 0 800 738 0 0 0 0 945
511145.b0023 511145.b2331 0 800 0 0 0 0 0 800
511145.b0023 511145.b3295 0 935 0 0 0 0 0 935
511145.b0023 511145.b4202 0 800 738 720 0 0 0 984
511145.b0023 511145.b4506 0 800 545 0 0 0 0 905
511145.b0023 511145.b3981 0 800 0 0 0 0 0 800
511145.b0023 511145.b3707 0 800 0 0 0 0 0 800
511145.b0023 511145.b3300 0 800 0 0 0 0 0 800
511145.b0023 511145.b3352 0 0 465 0 0 0 0 465
511145.b0023 511145.b0820 0 0 465 0 0 0 0 465
511145.b0023 511145.b3320 0 800 738 0 0 0 0 945
511145.b0023 511145.b3168 0 0 642 0 0 0 0 642
511145.b0023 511145.b3987 0 807 0 0 0 0 0 807
511145.b0023 511145.b3170 0 800 0 0 0 0 0 800
511145.b0023 511145.b0093 0 800 0 0 0 0 0 800
511145.b0023 511145.b3165 0 800 738 720 0 0 0 984
511145.b0023 511145.b3305 0 800 738 0 0 0 0 945
511145.b0023 511145.b3984 0 800 738 0 0 0 0 945
511145.b0023 511145.b3231 0 935 0 0 0 0 0 935
511145.b0023 511145.b3982 0 800 0 0 0 0 0 800
