tf_id	tf_uniprot_id	tf_name	target_id	target_uniprot_id	target_name	activate/repress	source
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01970	P33934	napH	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01971	P0AAL3	napG	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01972	P33937	napA	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC01973	P0AAL0	napF	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC02039	P0A9I5	napD	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC02060	P0ABM5	ccmD	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03325	P75824	hcr	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03326	P75825	hcp	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03645	P77561	ydeP	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03698	P77374	ynfE	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03699	P77783	ynfF	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03700	P0AAJ1	ynfG	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03701	P76173	ynfH	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03702	P69853	dmsD	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03751	P77409	ydhU	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03754	P76192	ydhV	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03755	P0AAL6	ydhY	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03832	P64496	yoaG	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC03833	P64488	yeaR	+	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC04568	P0AD01	dcuR	-	regulonDB
RDBECOLITFC00009	P0AF28	narL	RDBECOLIGNC04569	P0AEC8	dcuS	-	regulonDB
RDBECOLITFC00010	P0AGA6	uhpA	RDBECOLIGNC01042	P0AGC0	uhpT	+	regulonDB
RDBECOLITFC00011	P0ACS5	zntR	RDBECOLIGNC01675	P0AFX4	rsd	-	regulonDB
RDBECOLITFC00011	P0ACS5	zntR	RDBECOLIGNC02097	P37617	zntA	-+	regulonDB
RDBECOLITFC00011	P0ACS5	zntR	RDBECOLIGNC02558	P0AFW2	rmf	-	regulonDB
RDBECOLITFC00012	P11866	tdcR	RDBECOLIGNC00977	P0ACQ7	tdcA	+	regulonDB
RDBECOLITFC00012	P11866	tdcR	RDBECOLIGNC00978	P0AGF6	tdcB	+	regulonDB
RDBECOLITFC00012	P11866	tdcR	RDBECOLIGNC00979	P0AAD8	tdcC	+	regulonDB
RDBECOLITFC00012	P11866	tdcR	RDBECOLIGNC01153	P11868	tdcD	+	regulonDB
RDBECOLITFC00012	P11866	tdcR	RDBECOLIGNC04423	P42630	tdcG	+	regulonDB
RDBECOLITFC00012	P11866	tdcR	RDBECOLIGNC04424	P0AGL2	tdcF	+	regulonDB
RDBECOLITFC00012	P11866	tdcR	RDBECOLIGNC04425	P42632	tdcE	+	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC00313	P0ABY7	flhC	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC00314	P0A8S9	flhD	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC01357	P0AFH8	osmY	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC01363	P0AES9	hdeA	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC01364	P0AET2	hdeB	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC01365	P0AFV2	yhiD	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC01445	P69910	gadB	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC01497	P63204	gadE	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC01853	P68206	yjbJ	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC01924	P33358	mlrA	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC02118	P37636	mdtE	-	regulonDB
RDBECOLITFC00013	P52627	fliZ	RDBECOLIGNC02119	P37637	mdtF	-	regulonDB
