"protein_1_locus","protein_1_name","protein_2_locus","protein_2_name"
"BSU_30420","YtrE","BSU_30410","YtrF"
"BSU_30440","YtrC","BSU_30430","YtrD"
"BSU_30440","YtrC","BSU_30410","YtrF"
"BSU_30410","YtrF","BSU_30430","YtrD"
"BSU_29360","TcyL","BSU_29340","TcyN"
"BSU_29350","TcyM","BSU_29340","TcyN"
"BSU_29380","TcyJ","BSU_29340","TcyN"
"BSU_07510","FecD","BSU_07490","FecF"
"BSU_29370","TcyK","BSU_29340","TcyN"
"BSU_07500","FecE","BSU_07490","FecF"
"BSU_29360","TcyL","BSU_29350","TcyM"
"BSU_07520","FecC","BSU_07490","FecF"
"BSU_29360","TcyL","BSU_29380","TcyJ"
"BSU_10330","YhfQ","BSU_07490","FecF"
"BSU_29360","TcyL","BSU_29370","TcyK"
"BSU_07500","FecE","BSU_07510","FecD"
"BSU_29380","TcyJ","BSU_29350","TcyM"
"BSU_07520","FecC","BSU_07510","FecD"
"BSU_29370","TcyK","BSU_29350","TcyM"
"BSU_10330","YhfQ","BSU_07510","FecD"
"BSU_29380","TcyJ","BSU_29370","TcyK"
"BSU_07520","FecC","BSU_07500","FecE"
"BSU_10330","YhfQ","BSU_07500","FecE"
"BSU_10330","YhfQ","BSU_07520","FecC"
"BSU_33310","FhuB","BSU_33290","FhuC"
"BSU_33290","FhuC","BSU_33300","FhuG"
"BSU_33320","FhuD","BSU_33290","FhuC"
"BSU_39610","YxeB","BSU_33290","FhuC"
"BSU_33310","FhuB","BSU_33300","FhuG"
"BSU_33310","FhuB","BSU_33320","FhuD"
"BSU_33310","FhuB","BSU_39610","YxeB"
"BSU_33320","FhuD","BSU_33300","FhuG"
"BSU_39610","YxeB","BSU_33300","FhuG"
"BSU_39610","YxeB","BSU_33320","FhuD"
"BSU_11360","AppD","BSU_11370","AppF"
"BSU_11360","AppD","BSU_11390","AppB"
"BSU_11400","AppC","BSU_11360","AppD"
"BSU_11382","AppA/2","BSU_11360","AppD"
"BSU_11370","AppF","BSU_11390","AppB"
"BSU_11400","AppC","BSU_11370","AppF"
"BSU_11382","AppA/2","BSU_11370","AppF"
"BSU_11400","AppC","BSU_11390","AppB"
"BSU_11382","AppA/2","BSU_11390","AppB"
"BSU_11382","AppA/2","BSU_11400","AppC"
"BSU_00830","CtsR","BSU_34540","ClpP"
"BSU_00020","DnaN","BSU_17050","MutL"
"BSU_04160","MtlR","BSU_03981","MtlA"
"BSU_28490","UvrC","BSU_35170","UvrB"
"BSU_35160","UvrA","BSU_35170","UvrB"
"BSU_29200","AccA","BSU_24350","AccB"
"BSU_24340","AccC","BSU_29200","AccA"
"BSU_24350","AccB","BSU_29210","AccD"
"BSU_24340","AccC","BSU_29210","AccD"
"BSU_24340","AccC","BSU_24350","AccB"
"BSU_29200","AccA","BSU_29210","AccD"
"BSU_00190","DnaX","BSU_00310","HolB"
"BSU_00190","DnaX","BSU_25560","HolA"
"BSU_28740","AraP","BSU_28730","AraQ"
"BSU_38810","MsmX","BSU_28740","AraP"
"BSU_38810","MsmX","BSU_28730","AraQ"
"BSU_34610","MdxE","BSU_34600","MdxF"
"BSU_34610","MdxE","BSU_34590","MdxG"
"BSU_34590","MdxG","BSU_34600","MdxF"
"BSU_38810","MsmX","BSU_34600","MdxF"
"BSU_38810","MsmX","BSU_34590","MdxG"
"BSU_35940","RbsA","BSU_35950","RbsC"
"BSU_35940","RbsA","BSU_35930","RbsD"
"BSU_35960","RbsB","BSU_35940","RbsA"
"BSU_35930","RbsD","BSU_35950","RbsC"
"BSU_35960","RbsB","BSU_35950","RbsC"
"BSU_35960","RbsB","BSU_35930","RbsD"
"BSU_28740","AraP","BSU_28750","AraN"
"BSU_28730","AraQ","BSU_28750","AraN"
"BSU_00020","DnaN","BSU_23870","PolY1"
"BSU_37030","RacA","BSU_15420","DivIVA"
"BSU_01000","SecE","BSU_01360","SecY"
"BSU_01360","SecY","BSU_33630","SecG"
"BSU_01360","SecY","BSU_35300","SecA"
"BSU_01000","SecE","BSU_33630","SecG"
"BSU_01000","SecE","BSU_35300","SecA"
"BSU_35300","SecA","BSU_33630","SecG"
"BSU_14370","YknZ","BSU_14360","YknY"
"BSU_14340","YknW","BSU_14350","YknX"
"BSU_14340","YknW","BSU_14360","YknY"
"BSU_14340","YknW","BSU_14370","YknZ"
"BSU_14350","YknX","BSU_14360","YknY"
"BSU_14370","YknZ","BSU_14350","YknX"
"BSU_03820","FpbP","BSU_03830","FpbQ"
"BSU_03800","FpbN","BSU_03810","FpbO"
"BSU_03800","FpbN","BSU_03830","FpbQ"
"BSU_03830","FpbQ","BSU_03810","FpbO"
"BSU_01620","FeuB","BSU_32940","YusV"
"BSU_32940","YusV","BSU_01610","FeuC"
"BSU_01630","FeuA","BSU_32940","YusV"
"BSU_01620","FeuB","BSU_01610","FeuC"
"BSU_01630","FeuA","BSU_01620","FeuB"
"BSU_01630","FeuA","BSU_01610","FeuC"
"BSU_33830","OpuCA","BSU_33820","OpuCB"
"BSU_33830","OpuCA","BSU_33800","OpuCD"
"BSU_33830","OpuCA","BSU_33810","OpuCC"
"BSU_33800","OpuCD","BSU_33820","OpuCB"
"BSU_33820","OpuCB","BSU_33810","OpuCC"
"BSU_33800","OpuCD","BSU_33810","OpuCC"
"BSU_34200","SigL","BSU_01070","RpoB"
"BSU_34200","SigL","BSU_01080","RpoC"
"BSU_34200","SigL","BSU_01430","RpoA"
"BSU_08460","YfhA","BSU_32940","YusV"
"BSU_32940","YusV","BSU_08450","YfiZ"
"BSU_08440","YfiY","BSU_32940","YusV"
"BSU_08460","YfhA","BSU_08450","YfiZ"
"BSU_08460","YfhA","BSU_08440","YfiY"
"BSU_08440","YfiY","BSU_08450","YfiZ"
"BSU_33730","OpuBA","BSU_33720","OpuBB"
"BSU_33700","OpuBD","BSU_33730","OpuBA"
"BSU_33730","OpuBA","BSU_33710","OpuBC"
"BSU_33700","OpuBD","BSU_33720","OpuBB"
"BSU_33720","OpuBB","BSU_33710","OpuBC"
"BSU_33700","OpuBD","BSU_33710","OpuBC"
"BSU_30750","MntC","BSU_30760","MntB"
"BSU_30760","MntB","BSU_30740","MntD"
"BSU_30770","MntA","BSU_30760","MntB"
"BSU_30750","MntC","BSU_30740","MntD"
"BSU_30750","MntC","BSU_30770","MntA"
"BSU_30770","MntA","BSU_30740","MntD"
"BSU_16320","FliY","BSU_16410","FlhG"
"BSU_16310","FliM","BSU_16410","FlhG"
"BSU_16220","FliG","BSU_16410","FlhG"
"BSU_16310","FliM","BSU_16320","FliY"
"BSU_16320","FliY","BSU_16220","FliG"
"BSU_16310","FliM","BSU_16220","FliG"
"BSU_32580","FrlM","BSU_32550","FrlP"
"BSU_32550","FrlP","BSU_32590","FrlN"
"BSU_32550","FrlP","BSU_32600","FrlO"
"BSU_32580","FrlM","BSU_32590","FrlN"
"BSU_32580","FrlM","BSU_32600","FrlO"
"BSU_32590","FrlN","BSU_32600","FrlO"
"BSU_13230","ThiV","BSU_13220","ThiW"
"BSU_13210","ThiX","BSU_13220","ThiW"
"BSU_13240","ThiU","BSU_13220","ThiW"
"BSU_13210","ThiX","BSU_13230","ThiV"
"BSU_13240","ThiU","BSU_13230","ThiV"
"BSU_27430","GlnQ","BSU_27450","GlnM"
"BSU_13210","ThiX","BSU_13240","ThiU"
"BSU_27430","GlnQ","BSU_27460","GlnP"
"BSU_27430","GlnQ","BSU_27440","GlnH"
"BSU_27450","GlnM","BSU_27460","GlnP"
"BSU_27450","GlnM","BSU_27440","GlnH"
"BSU_27440","GlnH","BSU_27460","GlnP"
"BSU_03820","FpbP","BSU_03800","FpbN"
"BSU_03820","FpbP","BSU_03810","FpbO"
"BSU_00980","SigH","BSU_01070","RpoB"
"BSU_01080","RpoC","BSU_00980","SigH"
"BSU_29120","Mdh","BSU_29140","CitZ"
"BSU_29140","CitZ","BSU_29130","Icd"
"BSU_29120","Mdh","BSU_29130","Icd"
"BSU_17460","GlnA","BSU_13310","TnrA"
"BSU_25200","SigA","BSU_01070","RpoB"
"BSU_25200","SigA","BSU_01080","RpoC"
"BSU_08070","AcoB","BSU_08060","AcoA"
"BSU_08060","AcoA","BSU_08080","AcoC"
"BSU_08090","AcoL","BSU_08060","AcoA"
"BSU_08070","AcoB","BSU_08080","AcoC"
"BSU_08090","AcoL","BSU_08070","AcoB"
"BSU_08090","AcoL","BSU_08080","AcoC"
"BSU_14590","PdhB","BSU_14580","PdhA"
"BSU_14600","PdhC","BSU_14580","PdhA"
"BSU_14580","PdhA","BSU_14610","PdhD"
"BSU_14600","PdhC","BSU_14590","PdhB"
"BSU_14590","PdhB","BSU_14610","PdhD"
"BSU_14600","PdhC","BSU_14610","PdhD"
"G8J2-20","CmpA","BSU_22800","SpoIVA"
"BSU_28220","ClpX","G8J2-20","CmpA"
"BSU_28220","ClpX","BSU_22800","SpoIVA"
"BSU_28450","SdhC","BSU_28430","SdhB"
"BSU_28440","SdhA","BSU_28450","SdhC"
"BSU_28440","SdhA","BSU_28430","SdhB"
"BSU_04650","NdoAI","BSU_04660","NdoA"
"BSU_04440","DctB","BSU_04450","DctS"
"BSU_04470","DctP","BSU_04440","DctB"
"BSU_04470","DctP","BSU_04450","DctS"
"BSU_32670","SufB","BSU_32710","SufC"
"BSU_32700","SufD","BSU_32670","SufB"
"BSU_32700","SufD","BSU_32710","SufC"
"BSU_04730","SigB","BSU_01070","RpoB"
"BSU_04730","SigB","BSU_01080","RpoC"
"BSU_31090","KtrA","BSU_31100","KtrB"
