tf_id	target_id	tf_name	target_name	activate/repress	pubmed	source	tf_uniprot_id	target_uniprot_id
AT1G18570	AT4G39980	MYB51	DHS1	A	17461791	atrm	O49782	P29976
AT1G18570	AT5G54810	MYB51	TSB1	A	17616737;17461791	atrm	O49782	P14671
AT1G19220	AT1G04240	ARF19	SHY2	A	12114578;15889151	atrm	Q8RYC8	Q38822
AT1G19220	AT2G42430	ARF19	LBD16	A	17259263	atrm	Q8RYC8	Q9SLB7
AT1G19220	AT3G58190	ARF19	LBD29	A	17259263	atrm	Q8RYC8	Q9M2J7
AT1G19220	AT4G14550	ARF19	IAA14	R	16236149	atrm	Q8RYC8	Q38832
AT1G19220	AT4G37650	ARF19	SHR	R	16236149	atrm	Q8RYC8	Q9SZF7
AT1G19350	AT2G20570	BES1	GPRI1	R	21214652	atrm	Q9LN63	Q9SIV3
AT1G19350	AT2G43060	BES1	IBH1	A	20009022	atrm	Q9LN63	Q9SKX1
AT1G19350	AT4G38850	BES1	SAUR15	A	15680330;18599455;17699623;144101183	atrm	Q9LN63	Q41220
AT1G19350	AT5G10140	BES1	FLC	R	18495930	atrm	Q9LN63	Q9S7Q7
AT1G19350	AT5G44190	BES1	GLK2	R	21214652	atrm	Q9LN63	Q9FFH0
AT1G19350	AT5G57560	BES1	TCH4	A	18467490	atrm	Q9LN63	Q38857
AT1G19850	AT1G01480	MP	ACS2	A	15960614	atrm	P93024	Q06402
AT1G19850	AT1G04550	MP	IAA12	A	21478855	atrm	P93024	Q38830
AT1G19850	AT1G12980	MP	ESR1	A	19369397	atrm	P93024	Q9SAD4
AT1G19850	AT1G19850	MP	MP	A	21478855	atrm	P93024	P93024
AT1G19850	AT1G73590	MP	PIN1	A	18685044;17217464	atrm	P93024	Q9C6B8
AT1G19850	AT3G20840	MP	PLT1	A	16006581	atrm	P93024	Q5YGP8
AT1G19850	AT4G11280	MP	ACS6	A	15960614	atrm	P93024	Q9SAR0
AT1G19850	AT4G32880	MP	ATHB8	A	20592815;19901531;19710171	atrm	P93024	Q39123
AT1G19850	AT4G37770	MP	ACS8	A	15960614	atrm	P93024	Q9T065
AT1G21970	AT1G06180	LEC1	MYB13	R	9681014;10948227	atrm	Q9SFD8	Q9LNC9
AT1G21970	AT1G28300	LEC1	LEC2	A	16935993;16731585	atrm	Q9SFD8	Q1PFR7
AT1G21970	AT1G62290	LEC1	AT1G62290	A	15695450	atrm	Q9SFD8	Q8VYL3
AT1G21970	AT2G17090	LEC1	SSP	A	17208960;17522888;16731585;18024558;15695450;18476867	atrm	Q9SFD8	Q7XJT7
AT1G21970	AT2G36270	LEC1	ABI5	A	17522888;12045268;12529517	atrm	Q9SFD8	Q9SJN0
AT1G21970	AT2G41260	LEC1	M17	A	12529517	atrm	Q9SFD8	Q9S7S3
AT1G21970	AT3G24650	LEC1	ABI3	A	17208960;17522888;145100641;10634906;12529517;16731585;18024558;15695450;9286105;18476867	atrm	Q9SFD8	Q01593
