protein_1_locus	protein_2_locus	evidence	source	protein_1_alt_name	protein_1_name	protein_2_alt_name	protein_2_name
BSU_00660	BSU_06710	experimental	string-db	YabT	YabT	SwrC	SwrC
BSU_00660	BSU_12890	experimental	string-db	YabT	YabT	YkcC	YkcC
BSU_00660	BSU_16940	experimental	string-db	YabT	YabT	RecA	RecA
BSU_00660	BSU_04720	experimental	string-db	YabT	YabT	RsbW	RsbW
BSU_00670	BSU_32700	experimental	string-db	TilS	TilS	SufD	SufD
BSU_00670	BSU_19660	experimental	string-db	TilS	TilS	YozD	YozD
BSU_00680	BSU_27610	database	string-db	HprT	HprT	Apt	Apt
BSU_00680	BSU_22070	database	string-db	HprT	HprT	Xpt	Xpt
BSU_00690	BSU_37030	experimental	string-db	FtsH	FtsH	RacA	RacA
BSU_00690	BSU_26150	experimental	string-db	FtsH	FtsH	YqbD	YqbD
BSU_00690	BSU_24670	textmined	string-db	FtsH	FtsH	ComGG	ComGG
BSU_00690	BSU_06710	experimental	string-db	FtsH	FtsH	SwrC	SwrC
BSU_00690	BSU_31250	experimental	string-db	FtsH	FtsH	TlpA	TlpA
BSU_00690	BSU_29740	experimental	string-db	FtsH	FtsH	CcpA	CcpA
BSU_00690	BSU_12790	experimental	string-db	FtsH	FtsH	XhlA	XhlA
BSU_00690	BSU_10160	experimental	string-db	FtsH	FtsH	YhgE	YhgE
BSU_00690	BSU_10770	experimental	string-db	FtsH	FtsH	WprA	WprA
BSU_00700	BSU_23760	database	string-db	CoaX	CoaX	CoaA	CoaA
BSU_00710	BSU_01130	textmined	string-db	YacC	HslO	TufA	TufA
BSU_00730	BSU_27520	textmined	string-db	CysK	CysK	CymR	CymR
BSU_00730	BSU_00930	textmined	string-db	CysK	CysK	CysE	CysE
BSU_00730	BSU_29740	experimental	string-db	CysK	CysK	CcpA	CcpA
BSU_00730	BSU_29970	database	string-db	CysK	CysK	YtkP	YtkP
BSU_00740	BSU_00750	database	string-db	PabB	PabB	PabA	PabA
BSU_00750	BSU_00740	database	string-db	PabA	PabA	PabB	PabB
BSU_00750	BSU_22680	textmined	string-db	PabA	PabA	TrpE	TrpE
BSU_00820	BSU_29740	experimental	string-db	LysS	LysS	CcpA	CcpA
