regulator_locus	regulator_name	mode	gene_locus	gene_name	link	source
BSU_23100	sigX	sigma factor	BSU_00580	yabN	224308.BSU23100/224308.BSU00580	subtiwiki
BSU_23100	sigX	sigma factor	BSU_00630	yabR	224308.BSU23100/224308.BSU00630	subtiwiki
BSU_23100	sigX	sigma factor	BSU_00590	rqcP	224308.BSU23100/224308.BSU00590	subtiwiki
BSU_23100	sigX	sigma factor	BSU_00570	yabM	224308.BSU23100/224308.BSU00570	subtiwiki
BSU_23100	sigX	sigma factor	BSU_00620	divIC	224308.BSU23100/224308.BSU00620	subtiwiki
NA	c-di-AMP Riboswitch	RNA switch	BSU_31090	ktrA	224308.NA/224308.BSU31090	subtiwiki
NA	c-di-AMP Riboswitch	RNA switch	BSU_31100	ktrB	224308.NA/224308.BSU31100	subtiwiki
BSU_10420	comK	activation	BSU_35440	yvyF	224308.BSU10420/224308.BSU35440	subtiwiki
BSU_10420	comK	activation	BSU_35450	comFC	224308.BSU10420/224308.BSU35450	subtiwiki
BSU_10420	comK	activation	BSU_35470	comFA	224308.BSU10420/224308.BSU35470	subtiwiki
BSU_10420	comK	activation	BSU_35380	fliW	224308.BSU10420/224308.BSU35380	subtiwiki
BSU_10420	comK	activation	BSU_35420	flgN	224308.BSU10420/224308.BSU35420	subtiwiki
BSU_10420	comK	activation	BSU_35410	flgK	224308.BSU10420/224308.BSU35410	subtiwiki
BSU_10420	comK	activation	BSU_35400	flgL	224308.BSU10420/224308.BSU35400	subtiwiki
BSU_10420	comK	activation	BSU_35370	csrA	224308.BSU10420/224308.BSU35370	subtiwiki
BSU_10420	comK	activation	BSU_35460	comFB	224308.BSU10420/224308.BSU35460	subtiwiki
BSU_10420	comK	activation	BSU_35390	yviE	224308.BSU10420/224308.BSU35390	subtiwiki
BSU_10420	comK	activation	BSU_35430	flgM	224308.BSU10420/224308.BSU35430	subtiwiki
BSU_25200	sigA	sigma factor	BSU_35440	yvyF	224308.BSU25200/224308.BSU35440	subtiwiki
