Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf	source
vtd	FBgn0260987	mod(mdg4)	FBgn0002781	enhanceable	FBrf0127028	flybase
puc	FBgn0243512	hep	FBgn0010303	suppressible	FBrf0167481	flybase
tkv	FBgn0003716	nwk	FBgn0263456	suppressible	FBrf0204925	flybase
pbl	FBgn0003041	Myo31DF	FBgn0086347	suppressible	FBrf0199094	flybase
CycA	FBgn0000404	Rca1	FBgn0017551	enhanceable	FBrf0141469	flybase
ZnT86D	FBgn0037875	ZnT49B	FBgn0033762	enhanceable	FBrf0227521	flybase
H	FBgn0001169	CkIα	FBgn0015024	suppressible	FBrf0190751	flybase
mts	FBgn0004177	βTub85D	FBgn0003889	suppressible	FBrf0255169	flybase
ex	FBgn0004583	mir-ban	FBgn0262451	suppressible	FBrf0152024	flybase
mam	FBgn0002643	Lk6	FBgn0017581	enhanceable	FBrf0221645	flybase
tara	FBgn0040071	Cdk1	FBgn0004106	suppressible	FBrf0228870	flybase
fz2	FBgn0016797	wg	FBgn0284084	enhanceable	FBrf0104536	flybase
Brca2	FBgn0050169	aurA	FBgn0000147	enhanceable	FBrf0241545	flybase
Mer	FBgn0086384	Slik	FBgn0035001	enhanceable	FBrf0193095	flybase
mamo	FBgn0267033	HDAC1	FBgn0015805	enhanceable	FBrf0247674	flybase
Polr2B	FBgn0262955	su(RpII140<up>Z36</up>)S10	FBgn0025137	suppressible	FBrf0103303	flybase
en	FBgn0000577	inv	FBgn0001269	enhanceable	FBrf0233000	flybase
RacGAP84C	FBgn0045843	dom	FBgn0020306	enhanceable	FBrf0179402	flybase
Cdc7	FBgn0028360	Rif1	FBgn0050085	suppressible	FBrf0239006	flybase
E(z)	FBgn0000629	Psc	FBgn0005624	enhanceable	FBrf0141551	flybase
E2f1	FBgn0011766	trx	FBgn0003862	suppressible	FBrf0220353	flybase
Pld	FBgn0286511	Plc21C	FBgn0004611	suppressible	FBrf0247514	flybase
N	FBgn0004647	Su(H)	FBgn0004837	suppressible	FBrf0090844	flybase
gwl	FBgn0260399	tws	FBgn0004889	suppressible	FBrf0219186	flybase
Shrm	FBgn0085408	chic	FBgn0000308	suppressible	FBrf0247989	flybase
smi27E	FBgn0016928	Pino	FBgn0016926	enhanceable	FBrf0102310	flybase
Ptpmeg	FBgn0261985	scc	FBgn0045037	suppressible	FBrf0195205	flybase
TkR99D	FBgn0004622	CG17760	FBgn0033756	suppressible	FBrf0230788	flybase
mus304	FBgn0002901	PolA1	FBgn0259113	enhanceable	FBrf0127025	flybase
Gyc76C	FBgn0266136	Ras85D	FBgn0003205	suppressible	FBrf0244846	flybase
lncRNA:roX1	FBgn0019661	msl-2	FBgn0005616	suppressible	FBrf0159696	flybase
lncRNA:roX1	FBgn0019661	msl-1	FBgn0005617	suppressible	FBrf0159696	flybase
edl	FBgn0023214	pnt	FBgn0003118	suppressible	FBrf0180485	flybase
Pkn	FBgn0020621	cpb	FBgn0011570	suppressible	FBrf0226238	flybase
ct	FBgn0004198	E(z)	FBgn0000629	suppressible	FBrf0090696	flybase
Egfr	FBgn0003731	hh	FBgn0004644	enhanceable	FBrf0190765	flybase
bwk	FBgn0004884	BicC	FBgn0000182	enhanceable	FBrf0167514	flybase
stumps	FBgn0020299	Ras85D	FBgn0003205	suppressible	FBrf0105885	flybase
Blimp-1	FBgn0035625	Src42A	FBgn0264959	suppressible	FBrf0231038	flybase
shg	FBgn0003391	p120ctn	FBgn0260799	enhanceable	FBrf0155865	flybase
csw	FBgn0000382	dos	FBgn0016794	enhanceable	FBrf0088202	flybase
N	FBgn0004647	Delta	FBgn0000463	suppressible	FBrf0057371	flybase
ebi	FBgn0263933	Delta	FBgn0000463	enhanceable	FBrf0151813	flybase
N	FBgn0004647	E(nd)195	FBgn0013936	enhanceable	FBrf0078658	flybase
yki	FBgn0034970	syd	FBgn0024187	suppressible	FBrf0247383	flybase
X11L	FBgn0026313	X11Lβ	FBgn0052677	enhanceable	FBrf0221508	flybase
Nmnat	FBgn0039254	drpr	FBgn0027594	suppressible	FBrf0252467	flybase
chic	FBgn0000308	Fmr1	FBgn0028734	suppressible	FBrf0187329	flybase
Myc	FBgn0262656	Max	FBgn0017578	suppressible	FBrf0208289	flybase
csw::Src64B	FBgn0016791	dos	FBgn0016794	suppressible	FBrf0088202	flybase
mir-308	FBgn0262407	Myc	FBgn0262656	suppressible	FBrf0220584	flybase
mir-958	FBgn0262249	dpp	FBgn0000490	suppressible	FBrf0249061	flybase
dome	FBgn0043903	en	FBgn0000577	suppressible	FBrf0234404	flybase
lok	FBgn0019686	CG6961	FBgn0030959	suppressible	FBrf0207160	flybase
Delta	FBgn0000463	Ide	FBgn0001247	enhanceable	FBrf0241681	flybase
Src64B	FBgn0262733	Btk	FBgn0003502	enhanceable	FBrf0187382	flybase
ey	FBgn0005558	wg	FBgn0284084	suppressible	FBrf0175004	flybase
dpp	FBgn0000490	pelo	FBgn0011207	suppressible	FBrf0190332	flybase
Src42A	FBgn0264959	Stat92E	FBgn0016917	suppressible	FBrf0228263	flybase
dnc	FBgn0000479	amn	FBgn0086782	suppressible	FBrf0081985	flybase
Ppt1	FBgn0030057	fs(1)N	FBgn0004650	enhanceable	FBrf0201672	flybase
Psc	FBgn0005624	psq	FBgn0263102	enhanceable	FBrf0155950	flybase
Abp1	FBgn0036372	SCAR	FBgn0041781	suppressible	FBrf0219688	flybase
Dora	FBgn0085430	SCAR	FBgn0041781	enhanceable	FBrf0254181	flybase
ftz-f1	FBgn0001078	Idh3b	FBgn0038922	suppressible	FBrf0155496	flybase
ptc	FBgn0003892	wg	FBgn0284084	suppressible	FBrf0187379	flybase
numb	FBgn0002973	brm	FBgn0000212	enhanceable	FBrf0224828	flybase
peb	FBgn0003053	l(2)k00605b	FBgn0022267	suppressible	FBrf0180294	flybase
Dsp1	FBgn0278608	ash1	FBgn0005386	enhanceable	FBrf0132331	flybase
Gαi	FBgn0001104	pins	FBgn0040080	suppressible	FBrf0155600	flybase
Delta	FBgn0000463	ed	FBgn0000547	enhanceable	FBrf0167515	flybase
Fas2	FBgn0000635	bsk	FBgn0000229	enhanceable	FBrf0230342	flybase
gig	FBgn0005198	path	FBgn0036007	suppressible	FBrf0187461	flybase
clu	FBgn0034087	Pink1	FBgn0029891	suppressible	FBrf0233735	flybase
f	FBgn0262111	su(f)	FBgn0003559	suppressible	FBrf0087710	flybase
hpo	FBgn0261456	Ncoa6	FBgn0031698	suppressible	FBrf0226375	flybase
RpS23	FBgn0033912	Rheb	FBgn0041191	enhanceable	FBrf0248082	flybase
Ras85D	FBgn0003205	Egfr	FBgn0003731	enhanceable	FBrf0139680	flybase
jus	FBgn0039647	SLO2	FBgn0261698	enhanceable	FBrf0251724	flybase
Dronc	FBgn0026404	Strica	FBgn0033051	enhanceable	FBrf0212368	flybase
ple	FBgn0005626	Ddc	FBgn0000422	suppressible	FBrf0102773	flybase
bgcn	FBgn0004581	zpg	FBgn0024177	suppressible	FBrf0167524	flybase
sha	FBgn0003382	Vang	FBgn0015838	enhanceable	FBrf0190766	flybase
br	FBgn0283451	zip	FBgn0287873	enhanceable	FBrf0174477	flybase
grass	FBgn0039494	psh	FBgn0030926	enhanceable	FBrf0207060	flybase
Actn	FBgn0000667	Mlp84B	FBgn0014863	enhanceable	FBrf0222192	flybase
Su(H)	FBgn0004837	E(Egfr)C12	FBgn0023223	suppressible	FBrf0099460	flybase
MFS10	FBgn0030452	PXo	FBgn0035649	enhanceable	FBrf0256600	flybase
cv-c	FBgn0285955	Rho1	FBgn0014020	suppressible	FBrf0238382	flybase
park	FBgn0041100	Marf	FBgn0029870	suppressible	FBrf0206104	flybase
Ca-α1D	FBgn0001991	cac	FBgn0263111	enhanceable	FBrf0221870	flybase
pbl	FBgn0003041	apt	FBgn0015903	suppressible	FBrf0199094	flybase
Ret	FBgn0011829	mew	FBgn0004456	suppressible	FBrf0228103	flybase
Ret	FBgn0011829	mys	FBgn0004657	suppressible	FBrf0228103	flybase
ninaE	FBgn0002940	bsk	FBgn0000229	suppressible	FBrf0224179	flybase
dpp	FBgn0000490	bsk	FBgn0000229	suppressible	FBrf0217104	flybase
twi	FBgn0003900	wts	FBgn0011739	suppressible	FBrf0252497	flybase
Mtl	FBgn0039532	aos	FBgn0004569	enhanceable	FBrf0200938	flybase
RpS3	FBgn0002622	bsk	FBgn0000229	suppressible	FBrf0249612	flybase
yki	FBgn0034970	bsk	FBgn0000229	suppressible	FBrf0249612	flybase
cnk	FBgn0286070	aop	FBgn0000097	suppressible	FBrf0130193	flybase
Smox	FBgn0025800	stg	FBgn0003525	suppressible	FBrf0235445	flybase
Ppt1	FBgn0030057	Syt1	FBgn0004242	suppressible	FBrf0201672	flybase
bw	FBgn0000241	Mod(Prat:bw)3-12	FBgn0067874	suppressible	FBrf0162143	flybase
nmo	FBgn0011817	pan	FBgn0085432	suppressible	FBrf0134745	flybase
park	FBgn0041100	Ucp4A	FBgn0030872	suppressible	FBrf0226914	flybase
osi	FBgn0040985	wal	FBgn0010516	suppressible	FBrf0254799	flybase
fzr	FBgn0262699	Snoo	FBgn0085450	suppressible	FBrf0237532	flybase
park	FBgn0041100	Fer2	FBgn0038402	suppressible	FBrf0252959	flybase
jus	FBgn0039647	cac	FBgn0263111	suppressible	FBrf0230696	flybase
Ras85D	FBgn0003205	Src64B	FBgn0262733	suppressible	FBrf0223021	flybase
l(2)gl	FBgn0002121	Src64B	FBgn0262733	suppressible	FBrf0223021	flybase
mbl	FBgn0265487	CG15435	FBgn0031608	enhanceable	FBrf0210274	flybase
pnr	FBgn0003117	EP646	FBgn0062644	suppressible	FBrf0147055	flybase
sn	FBgn0003447	f	FBgn0262111	enhanceable	FBrf0180507	flybase
Abl	FBgn0000017	ena	FBgn0000578	suppressible	FBrf0141596	flybase
Antp	FBgn0260642	Taf3	FBgn0026262	enhanceable	FBrf0205311	flybase
mTor	FBgn0021796	hppy	FBgn0263395	suppressible	FBrf0212911	flybase
shn	FBgn0003396	brk	FBgn0024250	suppressible	FBrf0129962	flybase
slpr	FBgn0030018	bsk	FBgn0000229	enhanceable	FBrf0193269	flybase
hid	FBgn0003997	rpr	FBgn0011706	suppressible	FBrf0211820	flybase
fzr	FBgn0262699	KP78b	FBgn0026063	suppressible	FBrf0237532	flybase
DCTN1-p150	FBgn0001108	sw	FBgn0003654	suppressible	FBrf0134753	flybase
w	FBgn0003996	e(y)3	FBgn0087008	enhanceable	FBrf0080045	flybase
hid	FBgn0003997	Vps25	FBgn0022027	suppressible	FBrf0206508	flybase
cpx	FBgn0041605	para	FBgn0285944	enhanceable	FBrf0249540	flybase
apt	FBgn0015903	Stat92E	FBgn0016917	suppressible	FBrf0204922	flybase
nej	FBgn0261617	rho	FBgn0004635	enhanceable	FBrf0190701	flybase
N	FBgn0004647	eyg	FBgn0000625	suppressible	FBrf0179159	flybase
spz	FBgn0003495	cic	FBgn0262582	suppressible	FBrf0141486	flybase
bw	FBgn0000241	Mod(Prat:bw)3-1	FBgn0067877	enhanceable	FBrf0162143	flybase
cGlr1	FBgn0034047	cGlr2	FBgn0050424	enhanceable	FBrf0250901	flybase
ct	FBgn0004198	Psc	FBgn0005624	suppressible	FBrf0187644	flybase
yki	FBgn0034970	Incenp	FBgn0260991	enhanceable	FBrf0238801	flybase
dor	FBgn0000482	detr	FBgn0029911	suppressible	FBrf0258794	flybase
csw	FBgn0000382	Mad	FBgn0011648	suppressible	FBrf0190828	flybase
tow	FBgn0035719	Rok	FBgn0026181	suppressible	FBrf0202398	flybase
Ca-β	FBgn0287724	Dronc	FBgn0026404	enhanceable	FBrf0221870	flybase
dsh	FBgn0000499	pk	FBgn0003090	suppressible	FBrf0148922	flybase
Seipin	FBgn0040336	SERCA	FBgn0263006	suppressible	FBrf0224947	flybase
w	FBgn0003996	pho	FBgn0002521	suppressible	FBrf0125319	flybase
wupA	FBgn0283471	Mhc	FBgn0264695	suppressible	FBrf0174929	flybase
Pc	FBgn0003042	eff	FBgn0011217	enhanceable	FBrf0141543	flybase
Pink1	FBgn0029891	Miro	FBgn0039140	enhanceable	FBrf0217671	flybase
norpA	FBgn0262738	Arr2	FBgn0000121	suppressible	FBrf0191981	flybase
sc	FBgn0004170	Rel	FBgn0014018	enhanceable	FBrf0210269	flybase
hop	FBgn0004864	upd1	FBgn0004956	suppressible	FBrf0252589	flybase
mir-31a	FBgn0262416	Rchy1	FBgn0031816	suppressible	FBrf0235434	flybase
sra	FBgn0086370	Diap1	FBgn0260635	suppressible	FBrf0231143	flybase
D	FBgn0000411	vvl	FBgn0086680	enhanceable	FBrf0104903	flybase
Zip71B	FBgn0036461	Zip99C	FBgn0039714	suppressible	FBrf0227521	flybase
Mnat9	FBgn0039859	wts	FBgn0011739	enhanceable	FBrf0252580	flybase
PGRP-LB	FBgn0037906	PGRP-LE	FBgn0030695	suppressible	FBrf0238078	flybase
gig	FBgn0005198	Madm	FBgn0027497	suppressible	FBrf0230220	flybase
dsh	FBgn0000499	bsk	FBgn0000229	suppressible	FBrf0111453	flybase
fz	FBgn0001085	nkd	FBgn0002945	suppressible	FBrf0135776	flybase
tn	FBgn0265356	ERR	FBgn0035849	suppressible	FBrf0245260	flybase
rl	FBgn0003256	Plzf	FBgn0032401	enhanceable	FBrf0218378	flybase
lncRNA:roX1	FBgn0019661	lncRNA:roX2	FBgn0019660	suppressible	FBrf0144850	flybase
hep	FBgn0010303	kay	FBgn0001297	suppressible	FBrf0201428	flybase
Pvr	FBgn0032006	kay	FBgn0001297	suppressible	FBrf0201428	flybase
tay	FBgn0260938	rho	FBgn0004635	enhanceable	FBrf0223725	flybase
fra	FBgn0011592	robo1	FBgn0005631	enhanceable	FBrf0234009	flybase
Cdc42	FBgn0010341	Eip78C	FBgn0004865	enhanceable	FBrf0187664	flybase
mamo	FBgn0267033	nej	FBgn0261617	enhanceable	FBrf0247674	flybase
Ras85D	FBgn0003205	EY3-5	FBgn0026440	enhanceable	FBrf0125429	flybase
cib	FBgn0026084	chic	FBgn0000308	enhanceable	FBrf0129736	flybase
Dad1	FBgn0263852	hep	FBgn0010303	suppressible	FBrf0234005	flybase
Tak1	FBgn0026323	msn	FBgn0010909	suppressible	FBrf0135880	flybase
arm	FBgn0000117	ovo	FBgn0003028	suppressible	FBrf0110515	flybase
Ras85D	FBgn0003205	Mkp3	FBgn0036844	enhanceable	FBrf0167896	flybase
CkIIα	FBgn0264492	orb	FBgn0004882	enhanceable	FBrf0216252	flybase
N	FBgn0004647	mam	FBgn0002643	enhanceable	FBrf0090844	flybase
tor	FBgn0003733	Ras85D	FBgn0003205	suppressible	FBrf0058535	flybase
robo2	FBgn0002543	Sdc	FBgn0010415	enhanceable	FBrf0216287	flybase
foxo	FBgn0038197	osa	FBgn0261885	suppressible	FBrf0256295	flybase
Pp2B-14D	FBgn0011826	CE2-2	FBgn0063647	enhanceable	FBrf0149012	flybase
Mtl	FBgn0039532	pk	FBgn0003090	enhanceable	FBrf0200938	flybase
ap	FBgn0267978	ap::Lim3	FBgn0026267	suppressible	FBrf0104899	flybase
Myc	FBgn0262656	cnc	FBgn0262975	suppressible	FBrf0222430	flybase
ref(2)P	FBgn0003231	cnc	FBgn0262975	suppressible	FBrf0222430	flybase
trc	FBgn0003744	Pfk	FBgn0003071	enhanceable	FBrf0256007	flybase
sta	FBgn0003517	rush	FBgn0025381	suppressible	FBrf0217308	flybase
Hrs	FBgn0031450	rush	FBgn0025381	suppressible	FBrf0217308	flybase
hb	FBgn0001180	bcd	FBgn0000166	enhanceable	FBrf0126823	flybase
N	FBgn0004647	shams	FBgn0039273	suppressible	FBrf0221767	flybase
Kdm5	FBgn0031759	Stat92E	FBgn0016917	suppressible	FBrf0230112	flybase
pelo	FBgn0011207	HBS1	FBgn0042712	enhanceable	FBrf0241666	flybase
aPKC	FBgn0261854	numb	FBgn0002973	enhanceable	FBrf0206088	flybase
pnr	FBgn0003117	l(3)L0539	FBgn0024531	enhanceable	FBrf0147055	flybase
mam	FBgn0002643	Sin3A	FBgn0022764	enhanceable	FBrf0202064	flybase
w	FBgn0003996	ph-p	FBgn0004861	suppressible	FBrf0190550	flybase
Syx1A	FBgn0013343	EP2	FBgn0083241	suppressible	FBrf0188513	flybase
Ras85D	FBgn0003205	Ilp5	FBgn0044048	suppressible	FBrf0256831	flybase
smo	FBgn0003444	E(smoDN)786	FBgn0083262	enhanceable	FBrf0188528	flybase
Osbp	FBgn0020626	CG33298	FBgn0032120	suppressible	FBrf0217992	flybase
mud	FBgn0002873	pros	FBgn0004595	suppressible	FBrf0208429	flybase
RhoGAP100F	FBgn0039883	Liprin-α	FBgn0046704	suppressible	FBrf0220236	flybase
ovo	FBgn0003028	ovo::Bole\ovo	FBgn0067670	suppressible	FBrf0160672	flybase
N	FBgn0004647	dpn	FBgn0010109	suppressible	FBrf0213150	flybase
HDAC1	FBgn0015805	Mi-2	FBgn0262519	enhanceable	FBrf0141519	flybase
ttk	FBgn0003870	Mi-2	FBgn0262519	enhanceable	FBrf0141519	flybase
egr	FBgn0033483	spoon	FBgn0263987	enhanceable	FBrf0256869	flybase
Ret	FBgn0011829	Fak	FBgn0020440	suppressible	FBrf0236917	flybase
PGRP-LE	FBgn0030695	Rel	FBgn0014018	suppressible	FBrf0251689	flybase
Imp	FBgn0285926	E2f1	FBgn0011766	enhanceable	FBrf0205043	flybase
LamC	FBgn0010397	Keap1	FBgn0038475	enhanceable	FBrf0238857	flybase
aop	FBgn0000097	ttk	FBgn0003870	enhanceable	FBrf0086690	flybase
ttk	FBgn0003870	sc	FBgn0004170	suppressible	FBrf0152198	flybase
hry	FBgn0001168	sc	FBgn0004170	suppressible	FBrf0152198	flybase
Egfr	FBgn0003731	Ras64B	FBgn0003206	suppressible	FBrf0245527	flybase
Cip4	FBgn0035533	SCAR	FBgn0041781	enhanceable	FBrf0209286	flybase
Raf	FBgn0003079	ER3-5	FBgn0016647	enhanceable	FBrf0087493	flybase
arm	FBgn0000117	bsk	FBgn0000229	suppressible	FBrf0242372	flybase
smo	FBgn0003444	E(smoDN)198	FBgn0083294	enhanceable	FBrf0188528	flybase
aos	FBgn0004569	Gug	FBgn0010825	suppressible	FBrf0190100	flybase
Vhl	FBgn0041174	cnc	FBgn0262975	suppressible	FBrf0248910	flybase
qua	FBgn0003187	spoon	FBgn0263987	suppressible	FBrf0201515	flybase
dj-1β	FBgn0039802	Daxx	FBgn0031820	suppressible	FBrf0221314	flybase
Smox	FBgn0025800	babo	FBgn0011300	suppressible	FBrf0246232	flybase
ninaE	FBgn0002940	Lpt	FBgn0263667	suppressible	FBrf0257128	flybase
ct	FBgn0004198	brm	FBgn0000212	suppressible	FBrf0187644	flybase
Ras85D	FBgn0003205	Pten	FBgn0026379	enhanceable	FBrf0206710	flybase
Nf1	FBgn0015269	nAChRα6	FBgn0032151	enhanceable	FBrf0223429	flybase
rhea	FBgn0260442	if	FBgn0001250	suppressible	FBrf0193338	flybase
rpr	FBgn0011706	Diap1	FBgn0260635	suppressible	FBrf0151953	flybase
Dronc	FBgn0026404	Diap1	FBgn0260635	suppressible	FBrf0132365	flybase
sisA	FBgn0003411	E(Sxl)	FBgn0015694	enhanceable	FBrf0086020	flybase
grim	FBgn0015946	Diap1	FBgn0260635	suppressible	FBrf0167712	flybase
ph-p	FBgn0004861	rept	FBgn0040075	enhanceable	FBrf0193464	flybase
Delta	FBgn0000463	E(Delta)9P39.8	FBgn0010021	enhanceable	FBrf0057610	flybase
L	FBgn0288433	ras	FBgn0003204	suppressible	FBrf0187660	flybase
Pka-C1	FBgn0000273	Su(fu)	FBgn0005355	enhanceable	FBrf0105900	flybase
Ras85D	FBgn0003205	chb	FBgn0021760	suppressible	FBrf0131317	flybase
spz5	FBgn0035379	Vap33	FBgn0029687	suppressible	FBrf0236611	flybase
hh	FBgn0004644	Pka-C1	FBgn0000273	suppressible	FBrf0127415	flybase
Raf	FBgn0003079	Egfr	FBgn0003731	enhanceable	FBrf0131405	flybase
Shrm	FBgn0085408	trio	FBgn0024277	suppressible	FBrf0247989	flybase
shg	FBgn0003391	dgo	FBgn0086898	enhanceable	FBrf0191998	flybase
Appl	FBgn0000108	Dscam1	FBgn0033159	enhanceable	FBrf0257601	flybase
Dso2	FBgn0067905	Dso1	FBgn0040653	suppressible	FBrf0244753	flybase
hop	FBgn0004864	ecd	FBgn0000543	suppressible	FBrf0144807	flybase
yki	FBgn0034970	vg	FBgn0003975	suppressible	FBrf0204632	flybase
Lpt	FBgn0263667	Dcr-2	FBgn0034246	enhanceable	FBrf0222012	flybase
mi	FBgn0261786	mir-284	FBgn0262383	suppressible	FBrf0217517	flybase
Dys	FBgn0260003	l(2)k09848	FBgn0284246	suppressible	FBrf0205440	flybase
mirr	FBgn0014343	fng	FBgn0011591	suppressible	FBrf0112091	flybase
Jra	FBgn0001291	Sdc	FBgn0010415	suppressible	FBrf0207092	flybase
kay	FBgn0001297	Sdc	FBgn0010415	suppressible	FBrf0207092	flybase
hop	FBgn0004864	CycE	FBgn0010382	suppressible	FBrf0155684	flybase
Pka-R1	FBgn0259243	Pka-C1	FBgn0000273	suppressible	FBrf0174558	flybase
spn-A	FBgn0003479	PolQ	FBgn0002905	suppressible	FBrf0235770	flybase
Seipin	FBgn0040336	Cds	FBgn0010350	suppressible	FBrf0213596	flybase
cact	FBgn0000250	dl	FBgn0260632	enhanceable	FBrf0132288	flybase
yki	FBgn0034970	sd	FBgn0003345	suppressible	FBrf0229775	flybase
Nab2	FBgn0028471	Pabp2	FBgn0005648	enhanceable	FBrf0214553	flybase
robo1	FBgn0005631	robo2	FBgn0002543	enhanceable	FBrf0132431	flybase
Alg9	FBgn0039293	grnd	FBgn0032682	suppressible	FBrf0239133	flybase
egr	FBgn0033483	grnd	FBgn0032682	suppressible	FBrf0228803	flybase
aop	FBgn0000097	EY3-5	FBgn0026440	enhanceable	FBrf0125429	flybase
SAK	FBgn0026371	Sas-4	FBgn0011020	suppressible	FBrf0213223	flybase
mam	FBgn0002643	RpL13A	FBgn0037351	suppressible	FBrf0190498	flybase
sfl	FBgn0020251	Hs2st	FBgn0024230	suppressible	FBrf0213406	flybase
Egfr	FBgn0003731	brm	FBgn0000212	suppressible	FBrf0211319	flybase
Delta	FBgn0000463	ci	FBgn0004859	enhanceable	FBrf0221556	flybase
wg	FBgn0284084	slp2	FBgn0004567	suppressible	FBrf0122964	flybase
Pink1	FBgn0029891	mfrn	FBgn0039561	enhanceable	FBrf0252834	flybase
Tsf1	FBgn0022355	mfrn	FBgn0039561	enhanceable	FBrf0252834	flybase
tkv	FBgn0003716	Lis-1	FBgn0015754	suppressible	FBrf0212350	flybase
dom	FBgn0020306	Hel89B	FBgn0022787	enhanceable	FBrf0230159	flybase
Gli	FBgn0001987	bsk	FBgn0000229	suppressible	FBrf0212409	flybase
Csk	FBgn0262081	tsr	FBgn0011726	suppressible	FBrf0225132	flybase
Pc	FBgn0003042	l(3)80Fj	FBgn0287182	suppressible	FBrf0134775	flybase
ry	FBgn0003308	w	FBgn0003996	enhanceable	FBrf0147069	flybase
Tom40	FBgn0016041	Syx17	FBgn0035540	enhanceable	FBrf0239838	flybase
Rbf	FBgn0015799	lilli	FBgn0041111	enhanceable	FBrf0221645	flybase
peb	FBgn0003053	puc	FBgn0243512	suppressible	FBrf0180294	flybase
sra	FBgn0086370	Pp2B-14D	FBgn0011826	suppressible	FBrf0215272	flybase
Ptp61F	FBgn0267487	Stat92E	FBgn0016917	suppressible	FBrf0220991	flybase
tefu	FBgn0045035	Mekk1	FBgn0024329	enhanceable	FBrf0204663	flybase
Sema1a	FBgn0011259	sfl	FBgn0020251	enhanceable	FBrf0219528	flybase
w	FBgn0003996	kis	FBgn0266557	enhanceable	FBrf0167457	flybase
trr	FBgn0023518	kis	FBgn0266557	enhanceable	FBrf0242428	flybase
CYLD	FBgn0032210	Tak1	FBgn0026323	suppressible	FBrf0200559	flybase
Gr63a	FBgn0035468	Gr21a	FBgn0041250	suppressible	FBrf0212455	flybase
Ir64a	FBgn0035604	Gr21a	FBgn0041250	suppressible	FBrf0212455	flybase
hop	FBgn0004864	Socs44A	FBgn0033266	suppressible	FBrf0179958	flybase
Rgk1	FBgn0264753	dnc	FBgn0000479	enhanceable	FBrf0235693	flybase
Bace	FBgn0032049	Appl	FBgn0000108	suppressible	FBrf0219983	flybase
wake	FBgn0266418	brp	FBgn0259246	suppressible	FBrf0255209	flybase
Ras85D	FBgn0003205	wupA	FBgn0283471	enhanceable	FBrf0234419	flybase
l(2)gl	FBgn0002121	wupA	FBgn0283471	enhanceable	FBrf0234419	flybase
scrib	FBgn0263289	bsk	FBgn0000229	suppressible	FBrf0188278	flybase
Abd-B	FBgn0000015	trx	FBgn0003862	suppressible	FBrf0093606	flybase
Eaat1	FBgn0026439	GluRIID	FBgn0028422	suppressible	FBrf0243117	flybase
hng1	FBgn0034599	hng3	FBgn0035160	enhanceable	FBrf0224045	flybase
z	FBgn0004050	e(y)2	FBgn0000618	enhanceable	FBrf0080045	flybase
w	FBgn0003996	e(y)2	FBgn0000618	enhanceable	FBrf0080045	flybase
per	FBgn0003068	dco	FBgn0002413	suppressible	FBrf0138449	flybase
trx	FBgn0003862	esc	FBgn0000588	suppressible	FBrf0129826	flybase
brm	FBgn0000212	esc	FBgn0000588	suppressible	FBrf0129826	flybase
Dref	FBgn0015664	mor	FBgn0002783	suppressible	FBrf0215889	flybase
kay	FBgn0001297	Jra	FBgn0001291	enhanceable	FBrf0098878	flybase
foxo	FBgn0038197	Gycα99B	FBgn0013972	suppressible	FBrf0217639	flybase
Antp	FBgn0260642	Pc	FBgn0003042	enhanceable	FBrf0016599	flybase
Su(H)	FBgn0004837	H	FBgn0001169	suppressible	FBrf0136838	flybase
M(3)99E	FBgn0002627	E(M99E)	FBgn0005031	enhanceable	unattributed	flybase
fng	FBgn0011591	toe	FBgn0036285	suppressible	FBrf0167947	flybase
lok	FBgn0019686	grp	FBgn0261278	enhanceable	FBrf0207129	flybase
dom	FBgn0020306	tws	FBgn0004889	enhanceable	FBrf0221645	flybase
faf	FBgn0005632	lqf	FBgn0028582	suppressible	FBrf0127031	flybase
rb	FBgn0003210	aux	FBgn0037218	enhanceable	FBrf0210495	flybase
Rho1	FBgn0014020	Cdc37	FBgn0011573	suppressible	FBrf0080078	flybase
dom	FBgn0020306	HDAC1	FBgn0015805	suppressible	FBrf0230159	flybase
dysf	FBgn0039411	hop	FBgn0004864	suppressible	FBrf0254019	flybase
pbl	FBgn0003041	flr	FBgn0260049	suppressible	FBrf0199094	flybase
Pi3K92E	FBgn0015279	arm	FBgn0000117	suppressible	FBrf0244419	flybase
Pi3K92E	FBgn0015279	fz	FBgn0001085	suppressible	FBrf0244419	flybase
btl::Egfr	FBgn0022739	arm	FBgn0000117	suppressible	FBrf0244419	flybase
btl::Egfr	FBgn0022739	fz	FBgn0001085	suppressible	FBrf0244419	flybase
E(spl)m4-BFM	FBgn0002629	E(spl)mα-BFM	FBgn0002732	enhanceable	FBrf0111325	flybase
ato	FBgn0010433	ro	FBgn0003267	enhanceable	FBrf0127389	flybase
hppy	FBgn0263395	Akt	FBgn0010379	enhanceable	FBrf0212911	flybase
α-Spec	FBgn0250789	β-Spec	FBgn0250788	enhanceable	FBrf0191925	flybase
SkpA	FBgn0025637	kay	FBgn0001297	suppressible	FBrf0225403	flybase
w	FBgn0003996	loqs	FBgn0032515	suppressible	FBrf0209625	flybase
14-3-3ε	FBgn0020238	par-1	FBgn0260934	enhanceable	FBrf0151902	flybase
Nsf2	FBgn0266464	GS5246	FBgn0263073	suppressible	FBrf0187645	flybase
DAAM	FBgn0025641	Btk	FBgn0003502	enhanceable	FBrf0190308	flybase
