Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf	source
Prosβ6	FBgn0002284	mask	FBgn0043884	suppressible	FBrf0237484	flybase
osk	FBgn0003015	vas	FBgn0283442	suppressible	FBrf0090859	flybase
dpp	FBgn0000490	Lpt	FBgn0263667	enhanceable	FBrf0222012	flybase
Rac1	FBgn0010333	Diap1	FBgn0260635	suppressible	FBrf0179220	flybase
Su(H)	FBgn0004837	H	FBgn0001169	enhanceable	FBrf0132042	flybase
Sdc	FBgn0010415	robo2	FBgn0002543	enhanceable	FBrf0174474	flybase
tkv	FBgn0003716	Snoo	FBgn0085450	suppressible	FBrf0200635	flybase
btl	FBgn0285896	EP1200	FBgn0083244	suppressible	FBrf0187664	flybase
stumps	FBgn0020299	EP1200	FBgn0083244	suppressible	FBrf0187664	flybase
shg	FBgn0003391	arm	FBgn0000117	enhanceable	FBrf0132031	flybase
Myb	FBgn0002914	mip130	FBgn0023509	suppressible	FBrf0219063	flybase
lin-52	FBgn0029800	mip130	FBgn0023509	suppressible	FBrf0219063	flybase
dpp	FBgn0000490	tld	FBgn0003719	enhanceable	FBrf0079237	flybase
Mkp3	FBgn0036844	rl	FBgn0003256	suppressible	FBrf0160889	flybase
ct	FBgn0004198	Nipped-B	FBgn0026401	enhanceable	FBrf0203143	flybase
arr	FBgn0000119	Usp12-46	FBgn0039025	suppressible	FBrf0257735	flybase
N	FBgn0004647	Kap-α3	FBgn0027338	enhanceable	FBrf0222099	flybase
Dcr-1	FBgn0039016	Myc	FBgn0262656	suppressible	FBrf0210816	flybase
Apc	FBgn0015589	shg	FBgn0003391	enhanceable	FBrf0221572	flybase
Apc2	FBgn0026598	shg	FBgn0003391	enhanceable	FBrf0221572	flybase
ptc	FBgn0003892	vn	FBgn0003984	suppressible	FBrf0123237	flybase
Pld	FBgn0286511	Vps35	FBgn0034708	suppressible	FBrf0234086	flybase
Egfr	FBgn0003731	dac	FBgn0005677	suppressible	FBrf0075101	flybase
fog	FBgn0000719	tsl	FBgn0003867	suppressible	FBrf0235984	flybase
rdgA	FBgn0261549	trp	FBgn0003861	suppressible	FBrf0127286	flybase
rdgA	FBgn0261549	trpl	FBgn0005614	suppressible	FBrf0127286	flybase
nerfin-1	FBgn0028999	N	FBgn0004647	suppressible	FBrf0235264	flybase
