Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf
wg	FBgn0284084	fz3	FBgn0027343	suppressible	FBrf0111481
msi	FBgn0011666	ttk	FBgn0003870	suppressible	FBrf0111386
l(2)gd1	FBgn0261983	N	FBgn0004647	enhanceable	FBrf0158846
ed	FBgn0000547	sav	FBgn0053193	suppressible	FBrf0217474
park	FBgn0041100	TER94	FBgn0286784	enhanceable	FBrf0221255
pbl	FBgn0003041	aurA	FBgn0000147	suppressible	FBrf0199094
ct	FBgn0004198	Nipped-A	FBgn0053554	enhanceable	FBrf0109032
N	FBgn0004647	lark	FBgn0011640	enhanceable	FBrf0202064
N	FBgn0004647	pk	FBgn0003090	suppressible	FBrf0106363
Atg1	FBgn0260945	bs	FBgn0004101	suppressible	FBrf0203068
dup	FBgn0000996	lok	FBgn0019686	suppressible	FBrf0206322
N	FBgn0004647	krz	FBgn0040206	enhanceable	FBrf0213301
Snr1	FBgn0011715	NO66	FBgn0266570	suppressible	FBrf0212876
sli	FBgn0264089	Abl	FBgn0000017	enhanceable	FBrf0221894
Psn	FBgn0284421	Ras85D	FBgn0003205	enhanceable	FBrf0190744
L	FBgn0288433	pan	FBgn0085432	suppressible	FBrf0192707
Bx	FBgn0265598	CG14204	FBgn0031032	enhanceable	FBrf0211594
SREBP	FBgn0261283	Pdha1	FBgn0028325	suppressible	FBrf0237138
CYLD	FBgn0032210	bsk	FBgn0000229	suppressible	FBrf0200559
YME1L	FBgn0034792	Sod2	FBgn0010213	suppressible	FBrf0230561
spn-B	FBgn0003480	Hus1-like	FBgn0026417	suppressible	FBrf0193459
park	FBgn0041100	mask	FBgn0043884	suppressible	FBrf0228337
Mer	FBgn0086384	E(Mer)IIIa	FBgn0044874	enhanceable	FBrf0136951
Pc	FBgn0003042	Hsc70-4	FBgn0266599	enhanceable	FBrf0135926
HDAC6	FBgn0026428	Lsd-2	FBgn0030608	suppressible	FBrf0236910
upd1	FBgn0004956	spri	FBgn0085443	enhanceable	FBrf0190752
fra	FBgn0011592	mys	FBgn0004657	enhanceable	FBrf0220366
ct	FBgn0004198	Su(z)2	FBgn0265623	enhanceable	FBrf0090696
dlg1	FBgn0001624	Rel	FBgn0014018	enhanceable	FBrf0243114
Aplip1	FBgn0040281	futsch	FBgn0259108	suppressible	FBrf0222265
sgg	FBgn0003371	glob1	FBgn0027657	suppressible	FBrf0248905
Ras85D	FBgn0003205	Taf4	FBgn0010280	suppressible	FBrf0125429
Ret	FBgn0011829	Src42A	FBgn0264959	suppressible	FBrf0190765
dlp	FBgn0041604	wg	FBgn0284084	suppressible	FBrf0131247
CycE	FBgn0010382	S(CycE<up>JP</up>)2.7	FBgn0082631	suppressible	FBrf0180291
LamC	FBgn0010397	AMPKα	FBgn0023169	suppressible	FBrf0241206
Vrp1	FBgn0243516	WASp	FBgn0024273	suppressible	FBrf0201865
rst	FBgn0003285	Delta	FBgn0000463	enhanceable	FBrf0130106
spn-B	FBgn0003480	eIF1A	FBgn0026250	suppressible	FBrf0226455
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	RIOK2	FBgn0039306	suppressible	FBrf0220985
Hsc70-5	FBgn0001220	Buffy	FBgn0040491	suppressible	FBrf0251563
Wnk	FBgn0037098	axed	FBgn0035708	suppressible	FBrf0251271
arm	FBgn0000117	mam	FBgn0002643	enhanceable	FBrf0202064
peb	FBgn0003053	Nse1	FBgn0031848	suppressible	FBrf0180294
sev	FBgn0003366	Egfr	FBgn0003731	suppressible	FBrf0128139
