Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf
ph-p	FBgn0004861	dpp	FBgn0000490	suppressible	FBrf0233652
vn	FBgn0003984	aos	FBgn0004569	suppressible	FBrf0179189
PIG-B	FBgn0035464	PIG-B::Acep\PIGB	FBgn0286972	suppressible	FBrf0240437
Tl	FBgn0262473	Myb	FBgn0002914	suppressible	FBrf0182711
sty	FBgn0014388	Edem2	FBgn0032480	suppressible	FBrf0213387
Egfr	FBgn0003731	hppy	FBgn0263395	suppressible	FBrf0208186
Ras85D	FBgn0003205	Sos	FBgn0001965	suppressible	FBrf0125429
btl|stumps	FBgn0285896|FBgn0020299	CG10433	FBgn0034638	enhanceable	FBrf0187664
Snr1	FBgn0011715	CycG	FBgn0039858	suppressible	FBrf0241270
pzg	FBgn0259785	CycE	FBgn0010382	enhanceable	FBrf0201686
cindr	FBgn0027598	Topors	FBgn0267351	enhanceable	FBrf0237191
RpS3	FBgn0002622	yki	FBgn0034970	enhanceable	FBrf0249612
Dg	FBgn0034072	Sdc	FBgn0010415	enhanceable	FBrf0205440
shot	FBgn0013733	wnd	FBgn0036896	suppressible	FBrf0223263
pnr	FBgn0003117	EP3306	FBgn0062657	enhanceable	FBrf0147055
Myc|ref(2)P	FBgn0262656|FBgn0003231	Keap1	FBgn0038475	suppressible	FBrf0222430
vg	FBgn0003975	E2f1	FBgn0011766	suppressible	FBrf0167376
PDZ-GEF	FBgn0265778	Rap1	FBgn0004636	suppressible	FBrf0190226
hh	FBgn0004644	Psc	FBgn0005624	enhanceable	FBrf0130036
Psn	FBgn0284421	vg	FBgn0003975	enhanceable	FBrf0190744
Sb	FBgn0003319	E(f)	FBgn0000555	enhanceable	FBrf0063304
DCTN1-p150	FBgn0001108	Khc	FBgn0001308	suppressible	FBrf0218160
hop	FBgn0004864	E(bx)	FBgn0000541	enhanceable	FBrf0213648
cnc	FBgn0262975	bam	FBgn0000158	enhanceable	FBrf0247222
brat	FBgn0010300	Not1	FBgn0085436	enhanceable	FBrf0240730
ari-1	FBgn0017418	bon	FBgn0023097	suppressible	FBrf0216551
dgo	FBgn0086898	baz	FBgn0000163	enhanceable	FBrf0218210
tor	FBgn0003733	Su(tor)2-56	FBgn0014059	suppressible	FBrf0058535
Ras85D	FBgn0003205	Plzf	FBgn0032401	suppressible	FBrf0218378
pbl	FBgn0003041	gish	FBgn0250823	enhanceable	FBrf0199094
BicC	FBgn0000182	me31B	FBgn0004419	enhanceable	FBrf0207679
w	FBgn0003996	pasha	FBgn0039861	suppressible	FBrf0218153
trx|brm	FBgn0003862|FBgn0000212	Pc	FBgn0003042	suppressible	FBrf0129826
Cul4	FBgn0033260	yki	FBgn0034970	suppressible	FBrf0242621
fzr	FBgn0262699	insc	FBgn0011674	suppressible	FBrf0237532
run	FBgn0003300	HDAC1	FBgn0015805	suppressible	FBrf0152256
lok	FBgn0019686	mei-41	FBgn0004367	enhanceable	FBrf0207129
Raf::tor	FBgn0013724	ksr::tor	FBgn0019804	enhanceable	FBrf0144882
trol	FBgn0284408	hh	FBgn0004644	enhanceable	FBrf0157194
pnr	FBgn0003117	EP2595	FBgn0062673	enhanceable	FBrf0147055
Myc	FBgn0262656	Kdm5	FBgn0031759	suppressible	FBrf0193047
Hr51	FBgn0034012	Rnb	FBgn0039696	enhanceable	FBrf0236076
ap	FBgn0267978	Delta	FBgn0000463	suppressible	FBrf0103296
E2f1	FBgn0011766	Rbf	FBgn0015799	suppressible	FBrf0194141
l(2)gl|Ras85D	FBgn0002121|FBgn0003205	wupA	FBgn0283471	suppressible	FBrf0234419
bsk	FBgn0000229	Sln	FBgn0033657	suppressible	FBrf0237138
Rheb	FBgn0041191	unk	FBgn0004395	suppressible	FBrf0226218
Krn	FBgn0052179	Egfr	FBgn0003731	suppressible	FBrf0151286
Arlr	FBgn0030251	regucalcin	FBgn0030362	suppressible	FBrf0257726
ap	FBgn0267978	ap::Bx	FBgn0061178	suppressible	FBrf0141489
RhoGAP18B	FBgn0261461	Efa6	FBgn0051158	suppressible	FBrf0238193
Dap160	FBgn0023388	wit	FBgn0024179	suppressible	FBrf0204925
Eogt	FBgn0264672	dpy	FBgn0053196	enhanceable	FBrf0217928
futsch	FBgn0259108	tau	FBgn0266579	suppressible	FBrf0188078
Pc	FBgn0003042	dom	FBgn0020306	enhanceable	FBrf0134570
spoon	FBgn0263987	bsk	FBgn0000229	suppressible	FBrf0256869
Apc	FBgn0015589	ebd1|ebd2	FBgn0035153|FBgn0037076	suppressible	FBrf0236090
Dfd	FBgn0000439	stout	FBgn0001428	enhanceable	FBrf0105823
Dhpr	FBgn0035964	Drp1	FBgn0026479	enhanceable	FBrf0243587
dgo	FBgn0086898	Delta	FBgn0000463	enhanceable	FBrf0218210
Tpi	FBgn0086355	Hsc70-4	FBgn0266599	suppressible	FBrf0212050
Su(H)	FBgn0004837	M285	FBgn0025576	enhanceable	FBrf0104442
trc	FBgn0003744	Rho1	FBgn0014020	enhanceable	FBrf0184141
Dfd	FBgn0000439	ale	FBgn0000067	suppressible	unattributed
Rbf	FBgn0015799	dap	FBgn0010316	enhanceable	FBrf0144826
Apc|p53|Ras85D	FBgn0015589|FBgn0039044|FBgn0003205	Tk	FBgn0037976	suppressible	FBrf0258216
Khc::Ggal\MLCK|robo1	FBgn0016674|FBgn0005631	Sos	FBgn0001965	suppressible	FBrf0127081
mei-P26	FBgn0026206	vas	FBgn0283442	enhanceable	FBrf0209427
cindr	FBgn0027598	poe	FBgn0011230	enhanceable	FBrf0237191
Hsc70-4	FBgn0266599	aux	FBgn0037218	enhanceable	FBrf0193261
sli	FBgn0264089	Ras85D	FBgn0003205	enhanceable	FBrf0190142
wntD	FBgn0038134	dl	FBgn0260632	suppressible	FBrf0188139
bwk	FBgn0004884	Src42A	FBgn0264959	enhanceable	FBrf0167514
Nab2	FBgn0028471	Arpc2	FBgn0032859	suppressible	FBrf0252576
TkR99D	FBgn0004622	Gγ1	FBgn0004921	suppressible	FBrf0230788
Arms	FBgn0261554	Cat	FBgn0000261	suppressible	FBrf0255801
Ephrin	FBgn0040324	Eph	FBgn0025936	suppressible	FBrf0144969
brun	FBgn0261787	Rab11	FBgn0015790	enhanceable	FBrf0209478
mbl	FBgn0265487	Traf4	FBgn0026319	enhanceable	FBrf0210274
Mlf	FBgn0034051	DnaJ-1	FBgn0263106	enhanceable	FBrf0236362
hh	FBgn0004644	sc	FBgn0004170	suppressible	FBrf0167657
puc|Moe	FBgn0243512|FBgn0011661	hep	FBgn0010303	suppressible	FBrf0210554
osk	FBgn0003015	nanos	FBgn0002962	suppressible	FBrf0090859
Lpt	FBgn0263667	dpp	FBgn0000490	suppressible	FBrf0222012
mi	FBgn0261786	mir-929	FBgn0262214	suppressible	FBrf0217517
Raf	FBgn0003079	14-3-3ε	FBgn0020238	enhanceable	FBrf0131405
ro	FBgn0003267	Su(ro<up>DOM</up>)923	FBgn0043553	suppressible	FBrf0131272
dgo|shg	FBgn0086898|FBgn0003391	Vang	FBgn0015838	enhanceable	FBrf0191998
mam	FBgn0002643	Lk6	FBgn0017581	suppressible	FBrf0221645
qsm	FBgn0028622	Rok	FBgn0026181	suppressible	FBrf0248720
shg	FBgn0003391	l(3)09291	FBgn0010934	suppressible	FBrf0123026
Dg	FBgn0034072	mbl	FBgn0265487	suppressible	FBrf0205440
rod	FBgn0003268	grp	FBgn0261278	enhanceable	FBrf0230914
fra	FBgn0011592	robo1	FBgn0005631	suppressible	FBrf0253623
Egfr	FBgn0003731	Phb2	FBgn0010551	suppressible	FBrf0252589
Egfrap|Ras85D	FBgn0053993|FBgn0003205	PVRAP	FBgn0052406	enhanceable	FBrf0250898
E2f1	FBgn0011766	Dp	FBgn0011763	enhanceable	FBrf0102989
dachs|ft	FBgn0262029|FBgn0001075	yki	FBgn0034970	enhanceable	FBrf0219618
nmo	FBgn0011817	spi	FBgn0005672	enhanceable	FBrf0213975
Cul4	FBgn0033260	wts	FBgn0011739	suppressible	FBrf0242621
pnr	FBgn0003117	CtBP	FBgn0020496	enhanceable	FBrf0147055
Drak	FBgn0052666	Rho1	FBgn0014020	enhanceable	FBrf0211530
fzr	FBgn0262699	PRAS40	FBgn0267824	suppressible	FBrf0237532
rpr	FBgn0011706	Dronc	FBgn0026404	suppressible	FBrf0129853
N	FBgn0004647	Su(H)	FBgn0004837	suppressible	FBrf0109032
lwr	FBgn0010602	Dif	FBgn0011274	suppressible	FBrf0187386
mbl	FBgn0265487	Ugt36D1	FBgn0032713	enhanceable	FBrf0210274
dock	FBgn0010583	trio	FBgn0024277	enhanceable	FBrf0128589
ci	FBgn0004859	Su(hh)II	FBgn0043565	suppressible	FBrf0131307
wts	FBgn0011739	Hrb27C	FBgn0004838	suppressible	FBrf0240401
rho	FBgn0004635	spi	FBgn0005672	suppressible	FBrf0105339
sd	FBgn0003345	Bin1	FBgn0024491	suppressible	FBrf0188188
Dg	FBgn0034072	vimar	FBgn0022960	enhanceable	FBrf0214383
Delta	FBgn0000463	RpL19	FBgn0285950	enhanceable	FBrf0057610
tws	FBgn0004889	Sod2	FBgn0010213	suppressible	FBrf0213866
ics	FBgn0028546	Rac1	FBgn0010333	suppressible	FBrf0229186
Bx	FBgn0265598	CG11893	FBgn0039316	enhanceable	FBrf0211594
elB	FBgn0004858	CycE	FBgn0010382	suppressible	FBrf0152035
ase	FBgn0000137	nvy	FBgn0005636	suppressible	FBrf0190182
peb	FBgn0003053	l(2)00297	FBgn0010461	suppressible	FBrf0180294
Dsp1	FBgn0278608	trx	FBgn0003862	enhanceable	FBrf0132331
TrpA1	FBgn0035934	Gr28b	FBgn0045495	suppressible	FBrf0222493
Delta	FBgn0000463	E(nd)195	FBgn0013936	enhanceable	FBrf0078658
fru	FBgn0004652	hb	FBgn0001180	enhanceable	FBrf0213400
Kdm5	FBgn0031759	CycE	FBgn0010382	suppressible	FBrf0244367
iPLA2-VIA	FBgn0036053	lace	FBgn0002524	suppressible	FBrf0240357
wap	FBgn0266848	mnb	FBgn0259168	suppressible	FBrf0222935
wg|spen	FBgn0284084|FBgn0016977	nito	FBgn0027548	suppressible	FBrf0215879
dom	FBgn0020306	Pp2A-29B	FBgn0260439	enhanceable	FBrf0221645
Polr2B	FBgn0262955	su(RpII140<up>Z36</up>)S18	FBgn0025129	suppressible	FBrf0103303
gcm	FBgn0014179	crol	FBgn0020309	suppressible	FBrf0220515
Rel	FBgn0014018	mtd	FBgn0013576	suppressible	FBrf0217978
Chi	FBgn0013764	ap	FBgn0267978	suppressible	FBrf0131385
nerfin-1	FBgn0028999	Su(H)	FBgn0004837	suppressible	FBrf0235264
Ras85D|dlg1	FBgn0003205|FBgn0001624	Akt	FBgn0010379	suppressible	FBrf0216281
egr	FBgn0033483	bsk	FBgn0000229	suppressible	FBrf0240552
ttm50	FBgn0250874	PPP1R15	FBgn0034948	suppressible	FBrf0234947
vn	FBgn0003984	emc	FBgn0000575	suppressible	FBrf0107601
Hcf	FBgn0039904	sxc	FBgn0261403	enhanceable	FBrf0238882
blw	FBgn0011211	E2f1	FBgn0011766	suppressible	FBrf0108515
Psn	FBgn0284421	cher	FBgn0014141	suppressible	FBrf0129842
rdx	FBgn0264493	Polr2G	FBgn0051155	suppressible	FBrf0257252
Ras85D	FBgn0003205	edl	FBgn0023214	suppressible	FBrf0161068
snf|Sxl	FBgn0003449|FBgn0264270	TrpRS	FBgn0010803	enhanceable	FBrf0107310
nej	FBgn0261617	ash1	FBgn0005386	suppressible	FBrf0131248
Vps60	FBgn0036740	shrb	FBgn0086656	suppressible	FBrf0243352
Smox	FBgn0025800	Rala	FBgn0015286	suppressible	FBrf0235445
ct	FBgn0004198	mts	FBgn0004177	suppressible	FBrf0255169
puc|flw	FBgn0243512|FBgn0000711	bsk	FBgn0000229	suppressible	FBrf0200380
upd1	FBgn0004956	Myc	FBgn0262656	suppressible	FBrf0190752
Crtc	FBgn0036746	CrebB	FBgn0265784	suppressible	FBrf0204686
Sox100B	FBgn0024288	Sox21a	FBgn0036411	suppressible	FBrf0245798
Vang	FBgn0015838	pk	FBgn0003090	suppressible	FBrf0129695
CASK	FBgn0013759	Nrx-1	FBgn0038975	enhanceable	FBrf0215389
Myc	FBgn0262656	run	FBgn0003300	suppressible	FBrf0212913
E(Mer)IIIa	FBgn0044874	Mer	FBgn0086384	enhanceable	FBrf0136951
Ask1	FBgn0014006	Mkk4	FBgn0024326	suppressible	FBrf0215011
Dcp-1	FBgn0010501	Akt	FBgn0010379	enhanceable	FBrf0209948
gogo	FBgn0052227	InR	FBgn0283499	suppressible	FBrf0217291
ttv	FBgn0265974	β3GalTII	FBgn0033315	enhanceable	FBrf0204719
tkv	FBgn0003716	nmo	FBgn0011817	enhanceable	FBrf0201674
asl	FBgn0261004	Cep97	FBgn0031575	suppressible	FBrf0232405
Fer2	FBgn0038402	foxo	FBgn0038197	suppressible	FBrf0238447
Myd88	FBgn0033402	Toll-6	FBgn0036494	enhanceable	FBrf0235455
Not1	FBgn0085436	esc	FBgn0000588	suppressible	FBrf0246104
scrib	FBgn0263289	msn	FBgn0010909	enhanceable	FBrf0248799
Sh	FBgn0003380	Shab	FBgn0262593	suppressible	FBrf0191053
Eogt|Dcr-2	FBgn0264672|FBgn0034246	Dhod	FBgn0000447	suppressible	FBrf0221543
hep	FBgn0010303	park	FBgn0041100	suppressible	FBrf0211317
scrib	FBgn0263289	bsk	FBgn0000229	suppressible	FBrf0242372
smo	FBgn0003444	E(smoDN)1875	FBgn0083296	enhanceable	FBrf0188528
vap	FBgn0003969	Egfr	FBgn0003731	suppressible	FBrf0155942
sev|Ras85D	FBgn0003366|FBgn0003205	frc	FBgn0042641	suppressible	FBrf0105879
FASN1	FBgn0283427	Lpin	FBgn0263593	suppressible	FBrf0252285
baz	FBgn0000163	aPKC	FBgn0261854	suppressible	FBrf0248648
ph-p	FBgn0004861	tara	FBgn0040071	suppressible	FBrf0141543
pnr	FBgn0003117	EP2448	FBgn0062674	suppressible	FBrf0147055
sli	FBgn0264089	vkg	FBgn0016075	enhanceable	FBrf0190142
Hmgcr	FBgn0263782	disp	FBgn0029088	enhanceable	FBrf0190201
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	Sln	FBgn0033657	suppressible	FBrf0247146
Imp	FBgn0285926	jigr1	FBgn0039350	enhanceable	FBrf0205043
egr|CtBP	FBgn0033483|FBgn0020496	bsk	FBgn0000229	suppressible	FBrf0238208
Pi3K68D	FBgn0015278	hemo	FBgn0262823	suppressible	FBrf0231378
mei-41	FBgn0004367	grp	FBgn0261278	enhanceable	FBrf0108276
cmb	FBgn0036365	mwh	FBgn0264272	enhanceable	FBrf0226208
Akt	FBgn0010379	Thor	FBgn0261560	suppressible	FBrf0137059
sl	FBgn0003416	Egfr	FBgn0003731	suppressible	FBrf0180127
prom|eys	FBgn0259210|FBgn0031414	sna	FBgn0003448	enhanceable	FBrf0226275
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	mTor	FBgn0021796	suppressible	FBrf0206710
Pi3K92E	FBgn0015279	Ras85D	FBgn0003205	enhanceable	FBrf0245527
Ddrgk1	FBgn0038868	Thor	FBgn0261560	suppressible	FBrf0256328
InR	FBgn0283499	Pten	FBgn0026379	suppressible	FBrf0151278
chem	FBgn0002175	cora	FBgn0010434	enhanceable	FBrf0234100
dpp	FBgn0000490	Su(dpp)YE28	FBgn0084326	suppressible	FBrf0190738
rl	FBgn0003256	bs	FBgn0004101	enhanceable	FBrf0102828
Rac1	FBgn0010333	Sos	FBgn0001965	suppressible	FBrf0226093
N	FBgn0004647	esg	FBgn0287768	suppressible	FBrf0220483
Cat	FBgn0000261	Gtpx	FBgn0035438	suppressible	FBrf0222093
wg	FBgn0284084	pan	FBgn0085432	suppressible	FBrf0104944
Ask1	FBgn0014006	ple	FBgn0005626	suppressible	FBrf0215011
fog	FBgn0000719	mthl1	FBgn0030766	suppressible	FBrf0223331
park	FBgn0041100	foxo	FBgn0038197	suppressible	FBrf0208620
Ret	FBgn0011829	Csk	FBgn0262081	enhanceable	FBrf0190765
N	FBgn0004647	Rab6	FBgn0015797	enhanceable	FBrf0111465
stan	FBgn0024836	fw	FBgn0001083	enhanceable	FBrf0222723
Vap33	FBgn0029687	tkv	FBgn0003716	suppressible	FBrf0210268
Dlip3	FBgn0040465	N	FBgn0004647	suppressible	FBrf0206799
w	FBgn0003996	E(w<up>a</up>)818	FBgn0020053	enhanceable	FBrf0054964
grh	FBgn0259211	Vang	FBgn0015838	enhanceable	FBrf0167844
lost	FBgn0263594	rump	FBgn0267790	enhanceable	FBrf0214542
Scr	FBgn0003339	hth	FBgn0001235	suppressible	FBrf0111139
nmo	FBgn0011817	pk	FBgn0003090	suppressible	FBrf0213975
peb	FBgn0003053	slbo	FBgn0005638	suppressible	FBrf0180294
dan	FBgn0039286	CtBP	FBgn0020496	enhanceable	FBrf0211770
foxo	FBgn0038197	Tip60	FBgn0026080	suppressible	FBrf0256295
VGlut	FBgn0031424	KaiR1D	FBgn0038837	enhanceable	FBrf0235867
pygo	FBgn0043900	pan::pygo	FBgn0082167	suppressible	FBrf0174483
raw	FBgn0003209	Sarm	FBgn0262579	suppressible	FBrf0258359
cindr	FBgn0027598	shg	FBgn0003391	enhanceable	FBrf0204348
brm	FBgn0000212	zen	FBgn0004053	enhanceable	FBrf0187627
N	FBgn0004647	mng	FBgn0019683	enhanceable	FBrf0090844
Mnat9	FBgn0039859	Mer	FBgn0086384	suppressible	FBrf0252580
PGRP-LB	FBgn0037906	PGRP-LC	FBgn0035976	suppressible	FBrf0238078
tkv	FBgn0003716	fu	FBgn0001079	suppressible	FBrf0212535
ph-p	FBgn0004861	M(2)58F	FBgn0002606	suppressible	FBrf0141543
rpr	FBgn0011706	ci|rdx	FBgn0004859|FBgn0264493	suppressible	FBrf0257252
gig	FBgn0005198	bun	FBgn0259176	suppressible	FBrf0230220
Su(var)3-3	FBgn0260397	Kdm5	FBgn0031759	suppressible	FBrf0212709
ap|Bx	FBgn0267978|FBgn0265598	drpr	FBgn0027594	suppressible	FBrf0202749
Rbf|Stam	FBgn0015799|FBgn0027363	Ras85D	FBgn0003205	suppressible	FBrf0232331
Nop17l	FBgn0033224	flw	FBgn0000711	enhanceable	FBrf0194330
L	FBgn0288433	noc	FBgn0005771	suppressible	FBrf0187660
Nlg2	FBgn0031866	Nrx-1	FBgn0038975	suppressible	FBrf0248805
snf	FBgn0003449	Sxl	FBgn0264270	suppressible	FBrf0190359
H	FBgn0001169	sc|ac	FBgn0004170|FBgn0000022	suppressible	FBrf0149093
CycE	FBgn0010382	rux	FBgn0003302	enhanceable	FBrf0103367
Lkb1	FBgn0038167	hep	FBgn0010303	enhanceable	FBrf0194576
Ubx|RYBP	FBgn0003944|FBgn0034763	Pc	FBgn0003042	suppressible	FBrf0187978
hid	FBgn0003997	Raf::tor	FBgn0013724	suppressible	FBrf0105197
sqd	FBgn0263396	otu	FBgn0003023	suppressible	FBrf0174571
kermit	FBgn0010504	Vang	FBgn0015838	suppressible	FBrf0223257
H	FBgn0001169	gro	FBgn0001139	suppressible	FBrf0206915
htl	FBgn0010389	btl	FBgn0285896	suppressible	FBrf0183935
Not1	FBgn0085436	E(z)	FBgn0000629	suppressible	FBrf0246104
Atg9	FBgn0034110	puc	FBgn0243512	suppressible	FBrf0223739
hid	FBgn0003997	pnut	FBgn0013726	suppressible	FBrf0174601
fmt	FBgn0035688	Tak1	FBgn0026323	suppressible	FBrf0235868
Ras85D|emei	FBgn0003205|FBgn0036133	POSH	FBgn0040294	suppressible	FBrf0246782
grnd	FBgn0032682	hep	FBgn0010303	suppressible	FBrf0228803
sev|Ras85D	FBgn0003366|FBgn0003205	HDAC1	FBgn0015805	suppressible	FBrf0105879
Abi	FBgn0020510	Abl	FBgn0000017	suppressible	FBrf0208583
ND-23	FBgn0017567	Pfk	FBgn0003071	suppressible	FBrf0227825
in	FBgn0001259	dsh	FBgn0000499	enhanceable	FBrf0147064
z	FBgn0004050	Scm	FBgn0003334	suppressible	FBrf0086923
AP-2α::numb	FBgn0264856	AP-2α	FBgn0264855	enhanceable	FBrf0218342
Bar	FBgn0000154	ptc	FBgn0003892	suppressible	FBrf0093093
sli	FBgn0264089	robo2	FBgn0002543	enhanceable	FBrf0190142
Snap29	FBgn0034913	Sec22	FBgn0260855	enhanceable	FBrf0227412
RanGAP	FBgn0003346	Su(Sd)2a-1	FBgn0062255	suppressible	FBrf0145942
eIF4E5	FBgn0035823	orb2	FBgn0264307	enhanceable	FBrf0255793
Atg1	FBgn0260945	Tsc1|gig	FBgn0026317|FBgn0005198	suppressible	FBrf0218812
Raf	FBgn0003079	rl	FBgn0003256	suppressible	FBrf0244504
fru	FBgn0004652	ppk25	FBgn0053349	suppressible	FBrf0247610
dom	FBgn0020306	ERR	FBgn0035849	enhanceable	FBrf0230159
PGRP-LE	FBgn0030695	Tak1	FBgn0026323	suppressible	FBrf0192958
Rbf	FBgn0015799	S6k	FBgn0283472	suppressible	FBrf0211700
drpr	FBgn0027594	Crk	FBgn0024811	enhanceable	FBrf0223753
sl	FBgn0003416	chico	FBgn0024248	suppressible	FBrf0216849
aux	FBgn0037218	Chc	FBgn0000319	suppressible	FBrf0204258
Rheb	FBgn0041191	Pten	FBgn0026379	suppressible	FBrf0160980
mew	FBgn0004456	if	FBgn0001250	suppressible	FBrf0088875
egr	FBgn0033483	hrm	FBgn0033028	suppressible	FBrf0240552
so	FBgn0003460	Chd1	FBgn0250786	suppressible	FBrf0232309
Pvr	FBgn0032006	Prp40	FBgn0031492	enhanceable	FBrf0187664
dgo	FBgn0086898	pk	FBgn0003090	enhanceable	FBrf0188147
park|Pink1	FBgn0041100|FBgn0029891	HtrA2	FBgn0038233	suppressible	FBrf0206306
Pc	FBgn0003042	nej	FBgn0261617	enhanceable	FBrf0208543
B52	FBgn0004587	Rsf1	FBgn0011305	suppressible	FBrf0107834
Ras85D	FBgn0003205	Vps15	FBgn0260935	enhanceable	FBrf0237370
Vrp1	FBgn0243516	SCAR	FBgn0041781	enhanceable	FBrf0204821
mts	FBgn0004177	foxo	FBgn0038197	suppressible	FBrf0255169
Wnt5	FBgn0010194	por	FBgn0004957	suppressible	FBrf0179210
RasGAP1	FBgn0004390	pb	FBgn0051481	enhanceable	FBrf0093373
vn	FBgn0003984	Egfr	FBgn0003731	enhanceable	FBrf0052884
Egfr	FBgn0003731	rho-5	FBgn0041723	suppressible	FBrf0213387
aop	FBgn0000097	lz	FBgn0002576	suppressible	FBrf0151256
E(z)	FBgn0000629	Psc	FBgn0005624	suppressible	FBrf0141551
hh	FBgn0004644	Cad99C	FBgn0039709	suppressible	FBrf0227504
pbl	FBgn0003041	Cyp6v1	FBgn0031126	suppressible	FBrf0199094
Ask1	FBgn0014006	y	FBgn0004034	suppressible	FBrf0215011
Dcp-1	FBgn0010501	Atg6	FBgn0264325	suppressible	FBrf0209948
Pak	FBgn0267698	Dscam1	FBgn0033159	enhanceable	FBrf0128634
aop	FBgn0000097	RasGAP1	FBgn0004390	enhanceable	FBrf0055572
Dref	FBgn0015664	l(1)G0004	FBgn0027334	suppressible	FBrf0207590
Csp	FBgn0004179	Syx1A	FBgn0013343	suppressible	FBrf0111989
sty	FBgn0014388	sip3	FBgn0039875	suppressible	FBrf0213387
Ras85D	FBgn0003205	Sin3A	FBgn0022764	suppressible	FBrf0125429
PIG-B	FBgn0035464	PIG-B::Hsap\PIGB	FBgn0286971	suppressible	FBrf0240437
fng	FBgn0011591	N	FBgn0004647	suppressible	FBrf0151941
rpr	FBgn0011706	Ilp8	FBgn0036690	suppressible	FBrf0218214
pbl	FBgn0003041	east	FBgn0261954	enhanceable	FBrf0199094
cindr	FBgn0027598	Hakai	FBgn0032812	enhanceable	FBrf0237191
Dsor1	FBgn0010269	Su(phl)6	FBgn0014887	suppressible	FBrf0073777
lt	FBgn0002566	w	FBgn0003996	enhanceable	FBrf0147069
Prosα6	FBgn0250843	Stat92E	FBgn0016917	suppressible	FBrf0252324
Ent2	FBgn0263916	AdoR	FBgn0039747	suppressible	FBrf0210511
pk	FBgn0003090	dsh	FBgn0000499	enhanceable	FBrf0111378
Rbf	FBgn0015799	p53	FBgn0039044	suppressible	FBrf0205772
Nop17l	FBgn0033224	Pp1-87B	FBgn0004103	enhanceable	FBrf0194330
S6k	FBgn0283472	RpL8	FBgn0261602	suppressible	FBrf0206163
ey	FBgn0005558	brk	FBgn0024250	suppressible	FBrf0158852
TBC1d7	FBgn0039158	Ilp2	FBgn0036046	suppressible	FBrf0238110
klhl10	FBgn0040038	soti	FBgn0038225	suppressible	FBrf0211287
Ras85D	FBgn0003205	kay	FBgn0001297	suppressible	FBrf0210453
pnr	FBgn0003117	Dad	FBgn0020493	enhanceable	FBrf0147055
Ubx	FBgn0003944	RYBP	FBgn0034763	suppressible	FBrf0187978
Ubx	FBgn0003944	z	FBgn0004050	enhanceable	FBrf0048913
Delta	FBgn0000463	N	FBgn0004647	suppressible	FBrf0125167
wg	FBgn0284084	twi	FBgn0003900	suppressible	FBrf0183937
Imp	FBgn0285926	mub	FBgn0262737	enhanceable	FBrf0205043
RhoGAPp190	FBgn0026375	Src64B	FBgn0262733	suppressible	FBrf0139610
hid	FBgn0003997	CG1503	FBgn0031157	suppressible	FBrf0212528
Dys	FBgn0260003	Cam	FBgn0000253	suppressible	FBrf0205440
w	FBgn0003996	su(f)	FBgn0003559	enhanceable	FBrf0056181
tsl	FBgn0003867	hb|bcd	FBgn0001180|FBgn0000166	suppressible	FBrf0074386
Rab11	FBgn0015790	brun	FBgn0261787	enhanceable	FBrf0209478
N	FBgn0004647	Delta	FBgn0000463	suppressible	FBrf0049851
peb	FBgn0003053	rept	FBgn0040075	suppressible	FBrf0180294
Nlg2	FBgn0031866	Nrx-1	FBgn0038975	enhanceable	FBrf0212770
pbl	FBgn0003041	pigs	FBgn0029881	suppressible	FBrf0199094
nwk	FBgn0263456	shi	FBgn0003392	enhanceable	FBrf0204925
Cog7	FBgn0051040	sau	FBgn0267378	enhanceable	FBrf0237100
Marcal1	FBgn0031655	Pc	FBgn0003042	enhanceable	FBrf0234417
RPA3	FBgn0288833	numb	FBgn0002973	suppressible	FBrf0220835
vtd	FBgn0260987	mod(mdg4)	FBgn0002781	enhanceable	FBrf0127028
puc	FBgn0243512	hep	FBgn0010303	suppressible	FBrf0167481
tkv	FBgn0003716	nwk	FBgn0263456	suppressible	FBrf0204925
pbl	FBgn0003041	Myo31DF	FBgn0086347	suppressible	FBrf0199094
CycA	FBgn0000404	Rca1	FBgn0017551	enhanceable	FBrf0141469
ZnT86D	FBgn0037875	ZnT49B	FBgn0033762	enhanceable	FBrf0227521
H	FBgn0001169	CkIα	FBgn0015024	suppressible	FBrf0190751
mts	FBgn0004177	βTub85D	FBgn0003889	suppressible	FBrf0255169
ex	FBgn0004583	mir-ban	FBgn0262451	suppressible	FBrf0152024
mam	FBgn0002643	Lk6	FBgn0017581	enhanceable	FBrf0221645
tara	FBgn0040071	Cdk1	FBgn0004106	suppressible	FBrf0228870
fz2	FBgn0016797	wg	FBgn0284084	enhanceable	FBrf0104536
Brca2	FBgn0050169	aurA	FBgn0000147	enhanceable	FBrf0241545
Mer	FBgn0086384	Slik	FBgn0035001	enhanceable	FBrf0193095
mamo	FBgn0267033	HDAC1	FBgn0015805	enhanceable	FBrf0247674
Polr2B	FBgn0262955	su(RpII140<up>Z36</up>)S10	FBgn0025137	suppressible	FBrf0103303
en	FBgn0000577	inv	FBgn0001269	enhanceable	FBrf0233000
RacGAP84C	FBgn0045843	dom	FBgn0020306	enhanceable	FBrf0179402
Cdc7	FBgn0028360	Rif1	FBgn0050085	suppressible	FBrf0239006
