uniprotID1,uniprotID2,link,source
Q5K373,B8JKM0,19765300,psicquic
Q5K373,F1Q534,20802085,psicquic
Q5K373,F1QF54,19765300,psicquic
Q5K373,O42140,23565095,psicquic
Q5K373,Q5J1R9,20802085,psicquic
Q5K373,Q6GMI5,20802085,psicquic
Q5K373,Q7SX76,18296487,psicquic
Q5K373,Q803T1,20802085,psicquic
Q5K373,Q8JG38,20802085,psicquic
Q5K373,Q8UVD6,20802085,psicquic
Q5K373,Q90413,18296487,psicquic
Q5ZEW1,O73874,26190107,psicquic
Q5ZEW1,Q90YC5,26190107,psicquic
Q642G9,A0A4W4,20802085,psicquic
Q642G9,B7ZV58,19765300,psicquic
Q642G9,F1QHI8,20097902,psicquic
Q6GMI5,B8JKM0,20802085,psicquic
Q6IYD1,Q5EAQ1,23286197,psicquic
Q6NW73,A4JYL8,18296487,psicquic
Q6NW73,Q8JG36,18296487,psicquic
Q6NW92,A0A8M3B0J4,20802085,psicquic
Q6NW92,A4JYL6,18296487,psicquic
Q6NW92,A4JYQ1,18296487,psicquic
Q6NW92,B7ZV58,19765300,psicquic
Q6NW92,B8JKM0,20802085,psicquic
Q6NW92,F1QHI8,18296487,psicquic
Q6NW92,Q58EG3,20802085,psicquic
Q6NW92,Q6NW92,18296487,psicquic
Q6NW92,Q8AXB3,20802085,psicquic
Q6NW92,Q9DE36,20802085,psicquic
Q6NY23,Q6NY23,18296487,psicquic
Q6PFK4,B0CLV3,24626987,psicquic
Q6PFK4,B0CLV6,20802085,psicquic
Q6PFU7,A9XP97,23565095,psicquic
Q7SX76,A0A4W4,20802085,psicquic
Q7SX76,A4JYL6,18296487,psicquic
Q7SX76,B0V0E5,20802085,psicquic
Q7SX76,B7ZV58,19765300,psicquic
Q7SX76,B8JKM0,19765300,psicquic
Q7SX76,Q1L921,20802085,psicquic
Q7SX76,Q90413,18296487,psicquic
Q7T2E1,A0A8M2BEY1,24626987,psicquic
Q7ZVP2,B2XCM0,18455989,psicquic
Q803T1,F1QHI8,20802085,psicquic
Q8AXB3,A0A8M1P5N0,20802085,psicquic
Q8AXB3,A0A8M3B365,20802085,psicquic
Q8AXB3,A0A8M9Q8Q6,20802085,psicquic
Q8AXB3,A8DZ85,20802085,psicquic
