ID,Type,Experiment,Participants/0/InteractorRef,Participants/1/InteractorRef
750,physical association,751,1,8
752,physical association,753,457,170
754,physical association,755,97,13
756,physical association,757,139,13
758,physical association,759,391,392
760,physical association,761,398,397
762,physical association,763,398,373
764,physical association,765,409,494
766,physical association,767,13,175
768,physical association,769,8,13
770,physical association,771,1,13
772,physical association,773,398,92
774,physical association,775,409,398
776,physical association,777,1,8
778,physical association,779,445,13
780,physical association,781,457,170
782,physical association,783,13,139
784,physical association,785,97,13
786,physical association,787,559,560
788,physical association,789,1,97
790,physical association,791,559,572
792,physical association,793,1,97
794,physical association,795,582,32
796,physical association,797,355,391
798,physical association,799,8,175
834,physical association,835,1,2
836,physical association,837,7,8
838,physical association,839,13,2
840,physical association,841,19,20
842,physical association,843,25,26
844,physical association,845,19,26
846,physical association,847,37,8
848,physical association,849,8,1
850,physical association,851,13,50
852,physical association,853,25,8
854,physical association,855,13,2
856,physical association,857,8,7
858,physical association,859,26,25
860,physical association,861,37,8
862,physical association,863,1,8
864,physical association,865,13,50
866,physical association,867,8,25
868,direct interaction,869,103,104
870,direct interaction,871,103,109
872,direct interaction,873,26,103
874,colocalization,875,118,119
876,physical association,877,126,127
878,physical association,879,8,134
880,physical association,881,103,109
882,physical association,883,7,8
884,physical association,885,154,8
886,physical association,887,8,50
888,physical association,889,13,8
890,physical association,891,25,26
892,direct interaction,893,182,182
894,direct interaction,895,182,182
896,colocalization,897,190,191
898,physical association,899,196,197
900,physical association,901,206,207
902,physical association,903,196,197
904,physical association,905,225,196
906,physical association,907,235,236
908,physical association,909,244,235
910,physical association,911,235,254
912,physical association,913,236,263
914,physical association,915,263,244
916,physical association,917,254,263
918,physical association,919,263,290
920,physical association,921,236,300
922,physical association,923,244,300
924,physical association,925,300,254
926,physical association,927,236,327
928,physical association,929,327,336
930,physical association,931,244,327
932,physical association,933,206,191
934,physical association,935,362,206
936,physical association,937,190,191
938,physical association,939,382,190
940,physical association,941,190,362
942,physical association,943,191,401
944,physical association,945,362,401
946,physical association,947,206,191
948,physical association,949,191,191
950,physical association,951,191,439
952,physical association,953,191,362
954,physical association,955,191,190
956,physical association,957,401,191
958,physical association,959,191,103
960,physical association,961,439,362
962,physical association,963,362,401
964,physical association,965,191,362
966,physical association,967,362,362
968,physical association,969,362,103
970,physical association,971,206,362
972,physical association,973,362,190
974,physical association,975,190,382
976,physical association,977,439,191
978,physical association,979,439,382
980,physical association,981,439,362
982,physical association,983,362,103
984,physical association,985,103,191
986,physical association,987,604,605
988,physical association,989,604,615
990,physical association,991,604,625
992,physical association,993,634,635
994,physical association,995,645,635
996,physical association,997,635,634
998,physical association,999,667,668
1000,physical association,1001,676,677
