uniprotID1,uniprotID2,source,evidence,link
O13146,P79728,psicquic,experimental,26190107;26190107
O13146,Q90YC5,psicquic,experimental,26190107;26190107
O13146,Q9DE36,psicquic,experimental,26190107;26190107
O42140,A0A0B5JK74,psicquic,experimental,26190107;19879840;26190107;20097902
O42140,E7F6E8,psicquic,experimental,26190107;26190107
O42140,F1QE54,psicquic,experimental,26190107;26190107
O42140,O42140,psicquic,experimental,26190107;26190107
O42140,Q4V9H3,psicquic,experimental,26190107;20097902
O42140,Q5K373,psicquic,experimental,26190107;20097902
O42140,Q8NBI3,psicquic,experimental,26190107;26190107
O54724,Q6YLH9,psicquic,experimental,26190107;18191225
O55013,Q15JE7,psicquic,experimental,17110339
O73874,O73875,psicquic,experimental,26190107;19109893
O73874,O73878,psicquic,experimental,26190107;26190107
O73874,Q8UVD6,psicquic,experimental,19765300;26190107
O73875,O73874,psicquic,experimental,19765300;26190107
O73878,O73874,psicquic,experimental,19765300;26190107
O73878,Q90Z31,psicquic,experimental,19765300;26190107
P79727,O13146,psicquic,experimental,26190107;26190107
P79727,Q5ZEW1,psicquic,experimental,26190107;26190107
P79728,Q5ZEW1,psicquic,experimental,26190107;26190107
Q15JE7,Q8AXB3,psicquic,experimental,20802085
Q1JQE7,Q5EAQ1,psicquic,experimental,26190107;26190107
Q1L921,B8JKM0,psicquic,experimental,20802085
Q1LVM8,Q5EAQ1,psicquic,experimental,26190107;26190107
Q29RC0,A0A8M2BEY1,psicquic,experimental,26190107;24626987;26190107;24626987
Q29RC0,B8A5J4,psicquic,experimental,26190107;24626987;26190107;24626987
Q29RC0,Q9DGG9,psicquic,experimental,26190107;24626987
Q2HPG2,Q2HPG2,psicquic,experimental,20802085
Q2YDS1,Q9DE36,psicquic,experimental,26190107;19109893
Q32SK9,Q4V9H3,psicquic,experimental,26190107;26190107
Q3Y6S4,A8DZ85,psicquic,experimental,18296487;20802085
Q49BB0,A0A0B5JK74,psicquic,experimental,26190107;20097902
Q49BB0,O42140,psicquic,experimental,26190107;26190107;26190107;26190107
Q49BB0,Q6IYD1,psicquic,experimental,26190107;26190107;26190107;26190107
Q4V9H3,A0A0B5JK74,psicquic,experimental,26190107;26190107
