uniprotID1	uniprotID2	link	source	alt_name1	alt_name2	name1	name2
Q803J2	Q3B7P7	7955.ENSDARP00000003705/7955.ENSDARP00000060744	string-db	E2 ubiquitin-conjugating enzyme (EC 2.3.2.23)	Ubiquitin-ribosomal protein eL40 fusion protein	E2 ubiquitin-conjugating enzyme 	Ubiquitin-ribosomal protein eL40 fusion protein
Q803J2	A0A0N4SUD2	7955.ENSDARP00000003705/7955.ENSDARP00000140603	string-db	E2 ubiquitin-conjugating enzyme (EC 2.3.2.23)	Polyubiquitin-B (Ubiquitin B)	E2 ubiquitin-conjugating enzyme 	Polyubiquitin-B 
Q803J2	Q7SXA3	7955.ENSDARP00000003705/7955.ENSDARP00000128775	string-db	E2 ubiquitin-conjugating enzyme (EC 2.3.2.23)	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80)	E2 ubiquitin-conjugating enzyme 	Ubiquitin-ribosomal protein eS31 fusion protein 
Q9I879	Q5RIV1	7955.ENSDARP00000004223/7955.ENSDARP00000126787	string-db	Basic helix-loop-helix ARNT-like protein 1 (Aryl hydrocarbon receptor nuclear translocator-like protein 1) (Brain and muscle ARNT-like 1)	Circadian locomoter output cycles protein kaput	Basic helix-loop-helix ARNT-like protein 1 	Circadian locomoter output cycles protein kaput
Q9I879	A4QN37	7955.ENSDARP00000004223/7955.ENSDARP00000112452	string-db	Basic helix-loop-helix ARNT-like protein 1 (Aryl hydrocarbon receptor nuclear translocator-like protein 1) (Brain and muscle ARNT-like 1)	Cryptochrome-1	Basic helix-loop-helix ARNT-like protein 1 	Cryptochrome-1
Q6PEH5	Q7T3F3	7955.ENSDARP00000004795/7955.ENSDARP00000067432	string-db	Ubiquitin-conjugating enzyme E2 variant 2	E2 ubiquitin-conjugating enzyme (EC 2.3.2.23)	Ubiquitin-conjugating enzyme E2 variant 2	E2 ubiquitin-conjugating enzyme 
F1R0M9	Q58EK5	7955.ENSDARP00000005097/7955.ENSDARP00000127267	string-db	Tudor and KH domain-containing	Tudor domain-containing protein 1	Tudor and KH domain-containing	Tudor domain-containing protein 1
Q7SXS7	Q6PI20	7955.ENSDARP00000005500/7955.ENSDARP00000089753	string-db	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	Histone H3.3	Actin-histidine N-methyltransferase 	Histone H3.3
Q7SXS7	Q6PI20	7955.ENSDARP00000005500/7955.ENSDARP00000089753	string-db	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	Histone H3.3	Actin-histidine N-methyltransferase 	Histone H3.3
Q7SXS7	Q6PI20	7955.ENSDARP00000005500/7955.ENSDARP00000089753	string-db	Actin-histidine N-methyltransferase (EC 2.1.1.85) (Protein-L-histidine N-tele-methyltransferase) (SET domain-containing protein 3)	Histone H3.3	Actin-histidine N-methyltransferase 	Histone H3.3
