"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","altId1","altId2","source","sourceLink","intType","species"
"BSU_28990","BSU_40970","DnaB","ParA","BSU_28990","parA","DnaB","ParA","BSU_28990","BSU_40970","string-db","224308.BSU40970/224308.BSU28990","physical","txid224308"
"BSU_28990","BSU_40440","DnaB","DnaC","BSU_28990","BSU_40440","DnaB","DnaC","BSU_28990","BSU_40440","subtiwiki","224308.BSU28990/224308.BSU40440","physical","txid224308"
"BSU_28990","BSU_31240","DnaB","McpA","BSU_28990","mcpA","DnaB","McpA","BSU_28990","BSU_31240","string-db","224308.BSU31240/224308.BSU28990","physical","txid224308"
"BSU_28990","BSU_00190","DnaB","DnaX","BSU_28990","BSU_00190","DnaB","DnaX","BSU_28990","BSU_00190","subtiwiki","224308.BSU28990/224308.BSU00190","physical","txid224308"
"BSU_28990","BSU_00310","DnaB","HolB","BSU_28990","BSU_00310","DnaB","HolB","BSU_28990","BSU_00310","subtiwiki","224308.BSU28990/224308.BSU00310","physical","txid224308"
"BSU_28990","BSU_00020","DnaB","DnaN","BSU_28990","dnaN","DnaB","DnaN","BSU_28990","BSU_00020","subtiwiki","224308.BSU28990/224308.BSU00020","physical","txid224308"
"BSU_28990","BSU_00040","DnaB","RecF","BSU_28990","recF","DnaB","RecF","BSU_28990","BSU_00040","subtiwiki","224308.BSU28990/224308.BSU00040","physical","txid224308"
"BSU_28990","BSU_29230","DnaB","DnaE","BSU_28990","dnaE","DnaB","DnaE","BSU_28990","BSU_29230","subtiwiki","224308.BSU28990/224308.BSU29230","physical","txid224308"
"BSU_28990","BSU_00210","DnaB","RecR","BSU_28990","BSU_00210","DnaB","RecR","BSU_28990","BSU_00210","subtiwiki","224308.BSU28990/224308.BSU00210","physical","txid224308"
"BSU_28990","BSU_16940","DnaB","RecA","BSU_28990","recA","DnaB","RecA","BSU_28990","BSU_16940","subtiwiki","224308.BSU28990/224308.BSU16940","physical","txid224308"
"BSU_28990","BSU_25280","DnaB","RecO","BSU_28990","recO","DnaB","RecO","BSU_28990","BSU_25280","subtiwiki","224308.BSU28990/224308.BSU25280","physical","txid224308"
"BSU_28990","BSU_40900","DnaB","SsbA","BSU_28990","ssbA","DnaB","SsbA","BSU_28990","BSU_40900","subtiwiki","224308.BSU28990/224308.BSU40900","physical","txid224308"
"BSU_28990","BSU_29920","DnaB","CcrZ","BSU_28990","BSU_29920","DnaB","CcrZ","BSU_28990","BSU_29920","subtiwiki","224308.BSU28990/224308.BSU29920","physical","txid224308"
"BSU_40960","BSU_15420","ParB","DivIVA","parB","divIVA","ParB","DivIVA","BSU_40960","BSU_15420","subtiwiki","224308.BSU40960/224308.BSU15420","physical","txid224308"
"BSU_40960","BSU_40970","ParB","ParA","parB","parA","ParB","ParA","BSU_40960","BSU_40970","subtiwiki","224308.BSU40970/224308.BSU40960","physical","txid224308"
"BSU_26260","BSU_40440","YqaM","DnaC","yqaM","BSU_40440","YqaM","DnaC","BSU_26260","BSU_40440","subtiwiki","224308.BSU40440/224308.BSU26260","physical","txid224308"
"BSU_00330","BSU_00660","DnaH","YabT","BSU_00330","yabT","YabA","YabT","BSU_00330","BSU_00660","subtiwiki","224308.BSU00330/224308.BSU00660","physical","txid224308"
"BSU_00330","BSU_39940","DnaH","YxaL","BSU_00330","yxaL","YabA","YxaL","BSU_00330","BSU_39940","string-db","224308.BSU39940/224308.BSU00330","physical","txid224308"
"BSU_00330","BSU_40970","DnaH","ParA","BSU_00330","parA","YabA","ParA","BSU_00330","BSU_40970","string-db","224308.BSU40970/224308.BSU00330","physical","txid224308"
"BSU_00330","BSU_05240","DnaH","YdeL","BSU_00330","BSU_05240","YabA","YdeL","BSU_00330","BSU_05240","string-db","224308.BSU05240/224308.BSU00330","physical","txid224308"
"BSU_00330","BSU_31240","DnaH","McpA","BSU_00330","mcpA","YabA","McpA","BSU_00330","BSU_31240","string-db","224308.BSU31240/224308.BSU00330","physical","txid224308"
"BSU_00330","BSU_29700","DnaH","AcuB","BSU_00330","acuB","YabA","AcuB","BSU_00330","BSU_29700","string-db","224308.BSU29700/224308.BSU00330","physical","txid224308"
"BSU_00330","BSU_31250","DnaH","TlpA","BSU_00330","tlpA","YabA","TlpA","BSU_00330","BSU_31250","string-db","224308.BSU31250/224308.BSU00330","physical","txid224308"
"BSU_17900","BSU_17910","PcfA","YneF","sirA","yneF","SirA","YneF","BSU_17900","BSU_17910","string-db","224308.BSU17910/224308.BSU17900","physical","txid224308"
"BSU_24300","BSU_37950","XseA","YwdI","BSU_24300","ywdI","XseA","YwdI","BSU_24300","BSU_37950","string-db","224308.BSU37950/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_35500","XseA","DegS","BSU_24300","degS","XseA","DegS","BSU_24300","BSU_35500","string-db","224308.BSU35500/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_40440","XseA","DnaC","BSU_24300","BSU_40440","XseA","DnaC","BSU_24300","BSU_40440","string-db","224308.BSU40440/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_37450","XseA","YwhK","BSU_24300","BSU_37450","XseA","YwhK","BSU_24300","BSU_37450","string-db","224308.BSU37450/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_27600","XseA","Rsh","BSU_24300","BSU_27600","XseA","Rel","BSU_24300","BSU_27600","string-db","224308.BSU27600/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_29440","XseA","ArgH","BSU_24300","argH","XseA","ArgH","BSU_24300","BSU_29440","string-db","224308.BSU29440/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_25340","XseA","PhoH","BSU_24300","BSU_25340","XseA","PhoH","BSU_24300","BSU_25340","string-db","224308.BSU25340/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_29610","XseA","EzrA","BSU_24300","ezrA","XseA","EzrA","BSU_24300","BSU_29610","string-db","224308.BSU29610/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_40900","XseA","SsbA","BSU_24300","ssbA","XseA","SsbA","BSU_24300","BSU_40900","subtiwiki","224308.BSU40900/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_31240","XseA","McpA","BSU_24300","mcpA","XseA","McpA","BSU_24300","BSU_31240","string-db","224308.BSU31240/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_25490","XseA","HrcA","BSU_24300","hrcA","XseA","HrcA","BSU_24300","BSU_25490","string-db","224308.BSU25490/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_25250","XseA","CcpN","BSU_24300","ccpN","XseA","CcpN","BSU_24300","BSU_25250","string-db","224308.BSU25250/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_28980","XseA","DnaI","BSU_24300","BSU_28980","XseA","DnaI","BSU_24300","BSU_28980","string-db","224308.BSU28980/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_39580","XseA","YxeE","BSU_24300","yxeE","XseA","YxeE","BSU_24300","BSU_39580","string-db","224308.BSU39580/224308.BSU24300","physical","txid224308"
"BSU_24300","BSU_37030","XseA","RacA","BSU_24300","racA","XseA","RacA","BSU_24300","BSU_37030","string-db","224308.BSU37030/224308.BSU24300","physical","txid224308"
