"protein1","protein2"
"P0AE88","P0AE98"
"P0AE88","P0ACH5"
"P0AE88","P30847"
"P0AE88","P39396"
"P0AE88","C1P611"
"P0AE88","P69228"
"P0AE88","P0ADE6"
"P0AE88","P46136"
"P0AE88","P36554"
"P0AE88","P42615"
"P0AE88","P0DPC7"
"P0AE88","P0AE63"
"P0AE88","P0C0K3"
"P0A9F1","P0DKB3"
"P0A9F1","P0A769"
"P67697","P76106"
"P0C079","P0ACG6"
"P0C079","P0C077"
"P0AE72","P0AEY3"
"P0AE72","P0AE70"
"P23873","P0AG20"
"P23873","P23874"
"P23873","P76552"
"P23873","P0AE72"
"P23873","P0AE70"
"P23873","P76551"
"P23873","P42593"
"P69346","P69348"
"P67701","P64578"
"P68767","P0A6F1"
"P68767","P00968"
"P71301","P52627"
"P71301","P0A8S9"
"P71301","P0AEM9"
"P71301","P04949"
"P71301","P0AEM6"
"P71301","P0ABY7"
"P71301","P0AAA3"
"P17446","P17444"
"P17446","P0ABC9"
"P17446","P17445"
"P0AFJ5","P10905"
"P0AFJ5","P76341"
"P0AFJ5","P76343"
"P0AFJ5","P76342"
"P0AFJ5","P76389"
"P0AFJ5","P0A908"
"P0AFJ5","P77485"
"P0AFJ5","P10908"
"P0AFJ5","P16679"
"P0AFJ5","P16690"
"P0AFJ5","P0AGH8"
"P0AFJ5","P36560"
"P0AFJ5","P0AAH0"
"P0AFJ5","P16687"
"P0AFJ5","P16689"
"P0AFJ5","P0A955"
"P0AFJ5","P0AG80"
"P0AFJ5","P19926"
"P0AFJ5","P02932"
"P0AFJ5","P0ACZ8"
"P0AFJ5","P16686"
"P0AFJ5","P10906"
"P0AFJ5","P16691"
"P0AFJ5","P77211"
"P0AFJ5","P0DP69"
"P0AFJ5","P0ACM2"
"P0AFJ5","P16678"
"P0AFJ5","P77743"
"P0AFJ5","P13458"
"P0AFJ5","P37641"
"P0AFJ5","P0AG82"
"P0AFJ5","Q47129"
"P0AFJ5","P77214"
"P0AFJ5","P0A9K1"
"P0AFJ5","P0AG76"
"P0AFJ5","P00634"
"P0AFJ5","P16692"
"P0AFJ5","P16688"
"P0AFJ5","P77239"
"P0AFJ5","P38054"
"P0AFJ5","P16677"
"P0AFJ5","P16684"
"P0AFJ5","P16685"
"P0AFJ5","P16682"
"P0AFJ5","P07654"
"P0AFJ5","P0AFM4"
"P0AFJ5","P08400"
"P0AFJ5","P10907"
"P0AFJ5","P0A7C8"
"P77309","P76148"
"P77309","P0A6W0"
"P77309","P76149"
"P0A8R9","P0A8S9"
"P0A8R9","P0ABY7"
"P0A8R9","P09831"
"P0A8R9","P28721"
"P0A8R9","P09832"
"P03023","P07464"
"P03023","P02920"
"P03023","P00722"
"P09546","P07117"
"P0AA16","P77304"
"P0AA16","P75905"
"P0AA16","P76280"
"P0AA16","P63224"
"P0AA16","P0AE95"
"P0AA16","P42601"
"P0AA16","P19317"
"P0AA16","P0AEP1"
"P0AA16","P0AEL3"
"P0AA16","P19319"
"P0AA16","P19318"
"P0AA16","P60778"
"P0AA16","P21420"
"P0AA16","P0ACI0"
"P0AA16","P23890"
"P0AA16","P37758"
"P0AA16","P0ACS9"
"P0AA16","P06996"
"P0AA16","P10384"
"P0AA16","P0A9H3"
"P0AA16","P0AF32"
"P0AA16","P0A917"
"P0AA16","P33650"
"P0AA16","P23894"
"P0AA16","P0AFF0"
"P0AA16","P0ACL9"
"P0AA16","P02930"
"P0AA16","P02931"
"P0AA16","P0AAE8"
"P0AA16","P0AEX9"
"P0AA16","P0ABE2"
"P0AA16","P24169"
"P0AA16","P0AA67"
"P0AA16","P69776"
"P0AA16","P0AAF1"
"P0AA16","P39172"
"P0AA16","P75906"
"P0AA16","P64554"
"P0AA16","P69434"
"P0AA16","P52106"
"P0AA16","P0AEA2"
"P0AA16","P69432"
"P0AA16","P0AEK0"
"P0AA16","P0AE98"
"P0AA16","P0DTV7"
"P0AA16","Q47146"
"P0AA16","P0AGE4"
"P0AA16","P64638"
"P23836","P23837"
"P23836","P76135"
"P23836","P0AFW2"
"P23836","P0A8Q6"
"P23836","P23893"
"P23836","P0AET5"
"P23836","P0AES9"
"P23836","P64512"
"P23836","E2JKY7"
"P23836","P0AF18"
"P23836","P75987"
"P23836","P64554"
"P23836","P0AFV2"
"P23836","P64610"
"P23836","P76136"
"P23836","P77330"
"P23836","P52108"
"P23836","P09169"
"P23836","P18392"
"P23836","P36673"
"P23836","P0A905"
"P23836","P0AFX4"
"P23836","P0AET2"
"P23836","P0ABB8"
"P23836","P63201"
"P0A8D0","P0A772"
"P0A8D0","P0AC65"
"P0A8D0","P37146"
"P0A8D0","P0ABW3"
"P0A8D0","P28903"
"P0A8D0","P00452"
"P0A8D0","P39452"
"P0A8D0","P69924"
"P0A8D0","P0A9N8"
"P0A9A9","P0ABU7"
"P0A9A9","P77288"
"P0A9A9","P45757"
"P0A9A9","P76155"
"P0A9A9","P39451"
"P0A9A9","P41443"
"P0A9A9","P0DKB3"
"P0A9A9","Q47141"
"P0A9A9","P77522"
"P0A9A9","P77211"
"P0A9A9","P45762"
"P0A9A9","P45759"
"P0A9A9","P64588"
"P0A9A9","P45763"
"P0A9A9","P67601"
"P0A9A9","P46854"
"P0A9A9","P0AA80"
"P0A9A9","P39452"
"P0A9A9","P18393"
"P0A9A9","P0AFS5"
"P0A9A9","P69741"
"P0A9A9","P0AC65"
"P0A9A9","Q46856"
"P0A9A9","P75780"
"P0A9A9","P77515"
"P0A9A9","Q47155"
"P0A9A9","P77444"
