protein_1_locus	protein_1_name	protein_2_locus	protein_2_name	evidence	source
BSU_00590	HslR	BSU_01350	RplO	experimental	string-db
BSU_00590	HslR	BSU_01160	RplC	experimental	string-db
BSU_00590	HslR	BSU_01490	RplM	experimental	string-db
BSU_00590	HslR	BSU_27960	RplU	experimental	string-db
BSU_00590	HslR	BSU_01310	RplF	experimental	string-db
BSU_00590	HslR	BSU_01260	RplNA	experimental	string-db
BSU_00590	HslR	BSU_01270	RplX	experimental	string-db
BSU_00590	HslR	BSU_01170	RplD	experimental	string-db
BSU_00590	HslR	BSU_01340	RpmD	experimental	string-db
BSU_00590	HslR	BSU_01400	RpmJ	experimental	string-db
BSU_00590	HslR	BSU_24900	RpmGA	experimental	string-db
BSU_00590	HslR	BSU_01320	RplR	experimental	string-db
BSU_00590	HslR	BSU_01040	RplJ	experimental	string-db
BSU_00590	HslR	BSU_01180	RplW	experimental	string-db
BSU_00590	HslR	BSU_01190	RplB	experimental	string-db
BSU_00590	HslR	BSU_15080	RpmF	experimental	string-db
BSU_00590	HslR	BSU_41060	RpmH	experimental	string-db
BSU_00590	HslR	BSU_28850	RplT	experimental	string-db
BSU_00590	HslR	BSU_01210	RplV	experimental	string-db
BSU_00590	HslR	BSU_01440	RplQ	experimental	string-db
BSU_00590	HslR	BSU_01020	RplK	experimental	string-db
BSU_00620	DivIC	BSU_14400	FruA	experimental	string-db
BSU_00620	DivIC	BSU_14850	FtsW	textmined	string-db
BSU_00620	DivIC	BSU_26150	YqbD	experimental	string-db
BSU_00620	DivIC	BSU_29610	EzrA	textmined	string-db
BSU_00620	DivIC	BSU_22320	PonA	textmined	string-db
BSU_00620	DivIC	BSU_12890	YkcC	experimental	string-db
BSU_00620	DivIC	BSU_12790	XhlA	experimental	string-db
BSU_00620	DivIC	BSU_10160	YhgE	experimental	string-db
BSU_00620	DivIC	BSU_15290	FtsZ	textmined	string-db
BSU_00620	DivIC	BSU_15240	DivIB	textmined	string-db
BSU_00620	DivIC	BSU_09900	YhaP	experimental	string-db
BSU_00620	DivIC	BSU_06710	SwrC	experimental	string-db
BSU_00620	DivIC	BSU_09920	SbcE	experimental	string-db
BSU_00620	DivIC	BSU_15150	FtsL	experimental	string-db
BSU_00620	DivIC	BSU_15390	SepF	textmined	string-db
BSU_00620	DivIC	BSU_15160	PbpB	textmined	string-db
BSU_00620	DivIC	BSU_25330	YqfF	experimental	string-db
BSU_00620	DivIC	BSU_15280	FtsA	textmined	string-db
BSU_00620	DivIC	BSU_37030	RacA	experimental	string-db
BSU_00620	DivIC	BSU_26030	YqbO	experimental	string-db
BSU_00630	YabR	BSU_01200	RpsS	database	string-db
BSU_00630	YabR	BSU_16680	RpsO	database	string-db
BSU_00630	YabR	BSU_35310	Hpf	database	string-db
BSU_00630	YabR	BSU_01330	RpsE	database	string-db
BSU_00630	YabR	BSU_01500	RpsI	database	string-db
BSU_00630	YabR	BSU_01250	RpsQ	database	string-db
BSU_00630	YabR	BSU_01420	RpsK	database	string-db
BSU_00630	YabR	BSU_22880	RpfA	database	string-db
BSU_00630	YabR	BSU_01220	RpsC	database	string-db
BSU_00630	YabR	BSU_16490	RpsB	database	string-db
BSU_00630	YabR	BSU_01110	RpsG	database	string-db
BSU_00630	YabR	BSU_40890	RpsR	database	string-db
BSU_00630	YabR	BSU_01300	RpsH	database	string-db
BSU_00640	SpoIIE	BSU_15280	FtsA	textmined	string-db
BSU_00640	SpoIIE	BSU_25770	SpoIVCA	experimental	string-db
BSU_00640	SpoIIE	BSU_10160	YhgE	experimental	string-db
BSU_00640	SpoIIE	BSU_15290	FtsZ	textmined	string-db
BSU_00640	SpoIIE	BSU_06710	SwrC	experimental	string-db
BSU_00640	SpoIIE	BSU_26030	YqbO	experimental	string-db
BSU_00640	SpoIIE	BSU_37030	RacA	experimental	string-db
BSU_00640	SpoIIE	BSU_09900	YhaP	experimental	string-db
BSU_00640	SpoIIE	BSU_12890	YkcC	experimental	string-db
BSU_00640	SpoIIE	BSU_25330	YqfF	experimental	string-db
BSU_00640	SpoIIE	BSU_03480	SrfAA	experimental	string-db
BSU_00640	SpoIIE	BSU_16940	RecA	experimental	string-db
BSU_00640	SpoIIE	BSU_12790	XhlA	experimental	string-db
BSU_00640	SpoIIE	BSU_23590	AnsR	experimental	string-db
BSU_00640	SpoIIE	BSU_28050	Maf	textmined	string-db
BSU_00640	SpoIIE	BSU_09920	SbcE	experimental	string-db
BSU_00640	SpoIIE	BSU_26150	YqbD	experimental	string-db
BSU_00640	SpoIIE	BSU_00660	YabT	experimental	string-db
BSU_00640	SpoIIE	BSU_14400	FruA	experimental	string-db
BSU_00650	YabS	BSU_06710	SwrC	experimental	string-db
BSU_00660	YabT	BSU_09920	SbcE	experimental	string-db
BSU_00660	YabT	BSU_11400	AppC	experimental	string-db
BSU_00660	YabT	BSU_33500	CopA	experimental	string-db
BSU_00660	YabT	BSU_26030	YqbO	experimental	string-db
BSU_00660	YabT	BSU_07800	TreP	experimental	string-db
BSU_00660	YabT	BSU_15770	PrkC	experimental	string-db
BSU_00660	YabT	BSU_31600	MrpA	experimental	string-db
BSU_00660	YabT	BSU_16210	FliF	experimental	string-db
BSU_00660	YabT	BSU_02030	YbdM	experimental	string-db
BSU_00660	YabT	BSU_26150	YqbD	experimental	string-db
BSU_00660	YabT	BSU_14850	FtsW	experimental	string-db
BSU_00660	YabT	BSU_10160	YhgE	experimental	string-db
BSU_00660	YabT	BSU_04690	RsbT	experimental	string-db
BSU_00660	YabT	BSU_01070	RpoB	experimental	string-db
BSU_00660	YabT	BSU_07010	YesS	experimental	string-db
BSU_00660	YabT	BSU_25770	SpoIVCA	experimental	string-db
BSU_00660	YabT	BSU_12790	XhlA	experimental	string-db
BSU_00660	YabT	BSU_36250	PtkA	experimental	string-db
BSU_00660	YabT	BSU_35500	DegS	textmined	string-db
BSU_00660	YabT	BSU_23590	AnsR	experimental	string-db
BSU_00660	YabT	BSU_13390	YkoT	experimental	string-db
BSU_00660	YabT	BSU_04360	MntH	experimental	string-db
BSU_00660	YabT	BSU_39230	WapA	experimental	string-db
BSU_00660	YabT	BSU_37030	RacA	experimental	string-db
BSU_00660	YabT	BSU_33420	NhaK	experimental	string-db
BSU_00660	YabT	BSU_25330	YqfF	experimental	string-db
BSU_00660	YabT	BSU_14370	YknZ	experimental	string-db
BSU_00660	YabT	BSU_36240	YwqE	experimental	string-db
BSU_00660	YabT	BSU_00640	SpoIIE	experimental	string-db
BSU_00660	YabT	BSU_02760	NatB	experimental	string-db
BSU_00660	YabT	BSU_36260	YwqC	experimental	string-db
BSU_00660	YabT	BSU_14400	FruA	experimental	string-db
BSU_00660	YabT	BSU_01730	SigW	experimental	string-db
BSU_00660	YabT	BSU_03740	YclI	experimental	string-db
BSU_00660	YabT	BSU_27990	MinD	experimental	string-db
BSU_00660	YabT	BSU_34360	EpsB	experimental	string-db
BSU_00660	YabT	BSU_23460	SpoIIAB	experimental	string-db
BSU_00660	YabT	BSU_06710	SwrC	experimental	string-db
BSU_00660	YabT	BSU_12890	YkcC	experimental	string-db
BSU_00660	YabT	BSU_16940	RecA	experimental	string-db
BSU_00660	YabT	BSU_04720	RsbW	experimental	string-db
BSU_00670	TilS	BSU_32700	SufD	experimental	string-db
BSU_00670	TilS	BSU_19660	YozD	experimental	string-db
BSU_00680	HprT	BSU_27610	Apt	database	string-db
BSU_00680	HprT	BSU_22070	Xpt	database	string-db
BSU_00690	FtsH	BSU_37030	RacA	experimental	string-db
BSU_00690	FtsH	BSU_26150	YqbD	experimental	string-db
BSU_00690	FtsH	BSU_24670	ComGG	textmined	string-db
BSU_00690	FtsH	BSU_06710	SwrC	experimental	string-db
BSU_00690	FtsH	BSU_31250	TlpA	experimental	string-db
BSU_00690	FtsH	BSU_29740	CcpA	experimental	string-db
BSU_00690	FtsH	BSU_12790	XhlA	experimental	string-db
BSU_00690	FtsH	BSU_10160	YhgE	experimental	string-db
BSU_00690	FtsH	BSU_10770	WprA	experimental	string-db
BSU_00700	CoaX	BSU_23760	CoaA	database	string-db
BSU_00710	HslO	BSU_01130	TufA	textmined	string-db
BSU_00730	CysK	BSU_27520	CymR	textmined	string-db
BSU_00730	CysK	BSU_00930	CysE	textmined	string-db
BSU_00730	CysK	BSU_29740	CcpA	experimental	string-db
BSU_00730	CysK	BSU_29970	YtkP	database	string-db
BSU_00740	PabB	BSU_00750	PabA	database	string-db
BSU_00750	PabA	BSU_00740	PabB	database	string-db
BSU_00750	PabA	BSU_22680	TrpE	textmined	string-db
BSU_00820	LysS	BSU_29740	CcpA	experimental	string-db
BSU_00830	CtsR	BSU_05650	YdgH	experimental	string-db
BSU_00830	CtsR	BSU_08670	YgaB	experimental	string-db
BSU_00830	CtsR	BSU_31970	DhbB	experimental	string-db
BSU_00830	CtsR	BSU_11550	YjbH	experimental	string-db
BSU_00830	CtsR	BSU_28710	CstA	experimental	string-db
BSU_00840	McsA	BSU_35370	CsrA	textmined	string-db
BSU_00850	McsB	BSU_28200	LonA	textmined	string-db
BSU_00850	McsB	BSU_28220	ClpX	textmined	string-db
BSU_00850	McsB	BSU_00860	ClpC	experimental	string-db
BSU_00850	McsB	BSU_37240	YwiE	textmined	string-db
BSU_00850	McsB	BSU_11550	YjbH	textmined	string-db
BSU_00860	ClpC	BSU_10420	ComK	experimental	string-db
