regulator_locus	regulator_name	mode	gene_locus	gene_name	link
BSU_16170	codY	repression	BSU_39380	hutG	224308.BSU16170/224308.BSU39380
BSU_25200	sigA	sigma factor	BSU_39390	hutM	224308.BSU25200/224308.BSU39390
BSU_25200	sigA	sigma factor	BSU_39340	hutP	224308.BSU25200/224308.BSU39340
BSU_25200	sigA	sigma factor	BSU_39370	hutI	224308.BSU25200/224308.BSU39370
BSU_25200	sigA	sigma factor	BSU_39350	hutH	224308.BSU25200/224308.BSU39350
BSU_25200	sigA	sigma factor	BSU_39360	hutU	224308.BSU25200/224308.BSU39360
BSU_25200	sigA	sigma factor	BSU_39380	hutG	224308.BSU25200/224308.BSU39380
BSU_39340	hutP	antitermination	BSU_39390	hutM	224308.BSU39340/224308.BSU39390
BSU_39340	hutP	antitermination	BSU_39340	hutP	224308.BSU39340/224308.BSU39340
BSU_39340	hutP	antitermination	BSU_39370	hutI	224308.BSU39340/224308.BSU39370
BSU_39340	hutP	antitermination	BSU_39350	hutH	224308.BSU39340/224308.BSU39350
BSU_39340	hutP	antitermination	BSU_39360	hutU	224308.BSU39340/224308.BSU39360
BSU_39340	hutP	antitermination	BSU_39380	hutG	224308.BSU39340/224308.BSU39380
BSU_34200	sigL	sigma factor	BSU_24090	ptb	224308.BSU34200/224308.BSU24090
BSU_34200	sigL	sigma factor	BSU_24060	lpdV	224308.BSU34200/224308.BSU24060
BSU_34200	sigL	sigma factor	BSU_24030	bkdB	224308.BSU34200/224308.BSU24030
BSU_34200	sigL	sigma factor	BSU_24070	buk	224308.BSU34200/224308.BSU24070
BSU_34200	sigL	sigma factor	BSU_24050	bkdAA	224308.BSU34200/224308.BSU24050
BSU_34200	sigL	sigma factor	BSU_24040	bkdAB	224308.BSU34200/224308.BSU24040
BSU_34200	sigL	sigma factor	BSU_24080	bcd	224308.BSU34200/224308.BSU24080
BSU_24100	bkdR	activation	BSU_24090	ptb	224308.BSU24100/224308.BSU24090
BSU_24100	bkdR	activation	BSU_24060	lpdV	224308.BSU24100/224308.BSU24060
BSU_24100	bkdR	activation	BSU_24030	bkdB	224308.BSU24100/224308.BSU24030
BSU_24100	bkdR	activation	BSU_24070	buk	224308.BSU24100/224308.BSU24070
BSU_24100	bkdR	activation	BSU_24050	bkdAA	224308.BSU24100/224308.BSU24050
BSU_24100	bkdR	activation	BSU_24040	bkdAB	224308.BSU24100/224308.BSU24040
BSU_24100	bkdR	activation	BSU_24080	bcd	224308.BSU24100/224308.BSU24080
BSU_16170	codY	repression	BSU_24090	ptb	224308.BSU16170/224308.BSU24090
BSU_16170	codY	repression	BSU_24060	lpdV	224308.BSU16170/224308.BSU24060
BSU_16170	codY	repression	BSU_24030	bkdB	224308.BSU16170/224308.BSU24030
BSU_16170	codY	repression	BSU_24070	buk	224308.BSU16170/224308.BSU24070
BSU_16170	codY	repression	BSU_24050	bkdAA	224308.BSU16170/224308.BSU24050
BSU_16170	codY	repression	BSU_24040	bkdAB	224308.BSU16170/224308.BSU24040
BSU_16170	codY	repression	BSU_24080	bcd	224308.BSU16170/224308.BSU24080
BSU_09520	sigM	sigma factor	BSU_00600	yabP	224308.BSU09520/224308.BSU00600
BSU_09520	sigM	sigma factor	BSU_00610	shfA	224308.BSU09520/224308.BSU00610
BSU_09520	sigM	sigma factor	BSU_00580	yabN	224308.BSU09520/224308.BSU00580
BSU_09520	sigM	sigma factor	BSU_00630	yabR	224308.BSU09520/224308.BSU00630
BSU_09520	sigM	sigma factor	BSU_00590	rqcP	224308.BSU09520/224308.BSU00590
BSU_09520	sigM	sigma factor	BSU_00570	yabM	224308.BSU09520/224308.BSU00570
BSU_09520	sigM	sigma factor	BSU_00620	divIC	224308.BSU09520/224308.BSU00620
BSU_15320	sigE	sigma factor	BSU_00600	yabP	224308.BSU15320/224308.BSU00600
BSU_15320	sigE	sigma factor	BSU_00610	shfA	224308.BSU15320/224308.BSU00610
BSU_15320	sigE	sigma factor	BSU_00580	yabN	224308.BSU15320/224308.BSU00580
BSU_15320	sigE	sigma factor	BSU_00630	yabR	224308.BSU15320/224308.BSU00630
BSU_15320	sigE	sigma factor	BSU_00590	rqcP	224308.BSU15320/224308.BSU00590
BSU_15320	sigE	sigma factor	BSU_00570	yabM	224308.BSU15320/224308.BSU00570
BSU_15320	sigE	sigma factor	BSU_00620	divIC	224308.BSU15320/224308.BSU00620
BSU_01730	sigW	sigma factor	BSU_00600	yabP	224308.BSU01730/224308.BSU00600
BSU_01730	sigW	sigma factor	BSU_00610	shfA	224308.BSU01730/224308.BSU00610
BSU_01730	sigW	sigma factor	BSU_00580	yabN	224308.BSU01730/224308.BSU00580
BSU_01730	sigW	sigma factor	BSU_00630	yabR	224308.BSU01730/224308.BSU00630
BSU_01730	sigW	sigma factor	BSU_00590	rqcP	224308.BSU01730/224308.BSU00590
BSU_01730	sigW	sigma factor	BSU_00570	yabM	224308.BSU01730/224308.BSU00570
BSU_01730	sigW	sigma factor	BSU_00620	divIC	224308.BSU01730/224308.BSU00620
BSU_16470	sigD	sigma factor	BSU_00600	yabP	224308.BSU16470/224308.BSU00600
BSU_16470	sigD	sigma factor	BSU_00610	shfA	224308.BSU16470/224308.BSU00610
BSU_16470	sigD	sigma factor	BSU_00580	yabN	224308.BSU16470/224308.BSU00580
BSU_16470	sigD	sigma factor	BSU_00630	yabR	224308.BSU16470/224308.BSU00630
BSU_16470	sigD	sigma factor	BSU_00590	rqcP	224308.BSU16470/224308.BSU00590
BSU_16470	sigD	sigma factor	BSU_00570	yabM	224308.BSU16470/224308.BSU00570
BSU_16470	sigD	sigma factor	BSU_00620	divIC	224308.BSU16470/224308.BSU00620
BSU_23100	sigX	sigma factor	BSU_00600	yabP	224308.BSU23100/224308.BSU00600
BSU_23100	sigX	sigma factor	BSU_00610	shfA	224308.BSU23100/224308.BSU00610
BSU_23100	sigX	sigma factor	BSU_00580	yabN	224308.BSU23100/224308.BSU00580
BSU_23100	sigX	sigma factor	BSU_00630	yabR	224308.BSU23100/224308.BSU00630
BSU_23100	sigX	sigma factor	BSU_00590	rqcP	224308.BSU23100/224308.BSU00590
BSU_23100	sigX	sigma factor	BSU_00570	yabM	224308.BSU23100/224308.BSU00570
BSU_23100	sigX	sigma factor	BSU_00620	divIC	224308.BSU23100/224308.BSU00620
NA	c-di-AMP Riboswitch	RNA switch	BSU_31090	ktrA	224308.NA/224308.BSU31090
NA	c-di-AMP Riboswitch	RNA switch	BSU_31100	ktrB	224308.NA/224308.BSU31100
BSU_10420	comK	activation	BSU_35440	yvyF	224308.BSU10420/224308.BSU35440
BSU_10420	comK	activation	BSU_35450	comFC	224308.BSU10420/224308.BSU35450
BSU_10420	comK	activation	BSU_35470	comFA	224308.BSU10420/224308.BSU35470
BSU_10420	comK	activation	BSU_35380	fliW	224308.BSU10420/224308.BSU35380
BSU_10420	comK	activation	BSU_35420	flgN	224308.BSU10420/224308.BSU35420
BSU_10420	comK	activation	BSU_35410	flgK	224308.BSU10420/224308.BSU35410
BSU_10420	comK	activation	BSU_35400	flgL	224308.BSU10420/224308.BSU35400
BSU_10420	comK	activation	BSU_35370	csrA	224308.BSU10420/224308.BSU35370
BSU_10420	comK	activation	BSU_35460	comFB	224308.BSU10420/224308.BSU35460
BSU_10420	comK	activation	BSU_35390	yviE	224308.BSU10420/224308.BSU35390
BSU_10420	comK	activation	BSU_35430	flgM	224308.BSU10420/224308.BSU35430
BSU_25200	sigA	sigma factor	BSU_35440	yvyF	224308.BSU25200/224308.BSU35440
BSU_25200	sigA	sigma factor	BSU_35450	comFC	224308.BSU25200/224308.BSU35450
BSU_25200	sigA	sigma factor	BSU_35470	comFA	224308.BSU25200/224308.BSU35470
BSU_25200	sigA	sigma factor	BSU_35380	fliW	224308.BSU25200/224308.BSU35380
BSU_25200	sigA	sigma factor	BSU_35420	flgN	224308.BSU25200/224308.BSU35420
BSU_25200	sigA	sigma factor	BSU_35410	flgK	224308.BSU25200/224308.BSU35410
BSU_25200	sigA	sigma factor	BSU_35400	flgL	224308.BSU25200/224308.BSU35400
BSU_25200	sigA	sigma factor	BSU_35370	csrA	224308.BSU25200/224308.BSU35370
BSU_25200	sigA	sigma factor	BSU_35460	comFB	224308.BSU25200/224308.BSU35460
BSU_25200	sigA	sigma factor	BSU_35390	yviE	224308.BSU25200/224308.BSU35390
BSU_25200	sigA	sigma factor	BSU_35430	flgM	224308.BSU25200/224308.BSU35430
BSU_16470	sigD	sigma factor	BSU_35440	yvyF	224308.BSU16470/224308.BSU35440
BSU_16470	sigD	sigma factor	BSU_35450	comFC	224308.BSU16470/224308.BSU35450
BSU_16470	sigD	sigma factor	BSU_35470	comFA	224308.BSU16470/224308.BSU35470
BSU_16470	sigD	sigma factor	BSU_35380	fliW	224308.BSU16470/224308.BSU35380
BSU_16470	sigD	sigma factor	BSU_35420	flgN	224308.BSU16470/224308.BSU35420
BSU_16470	sigD	sigma factor	BSU_35410	flgK	224308.BSU16470/224308.BSU35410
BSU_16470	sigD	sigma factor	BSU_35400	flgL	224308.BSU16470/224308.BSU35400
BSU_16470	sigD	sigma factor	BSU_35370	csrA	224308.BSU16470/224308.BSU35370
BSU_16470	sigD	sigma factor	BSU_35460	comFB	224308.BSU16470/224308.BSU35460
BSU_16470	sigD	sigma factor	BSU_35390	yviE	224308.BSU16470/224308.BSU35390
BSU_16470	sigD	sigma factor	BSU_35430	flgM	224308.BSU16470/224308.BSU35430
BSU_35490	degU	activation	BSU_35440	yvyF	224308.BSU35490/224308.BSU35440
BSU_35490	degU	activation	BSU_35450	comFC	224308.BSU35490/224308.BSU35450
BSU_35490	degU	activation	BSU_35470	comFA	224308.BSU35490/224308.BSU35470
BSU_35490	degU	activation	BSU_35380	fliW	224308.BSU35490/224308.BSU35380
BSU_35490	degU	activation	BSU_35420	flgN	224308.BSU35490/224308.BSU35420
BSU_35490	degU	activation	BSU_35410	flgK	224308.BSU35490/224308.BSU35410
BSU_35490	degU	activation	BSU_35400	flgL	224308.BSU35490/224308.BSU35400
BSU_35490	degU	activation	BSU_35370	csrA	224308.BSU35490/224308.BSU35370
BSU_35490	degU	activation	BSU_35460	comFB	224308.BSU35490/224308.BSU35460
BSU_35490	degU	activation	BSU_35390	yviE	224308.BSU35490/224308.BSU35390
BSU_35490	degU	activation	BSU_35430	flgM	224308.BSU35490/224308.BSU35430
BSU_09990	scoC	repression	BSU_35440	yvyF	224308.BSU09990/224308.BSU35440
BSU_09990	scoC	repression	BSU_35450	comFC	224308.BSU09990/224308.BSU35450
BSU_09990	scoC	repression	BSU_35470	comFA	224308.BSU09990/224308.BSU35470
BSU_09990	scoC	repression	BSU_35380	fliW	224308.BSU09990/224308.BSU35380
BSU_09990	scoC	repression	BSU_35420	flgN	224308.BSU09990/224308.BSU35420
BSU_09990	scoC	repression	BSU_35410	flgK	224308.BSU09990/224308.BSU35410
BSU_09990	scoC	repression	BSU_35400	flgL	224308.BSU09990/224308.BSU35400
BSU_09990	scoC	repression	BSU_35370	csrA	224308.BSU09990/224308.BSU35370
BSU_09990	scoC	repression	BSU_35460	comFB	224308.BSU09990/224308.BSU35460
BSU_09990	scoC	repression	BSU_35390	yviE	224308.BSU09990/224308.BSU35390
BSU_09990	scoC	repression	BSU_35430	flgM	224308.BSU09990/224308.BSU35430
BSU_35490	degU	activation	BSU_35870	capE	224308.BSU35490/224308.BSU35870
BSU_35490	degU	activation	BSU_35900	capB	224308.BSU35490/224308.BSU35900
BSU_35490	degU	activation	BSU_35880	capA	224308.BSU35490/224308.BSU35880
BSU_35490	degU	activation	BSU_35890	capC	224308.BSU35490/224308.BSU35890
BSU_25200	sigA	sigma factor	BSU_35870	capE	224308.BSU25200/224308.BSU35870
BSU_25200	sigA	sigma factor	BSU_35900	capB	224308.BSU25200/224308.BSU35900
BSU_25200	sigA	sigma factor	BSU_35880	capA	224308.BSU25200/224308.BSU35880
BSU_25200	sigA	sigma factor	BSU_35890	capC	224308.BSU25200/224308.BSU35890
BSU_36420	spoIIID	repression	BSU_24360	spoIIIAH	224308.BSU36420/224308.BSU24360
BSU_36420	spoIIID	repression	BSU_24370	spoIIIAG	224308.BSU36420/224308.BSU24370
BSU_36420	spoIIID	repression	BSU_24400	spoIIIAD	224308.BSU36420/224308.BSU24400
BSU_36420	spoIIID	repression	BSU_24410	spoIIIAC	224308.BSU36420/224308.BSU24410
BSU_36420	spoIIID	repression	BSU_24430	spoIIIAA	224308.BSU36420/224308.BSU24430
BSU_36420	spoIIID	repression	BSU_24440	yqhV	224308.BSU36420/224308.BSU24440
BSU_36420	spoIIID	repression	BSU_24380	spoIIIAF	224308.BSU36420/224308.BSU24380
BSU_36420	spoIIID	repression	BSU_24390	spoIIIAE	224308.BSU36420/224308.BSU24390
BSU_36420	spoIIID	repression	BSU_24420	spoIIIAB	224308.BSU36420/224308.BSU24420
BSU_15320	sigE	sigma factor	BSU_24360	spoIIIAH	224308.BSU15320/224308.BSU24360
BSU_15320	sigE	sigma factor	BSU_24370	spoIIIAG	224308.BSU15320/224308.BSU24370
BSU_15320	sigE	sigma factor	BSU_24400	spoIIIAD	224308.BSU15320/224308.BSU24400
BSU_15320	sigE	sigma factor	BSU_24410	spoIIIAC	224308.BSU15320/224308.BSU24410
BSU_15320	sigE	sigma factor	BSU_24430	spoIIIAA	224308.BSU15320/224308.BSU24430
BSU_15320	sigE	sigma factor	BSU_24440	yqhV	224308.BSU15320/224308.BSU24440
BSU_15320	sigE	sigma factor	BSU_24380	spoIIIAF	224308.BSU15320/224308.BSU24380
BSU_15320	sigE	sigma factor	BSU_24390	spoIIIAE	224308.BSU15320/224308.BSU24390
BSU_15320	sigE	sigma factor	BSU_24420	spoIIIAB	224308.BSU15320/224308.BSU24420
BSU_09520	sigM	sigma factor	BSU_00870	radA	224308.BSU09520/224308.BSU00870
BSU_09520	sigM	sigma factor	BSU_00880	disA	224308.BSU09520/224308.BSU00880
BSU_09520	sigM	sigma factor	BSU_00850	mcsB	224308.BSU09520/224308.BSU00850
BSU_09520	sigM	sigma factor	BSU_00860	clpC	224308.BSU09520/224308.BSU00860
BSU_09520	sigM	sigma factor	BSU_00830	ctsR	224308.BSU09520/224308.BSU00830
