protein_1_locus	protein_2_locus	evidence	source	protein_1_alt_name	protein_1_name	protein_2_alt_name	protein_2_name	link
BSU_00330	BSU_40970	textmined	string-db	YabA	DnaH	ParA	ParA	224308.BSU00330/224308.BSU40970
BSU_00330	BSU_00020	experimental	string-db	YabA	DnaH	DnaN	DnaN	224308.BSU00330/224308.BSU00020
BSU_00330	BSU_00020	experimental	string-db	YabA	DnaH	DnaN	DnaN	224308.BSU00330/224308.BSU00020
BSU_00330	BSU_00010	experimental	string-db	YabA	DnaH	DnaA	DnaA	224308.BSU00330/224308.BSU00010
BSU_00330	BSU_00010	experimental	string-db	YabA	DnaH	DnaA	DnaA	224308.BSU00330/224308.BSU00010
BSU_00330	BSU_31240	experimental	string-db	YabA	DnaH	McpA	McpA	224308.BSU00330/224308.BSU31240
BSU_00330	BSU_31240	experimental	string-db	YabA	DnaH	McpA	McpA	224308.BSU00330/224308.BSU31240
BSU_00330	BSU_05240	experimental	string-db	YabA	DnaH	YdeL	YdeL	224308.BSU00330/224308.BSU05240
BSU_00330	BSU_05240	experimental	string-db	YabA	DnaH	YdeL	YdeL	224308.BSU00330/224308.BSU05240
BSU_00330	BSU_39940	experimental	string-db	YabA	DnaH	YxaL	YxaL	224308.BSU00330/224308.BSU39940
BSU_00330	BSU_39940	experimental	string-db	YabA	DnaH	YxaL	YxaL	224308.BSU00330/224308.BSU39940
BSU_00370	BSU_14120	experimental	string-db	AbrB	AbrB	AbbA	AbbA	224308.BSU00370/224308.BSU14120
BSU_00370	BSU_01130	textmined	string-db	AbrB	AbrB	TufA	TufA	224308.BSU00370/224308.BSU01130
BSU_00380	BSU_19400	experimental	string-db	MetS	MetS	SodC	SodC	224308.BSU00380/224308.BSU19400
BSU_00380	BSU_23220	experimental	string-db	MetS	MetS	ScpA	ScpA	224308.BSU00380/224308.BSU23220
BSU_00380	BSU_29740	experimental	string-db	MetS	MetS	CcpA	CcpA	224308.BSU00380/224308.BSU29740
BSU_00410	BSU_14530	textmined	string-db	RnmV	RnmV	RnjA	RnjA	224308.BSU00410/224308.BSU14530
BSU_00410	BSU_16960	textmined	string-db	RnmV	RnmV	Rny	Rny	224308.BSU00410/224308.BSU16960
BSU_00420	BSU_35370	textmined	string-db	KsgA	KsgA	CsrA	CsrA	224308.BSU00420/224308.BSU35370
