"regulator_locus","regulator_name","mode","gene_locus","gene_name"
"BSU_09520","sigM","sigma factor","BSU_28000","minC"
"BSU_09520","sigM","sigma factor","BSU_28030","mreB"
"BSU_10420","comK","activation","BSU_28010","mreD"
"BSU_10420","comK","activation","BSU_28040","radC"
"BSU_10420","comK","activation","BSU_27990","minD"
"BSU_10420","comK","activation","BSU_28050","maf"
"BSU_10420","comK","activation","BSU_28020","mreC"
"BSU_10420","comK","activation","BSU_28000","minC"
"BSU_10420","comK","activation","BSU_28030","mreB"
"BSU_25200","sigA","sigma factor","BSU_28010","mreD"
"BSU_25200","sigA","sigma factor","BSU_28040","radC"
"BSU_25200","sigA","sigma factor","BSU_27990","minD"
"BSU_25200","sigA","sigma factor","BSU_28050","maf"
"BSU_25200","sigA","sigma factor","BSU_28020","mreC"
"BSU_25200","sigA","sigma factor","BSU_28000","minC"
"BSU_25200","sigA","sigma factor","BSU_28030","mreB"
"BSU_07590","citT","activation","BSU_07620","yflN"
"BSU_07590","citT","activation","BSU_07610","citM"
"BSU_25200","sigA","sigma factor","BSU_07620","yflN"
"BSU_25200","sigA","sigma factor","BSU_07610","citM"
"BSU_29740","ccpA","repression","BSU_07620","yflN"
"BSU_29740","ccpA","repression","BSU_07610","citM"
"BSU_32870","mdtR","repression","BSU_32880","mdtP"
"BSU_32870","mdtR","repression","BSU_32870","mdtR"
"BSU_00470","purR","RNA switch","BSU_06370","pbuG"
"","G-box","termination","BSU_06370","pbuG"
"BSU_22440","birA","repression","BSU_30180","ytbQ"
"BSU_22440","birA","repression","BSU_30200","bioB"
"BSU_22440","birA","repression","BSU_30230","bioA"
"BSU_22440","birA","repression","BSU_30220","bioF"
"BSU_22440","birA","repression","BSU_30190","bioI"
"BSU_22440","birA","repression","BSU_30240","bioW"
"BSU_22440","birA","repression","BSU_30210","bioD"
"BSU_25200","sigA","sigma factor","BSU_18450","gltA"
"BSU_25200","sigA","sigma factor","BSU_18440","gltB"
"BSU_13310","tnrA","repression","BSU_18450","gltA"
"BSU_13310","tnrA","repression","BSU_18440","gltB"
"BSU_18460","gltC","activation","BSU_18450","gltA"
"BSU_18460","gltC","activation","BSU_18440","gltB"
"BSU_23520","fur","indirect effect","BSU_18450","gltA"
"BSU_23520","fur","indirect effect","BSU_18440","gltB"
"BSU_15090","gerR","activation","BSU_11750","cotY"
"BSU_15090","gerR","activation","BSU_11740","cotZ"
"BSU_28410","gerE","activation","BSU_11750","cotY"
"BSU_28410","gerE","activation","BSU_11740","cotZ"
"BSU_25760","sigK","sigma factor","BSU_11750","cotY"
"BSU_25760","sigK","sigma factor","BSU_11740","cotZ"
"BSU_15320","sigE","sigma factor","BSU_11750","cotY"
"BSU_15320","sigE","sigma factor","BSU_11740","cotZ"
"BSU_25200","sigA","sigma factor","BSU_28640","pheS"
"BSU_25200","sigA","sigma factor","BSU_28630","pheT"
"","T-box","RNA switch","BSU_28640","pheS"
"","T-box","RNA switch","BSU_28630","pheT"
"BSU_00370","abrB","repression","BSU_21580","yokI"
"BSU_00370","abrB","repression","BSU_21560","yokK"
"BSU_00370","abrB","repression","BSU_21550","yokL"
"BSU_00370","abrB","repression","BSU_21570","yokJ"
"BSU_15320","sigE","sigma factor","BSU_36410","mbl"
"BSU_25200","sigA","sigma factor","BSU_36410","mbl"
"","stringent response","negative regulation","BSU_36410","mbl"
"BSU_15330","sigG","sigma factor","BSU_40360","htrC"
"BSU_00370","abrB","activation","BSU_09990","scoC"
"BSU_08810","senS","activation","BSU_09990","scoC"
"BSU_01540","salA","repression","BSU_09990","scoC"
"BSU_16170","codY","repression","BSU_09990","scoC"
"BSU_25200","sigA","sigma factor","BSU_09990","scoC"
"BSU_13310","tnrA","activation","BSU_32450","pucL"
"BSU_13310","tnrA","activation","BSU_32440","pucK"
"BSU_13310","tnrA","activation","BSU_32430","pucJ"
"BSU_13310","tnrA","activation","BSU_32460","pucM"
"BSU_32420","pucR","activation","BSU_32450","pucL"
"BSU_32420","pucR","activation","BSU_32440","pucK"
"BSU_32420","pucR","activation","BSU_32430","pucJ"
"BSU_32420","pucR","activation","BSU_32460","pucM"
"BSU_25200","sigA","sigma factor","BSU_32450","pucL"
"BSU_25200","sigA","sigma factor","BSU_32440","pucK"
"BSU_25200","sigA","sigma factor","BSU_32430","pucJ"
"BSU_25200","sigA","sigma factor","BSU_32460","pucM"
"BSU_32420","pucR","activation","BSU_13170","guaD"
"BSU_25200","sigA","sigma factor","BSU_13170","guaD"
"BSU_04730","sigB","sigma factor","BSU_13170","guaD"
"BSU_29740","ccpA","repression","BSU_37460","rapF"
"BSU_29740","ccpA","repression","BSU_37470","phrF"
"BSU_31680","comA","activation","BSU_37460","rapF"
"BSU_31680","comA","activation","BSU_37470","phrF"
"BSU_00980","sigH","sigma factor","BSU_37460","rapF"
"BSU_00980","sigH","sigma factor","BSU_37470","phrF"
"BSU_25200","sigA","sigma factor","BSU_41060","rpmH"
"BSU_24220","spo0A","repression","BSU_35260","ftsE"
"BSU_24220","spo0A","repression","BSU_35250","ftsX"
"BSU_28410","gerE","repression","BSU_25760","sigK"
"BSU_36420","spoIIID","activation","BSU_25760","sigK"
"BSU_09990","scoC","repression","BSU_25760","sigK"
"BSU_15320","sigE","sigma factor","BSU_25760","sigK"
"BSU_25760","sigK","sigma factor","BSU_25760","sigK"
"BSU_24610","sinR","repression","BSU_15310","spoIIGA"
"BSU_24610","sinR","repression","BSU_15320","sigE"
"BSU_24610","sinR","repression","BSU_15330","sigG"
"BSU_24220","spo0A","activation","BSU_15310","spoIIGA"
"BSU_24220","spo0A","activation","BSU_15320","sigE"
"BSU_24220","spo0A","activation","BSU_15330","sigG"
"BSU_25200","sigA","sigma factor","BSU_15310","spoIIGA"
"BSU_25200","sigA","sigma factor","BSU_15320","sigE"
"BSU_25200","sigA","sigma factor","BSU_15330","sigG"
"BSU_00370","abrB","repression","BSU_15310","spoIIGA"
"BSU_00370","abrB","repression","BSU_15320","sigE"
"BSU_00370","abrB","repression","BSU_15330","sigG"
"BSU_15330","sigG","sigma factor","BSU_15310","spoIIGA"
"BSU_15330","sigG","sigma factor","BSU_15320","sigE"
"BSU_15330","sigG","sigma factor","BSU_15330","sigG"
"BSU_23450","sigF","sigma factor","BSU_15310","spoIIGA"
"BSU_23450","sigF","sigma factor","BSU_15320","sigE"
"BSU_23450","sigF","sigma factor","BSU_15330","sigG"
"BSU_15320","sigE","sigma factor","BSU_40630","yybI"
"BSU_00370","abrB","repression","BSU_05220","ydeJ"
"BSU_29110","phoP","activation","BSU_32540","yurI"
"BSU_00370","abrB","repression","BSU_32540","yurI"
"BSU_28920","lytT","activation","BSU_28910","pftA"
"BSU_28920","lytT","activation","BSU_28900","pftB"
"BSU_29740","ccpA","repression","BSU_28910","pftA"
"BSU_29740","ccpA","repression","BSU_28900","pftB"
"BSU_14020","kre","repression","BSU_28910","pftA"
"BSU_14020","kre","repression","BSU_28900","pftB"
"BSU_25200","sigA","sigma factor","BSU_07900","yfkH"
"BSU_25200","sigA","sigma factor","BSU_07880","yfkJ"
"BSU_25200","sigA","sigma factor","BSU_07890","yfkI"
"BSU_04730","sigB","sigma factor","BSU_07900","yfkH"
"BSU_04730","sigB","sigma factor","BSU_07880","yfkJ"
"BSU_04730","sigB","sigma factor","BSU_07890","yfkI"
"BSU_28410","gerE","repression","BSU_17030","cotE"
"BSU_15320","sigE","sigma factor","BSU_17030","cotE"
"BSU_25760","sigK","sigma factor","BSU_17030","cotE"
"BSU_10420","comK","activation","BSU_40990","noc"
"BSU_10420","comK","activation","BSU_41020","thdF"
"BSU_10420","comK","activation","BSU_41010","gidA"
"BSU_10420","comK","activation","BSU_41000","gidB"
"BSU_00010","dnaA","repression","BSU_40990","noc"
"BSU_00010","dnaA","repression","BSU_41020","thdF"
"BSU_00010","dnaA","repression","BSU_41010","gidA"
"BSU_00010","dnaA","repression","BSU_41000","gidB"
"BSU_40050","gntR","repression","BSU_40050","gntR"
"BSU_40050","gntR","repression","BSU_40060","gntK"
"BSU_40050","gntR","repression","BSU_40080","gntZ"
"BSU_40050","gntR","repression","BSU_40070","gntP"
"BSU_29740","ccpA","repression","BSU_40050","gntR"
"BSU_29740","ccpA","repression","BSU_40060","gntK"
"BSU_29740","ccpA","repression","BSU_40080","gntZ"
"BSU_29740","ccpA","repression","BSU_40070","gntP"
"BSU_00370","abrB","activation","BSU_40050","gntR"
"BSU_00370","abrB","activation","BSU_40060","gntK"
"BSU_00370","abrB","activation","BSU_40080","gntZ"
"BSU_00370","abrB","activation","BSU_40070","gntP"
"BSU_25200","sigA","sigma factor","BSU_40050","gntR"
"BSU_25200","sigA","sigma factor","BSU_40060","gntK"
"BSU_25200","sigA","sigma factor","BSU_40080","gntZ"
"BSU_25200","sigA","sigma factor","BSU_40070","gntP"
"BSU_14240","rok","repression","BSU_13490","htpX"
"BSU_15320","sigE","sigma factor","BSU_31730","yuzC"
"BSU_23590","ansR","repression","BSU_23570","ansB"
"BSU_23590","ansR","repression","BSU_23580","ansA"
"BSU_25200","sigA","sigma factor","BSU_23570","ansB"
"BSU_25200","sigA","sigma factor","BSU_23580","ansA"
"BSU_15320","sigE","sigma factor","BSU_25520","yqxA"
"BSU_15320","sigE","sigma factor","BSU_25530","spoIIP"
"BSU_23450","sigF","sigma factor","BSU_25520","yqxA"
"BSU_23450","sigF","sigma factor","BSU_25530","spoIIP"
"BSU_14240","rok","repression","BSU_10420","comK"
"BSU_16170","codY","repression","BSU_10420","comK"
"BSU_00370","abrB","repression","BSU_10420","comK"
"BSU_10420","comK","activation","BSU_10420","comK"
"BSU_35490","degU","activation","BSU_10420","comK"
"BSU_24220","spo0A","activation","BSU_10420","comK"
"BSU_25200","sigA","sigma factor","BSU_10420","comK"
"BSU_00370","abrB","repression","BSU_17920","ynzD"
"BSU_25200","sigA","sigma factor","BSU_30790","menE"
"BSU_25200","sigA","sigma factor","BSU_30780","menC"
"BSU_04730","sigB","sigma factor","BSU_30790","menE"
"BSU_04730","sigB","sigma factor","BSU_30780","menC"
"BSU_25200","sigA","sigma factor","BSU_16310","fliM"
"BSU_25200","sigA","sigma factor","BSU_16300","fliL"
"BSU_25200","sigA","sigma factor","BSU_16320","fliY"
"BSU_25200","sigA","sigma factor","BSU_16330","cheY"
"BSU_25200","sigA","sigma factor","BSU_16299","swrD"
"BSU_25200","sigA","sigma factor","BSU_16480","swrB"
"BSU_25200","sigA","sigma factor","BSU_16270","fliK"
"BSU_25200","sigA","sigma factor","BSU_16380","flhB"
"BSU_25200","sigA","sigma factor","BSU_16430","cheA"
"BSU_25200","sigA","sigma factor","BSU_16350","fliP"
"BSU_25200","sigA","sigma factor","BSU_16470","sigD"
"BSU_25200","sigA","sigma factor","BSU_16280","flgD"
"BSU_25200","sigA","sigma factor","BSU_16440","cheW"
"BSU_25200","sigA","sigma factor","BSU_16390","flhA"
"BSU_25200","sigA","sigma factor","BSU_16370","fliR"
"BSU_25200","sigA","sigma factor","BSU_16360","fliQ"
"BSU_25200","sigA","sigma factor","BSU_16420","cheB"
"BSU_25200","sigA","sigma factor","BSU_16400","flhF"
"BSU_25200","sigA","sigma factor","BSU_16460","cheD"
"BSU_25200","sigA","sigma factor","BSU_16340","fliO"
"BSU_25200","sigA","sigma factor","BSU_16410","flhG"
"BSU_25200","sigA","sigma factor","BSU_16290","flgE"
"BSU_25200","sigA","sigma factor","BSU_16450","cheC"
"BSU_25200","sigA","sigma factor","BSU_16260","ylxF"
"BSU_16470","sigD","sigma factor","BSU_16310","fliM"
"BSU_16470","sigD","sigma factor","BSU_16300","fliL"
"BSU_16470","sigD","sigma factor","BSU_16320","fliY"
"BSU_16470","sigD","sigma factor","BSU_16330","cheY"
"BSU_16470","sigD","sigma factor","BSU_16299","swrD"
"BSU_16470","sigD","sigma factor","BSU_16480","swrB"
"BSU_16470","sigD","sigma factor","BSU_16270","fliK"
"BSU_16470","sigD","sigma factor","BSU_16380","flhB"
"BSU_16470","sigD","sigma factor","BSU_16430","cheA"
"BSU_16470","sigD","sigma factor","BSU_16350","fliP"
"BSU_16470","sigD","sigma factor","BSU_16470","sigD"
"BSU_16470","sigD","sigma factor","BSU_16280","flgD"
"BSU_16470","sigD","sigma factor","BSU_16440","cheW"
"BSU_16470","sigD","sigma factor","BSU_16390","flhA"
"BSU_16470","sigD","sigma factor","BSU_16370","fliR"
"BSU_16470","sigD","sigma factor","BSU_16360","fliQ"
"BSU_16470","sigD","sigma factor","BSU_16420","cheB"
"BSU_16470","sigD","sigma factor","BSU_16400","flhF"
"BSU_16470","sigD","sigma factor","BSU_16460","cheD"
"BSU_16470","sigD","sigma factor","BSU_16340","fliO"
"BSU_16470","sigD","sigma factor","BSU_16410","flhG"
"BSU_16470","sigD","sigma factor","BSU_16290","flgE"
"BSU_16470","sigD","sigma factor","BSU_16450","cheC"
"BSU_16470","sigD","sigma factor","BSU_16260","ylxF"
"BSU_24220","spo0A","repression","BSU_16310","fliM"
"BSU_24220","spo0A","repression","BSU_16300","fliL"
"BSU_24220","spo0A","repression","BSU_16320","fliY"
"BSU_24220","spo0A","repression","BSU_16330","cheY"
"BSU_24220","spo0A","repression","BSU_16299","swrD"
"BSU_24220","spo0A","repression","BSU_16480","swrB"
"BSU_24220","spo0A","repression","BSU_16270","fliK"
"BSU_24220","spo0A","repression","BSU_16380","flhB"
"BSU_24220","spo0A","repression","BSU_16430","cheA"
"BSU_24220","spo0A","repression","BSU_16350","fliP"
"BSU_24220","spo0A","repression","BSU_16470","sigD"
"BSU_24220","spo0A","repression","BSU_16280","flgD"
"BSU_24220","spo0A","repression","BSU_16440","cheW"
"BSU_24220","spo0A","repression","BSU_16390","flhA"
"BSU_24220","spo0A","repression","BSU_16370","fliR"
"BSU_24220","spo0A","repression","BSU_16360","fliQ"
"BSU_24220","spo0A","repression","BSU_16420","cheB"
"BSU_24220","spo0A","repression","BSU_16400","flhF"
"BSU_24220","spo0A","repression","BSU_16460","cheD"
"BSU_24220","spo0A","repression","BSU_16340","fliO"
"BSU_24220","spo0A","repression","BSU_16410","flhG"
"BSU_24220","spo0A","repression","BSU_16290","flgE"
"BSU_24220","spo0A","repression","BSU_16450","cheC"
"BSU_24220","spo0A","repression","BSU_16260","ylxF"
"BSU_16170","codY","repression","BSU_16310","fliM"
"BSU_16170","codY","repression","BSU_16300","fliL"
"BSU_16170","codY","repression","BSU_16320","fliY"
"BSU_16170","codY","repression","BSU_16330","cheY"
"BSU_16170","codY","repression","BSU_16299","swrD"
"BSU_16170","codY","repression","BSU_16480","swrB"
"BSU_16170","codY","repression","BSU_16270","fliK"
"BSU_16170","codY","repression","BSU_16380","flhB"
"BSU_16170","codY","repression","BSU_16430","cheA"
"BSU_16170","codY","repression","BSU_16350","fliP"
"BSU_16170","codY","repression","BSU_16470","sigD"
"BSU_16170","codY","repression","BSU_16280","flgD"
"BSU_16170","codY","repression","BSU_16440","cheW"
"BSU_16170","codY","repression","BSU_16390","flhA"
"BSU_16170","codY","repression","BSU_16370","fliR"
"BSU_16170","codY","repression","BSU_16360","fliQ"
"BSU_16170","codY","repression","BSU_16420","cheB"
"BSU_16170","codY","repression","BSU_16400","flhF"
"BSU_16170","codY","repression","BSU_16460","cheD"
"BSU_16170","codY","repression","BSU_16340","fliO"
"BSU_16170","codY","repression","BSU_16410","flhG"
"BSU_16170","codY","repression","BSU_16290","flgE"
"BSU_16170","codY","repression","BSU_16450","cheC"
"BSU_16170","codY","repression","BSU_16260","ylxF"
"BSU_35490","degU","repression","BSU_16310","fliM"
"BSU_35490","degU","repression","BSU_16300","fliL"
"BSU_35490","degU","repression","BSU_16320","fliY"
"BSU_35490","degU","repression","BSU_16330","cheY"
"BSU_35490","degU","repression","BSU_16299","swrD"
"BSU_35490","degU","repression","BSU_16480","swrB"
"BSU_35490","degU","repression","BSU_16270","fliK"
"BSU_35490","degU","repression","BSU_16380","flhB"
"BSU_35490","degU","repression","BSU_16430","cheA"
"BSU_35490","degU","repression","BSU_16350","fliP"
"BSU_35490","degU","repression","BSU_16470","sigD"
"BSU_35490","degU","repression","BSU_16280","flgD"
"BSU_35490","degU","repression","BSU_16440","cheW"
"BSU_35490","degU","repression","BSU_16390","flhA"
"BSU_35490","degU","repression","BSU_16370","fliR"
"BSU_35490","degU","repression","BSU_16360","fliQ"
"BSU_35490","degU","repression","BSU_16420","cheB"
"BSU_35490","degU","repression","BSU_16400","flhF"
"BSU_35490","degU","repression","BSU_16460","cheD"
"BSU_35490","degU","repression","BSU_16340","fliO"
"BSU_35490","degU","repression","BSU_16410","flhG"
"BSU_35490","degU","repression","BSU_16290","flgE"
"BSU_35490","degU","repression","BSU_16450","cheC"
"BSU_35490","degU","repression","BSU_16260","ylxF"
"BSU_35230","swrA","activation","BSU_16310","fliM"
"BSU_35230","swrA","activation","BSU_16300","fliL"
"BSU_35230","swrA","activation","BSU_16320","fliY"
"BSU_35230","swrA","activation","BSU_16330","cheY"
"BSU_35230","swrA","activation","BSU_16299","swrD"
"BSU_35230","swrA","activation","BSU_16480","swrB"
"BSU_35230","swrA","activation","BSU_16270","fliK"
"BSU_35230","swrA","activation","BSU_16380","flhB"
"BSU_35230","swrA","activation","BSU_16430","cheA"
"BSU_35230","swrA","activation","BSU_16350","fliP"
"BSU_35230","swrA","activation","BSU_16470","sigD"
"BSU_35230","swrA","activation","BSU_16280","flgD"
"BSU_35230","swrA","activation","BSU_16440","cheW"
"BSU_35230","swrA","activation","BSU_16390","flhA"
"BSU_35230","swrA","activation","BSU_16370","fliR"
"BSU_35230","swrA","activation","BSU_16360","fliQ"
"BSU_35230","swrA","activation","BSU_16420","cheB"
"BSU_35230","swrA","activation","BSU_16400","flhF"
"BSU_35230","swrA","activation","BSU_16460","cheD"
"BSU_35230","swrA","activation","BSU_16340","fliO"
"BSU_35230","swrA","activation","BSU_16410","flhG"
"BSU_35230","swrA","activation","BSU_16290","flgE"
"BSU_35230","swrA","activation","BSU_16450","cheC"
"BSU_35230","swrA","activation","BSU_16260","ylxF"
"BSU_13670","mhqR","repression","BSU_05490","mhqO"
"BSU_13670","mhqR","repression","BSU_05500","mhqP"
"BSU_25200","sigA","sigma factor","BSU_05490","mhqO"
"BSU_25200","sigA","sigma factor","BSU_05500","mhqP"
"BSU_04730","sigB","sigma factor","BSU_05490","mhqO"
"BSU_04730","sigB","sigma factor","BSU_05500","mhqP"
"BSU_09520","sigM","sigma factor","BSU_30500","ytpB"
"BSU_23520","fur","repression","BSU_08440","yfiY"
"BSU_01730","sigW","sigma factor","BSU_18590","yoaG"
"BSU_33221","yvrHb","activation","BSU_38510","dltB"
"BSU_33221","yvrHb","activation","BSU_38540","dltE"
"BSU_33221","yvrHb","activation","BSU_38499","dltX"
"BSU_33221","yvrHb","activation","BSU_38500","dltA"
"BSU_33221","yvrHb","activation","BSU_38520","dltC"
"BSU_33221","yvrHb","activation","BSU_38530","dltD"
"BSU_24220","spo0A","repression","BSU_38510","dltB"
"BSU_24220","spo0A","repression","BSU_38540","dltE"
"BSU_24220","spo0A","repression","BSU_38499","dltX"
"BSU_24220","spo0A","repression","BSU_38500","dltA"
"BSU_24220","spo0A","repression","BSU_38520","dltC"
"BSU_24220","spo0A","repression","BSU_38530","dltD"
"BSU_16470","sigD","sigma factor","BSU_38510","dltB"
"BSU_16470","sigD","sigma factor","BSU_38540","dltE"
"BSU_16470","sigD","sigma factor","BSU_38499","dltX"
"BSU_16470","sigD","sigma factor","BSU_38500","dltA"
"BSU_16470","sigD","sigma factor","BSU_38520","dltC"
"BSU_16470","sigD","sigma factor","BSU_38530","dltD"
"BSU_09520","sigM","sigma factor","BSU_38510","dltB"
"BSU_09520","sigM","sigma factor","BSU_38540","dltE"
"BSU_09520","sigM","sigma factor","BSU_38499","dltX"
"BSU_09520","sigM","sigma factor","BSU_38500","dltA"
"BSU_09520","sigM","sigma factor","BSU_38520","dltC"
"BSU_09520","sigM","sigma factor","BSU_38530","dltD"
"BSU_23100","sigX","sigma factor","BSU_38510","dltB"
"BSU_23100","sigX","sigma factor","BSU_38540","dltE"
"BSU_23100","sigX","sigma factor","BSU_38499","dltX"
"BSU_23100","sigX","sigma factor","BSU_38500","dltA"
"BSU_23100","sigX","sigma factor","BSU_38520","dltC"
"BSU_23100","sigX","sigma factor","BSU_38530","dltD"
"BSU_27120","sigV","sigma factor","BSU_38510","dltB"
"BSU_27120","sigV","sigma factor","BSU_38540","dltE"
"BSU_27120","sigV","sigma factor","BSU_38499","dltX"
"BSU_27120","sigV","sigma factor","BSU_38500","dltA"
"BSU_27120","sigV","sigma factor","BSU_38520","dltC"
"BSU_27120","sigV","sigma factor","BSU_38530","dltD"
"","stringent response","negative regulation","BSU_38510","dltB"
"","stringent response","negative regulation","BSU_38540","dltE"
"","stringent response","negative regulation","BSU_38499","dltX"
"","stringent response","negative regulation","BSU_38500","dltA"
"","stringent response","negative regulation","BSU_38520","dltC"
"","stringent response","negative regulation","BSU_38530","dltD"
"BSU_00370","abrB","repression","BSU_15960","sivC"
"BSU_16470","sigD","sigma factor","BSU_15960","sivC"
"BSU_36420","spoIIID","repression","BSU_27970","spoIVFB"
"BSU_36420","spoIIID","repression","BSU_27980","spoIVFA"
"BSU_15320","sigE","sigma factor","BSU_27970","spoIVFB"
"BSU_15320","sigE","sigma factor","BSU_27980","spoIVFA"
"BSU_25200","sigA","sigma factor","BSU_19900","yotF"
"BSU_25200","sigA","sigma factor","BSU_19830","yotM"
"BSU_25200","sigA","sigma factor","BSU_19850","yotK"
"BSU_25200","sigA","sigma factor","BSU_19820","sprB"
"BSU_25200","sigA","sigma factor","BSU_19920","yotD"
"BSU_25200","sigA","sigma factor","BSU_19880","yotH"
"BSU_25200","sigA","sigma factor","BSU_19910","yotE"
"BSU_25200","sigA","sigma factor","BSU_19930","yotC"
"BSU_25200","sigA","sigma factor","BSU_19870","yotI"
"BSU_25200","sigA","sigma factor","BSU_19970","yosX"
"BSU_25200","sigA","sigma factor","BSU_19940","yotB"
"BSU_25200","sigA","sigma factor","BSU_19860","yotJ"
"BSU_25200","sigA","sigma factor","BSU_19890","yotG"
"BSU_33520","csoR","repression","BSU_19900","yotF"
"BSU_33520","csoR","repression","BSU_19830","yotM"
"BSU_33520","csoR","repression","BSU_19850","yotK"
"BSU_33520","csoR","repression","BSU_19820","sprB"
"BSU_33520","csoR","repression","BSU_19920","yotD"
"BSU_33520","csoR","repression","BSU_19880","yotH"
"BSU_33520","csoR","repression","BSU_19910","yotE"
"BSU_33520","csoR","repression","BSU_19930","yotC"
"BSU_33520","csoR","repression","BSU_19870","yotI"
"BSU_33520","csoR","repression","BSU_19970","yosX"
"BSU_33520","csoR","repression","BSU_19940","yotB"
"BSU_33520","csoR","repression","BSU_19860","yotJ"
"BSU_33520","csoR","repression","BSU_19890","yotG"
"BSU_15320","sigE","sigma factor","BSU_19900","yotF"
"BSU_15320","sigE","sigma factor","BSU_19830","yotM"
"BSU_15320","sigE","sigma factor","BSU_19850","yotK"
"BSU_15320","sigE","sigma factor","BSU_19820","sprB"
"BSU_15320","sigE","sigma factor","BSU_19920","yotD"
"BSU_15320","sigE","sigma factor","BSU_19880","yotH"
"BSU_15320","sigE","sigma factor","BSU_19910","yotE"
"BSU_15320","sigE","sigma factor","BSU_19930","yotC"
"BSU_15320","sigE","sigma factor","BSU_19870","yotI"
"BSU_15320","sigE","sigma factor","BSU_19970","yosX"
"BSU_15320","sigE","sigma factor","BSU_19940","yotB"
"BSU_15320","sigE","sigma factor","BSU_19860","yotJ"
"BSU_15320","sigE","sigma factor","BSU_19890","yotG"
"BSU_25760","sigK","sigma factor","BSU_19900","yotF"
"BSU_25760","sigK","sigma factor","BSU_19830","yotM"
"BSU_25760","sigK","sigma factor","BSU_19850","yotK"
"BSU_25760","sigK","sigma factor","BSU_19820","sprB"
"BSU_25760","sigK","sigma factor","BSU_19920","yotD"
"BSU_25760","sigK","sigma factor","BSU_19880","yotH"
"BSU_25760","sigK","sigma factor","BSU_19910","yotE"
"BSU_25760","sigK","sigma factor","BSU_19930","yotC"
"BSU_25760","sigK","sigma factor","BSU_19870","yotI"
"BSU_25760","sigK","sigma factor","BSU_19970","yosX"
"BSU_25760","sigK","sigma factor","BSU_19940","yotB"
"BSU_25760","sigK","sigma factor","BSU_19860","yotJ"
"BSU_25760","sigK","sigma factor","BSU_19890","yotG"
"BSU_24220","spo0A","repression","BSU_35510","yvyE"
"BSU_24220","spo0A","repression","BSU_35520","tagV"
"BSU_36420","spoIIID","activation","BSU_14250","yknT"
"BSU_15320","sigE","sigma factor","BSU_14250","yknT"
"BSU_18460","gltC","auto-repression","BSU_18460","gltC"
"BSU_25200","sigA","sigma factor","BSU_18460","gltC"
"BSU_00370","abrB","repression","BSU_13640","spo0E"
"BSU_14240","rok","repression","BSU_13640","spo0E"
"BSU_25200","sigA","sigma factor","BSU_13640","spo0E"
"BSU_04730","sigB","sigma factor","BSU_13640","spo0E"
"BSU_24520","mntR","repression","BSU_04360","mntH"
"BSU_24220","spo0A","activation","BSU_17900","sirA"
"BSU_24220","spo0A","activation","BSU_17910","yneF"
"BSU_27120","sigV","sigma factor","BSU_27120","sigV"
"BSU_27120","sigV","sigma factor","BSU_27140","oatA"
"BSU_27120","sigV","sigma factor","BSU_27130","rsiV"
"BSU_27120","sigV","sigma factor","BSU_27150","yrhK"
"BSU_25200","sigA","sigma factor","BSU_03220","putP"
"BSU_16470","sigD","sigma factor","BSU_13950","mcpC"
"BSU_09520","sigM","sigma factor","BSU_21920","ugtP"
"BSU_13310","tnrA","repression","BSU_33460","yvgT"
"BSU_25200","sigA","sigma factor","BSU_16780","rnjB"
"BSU_17850","lexA","repression","BSU_21520","yolC"
"BSU_00370","abrB","repression","BSU_21520","yolC"
"BSU_23520","fur","repression","BSU_38260","efeB"
"BSU_23520","fur","repression","BSU_38280","efeU"
"BSU_23520","fur","repression","BSU_38270","efeO"
"BSU_25200","sigA","sigma factor","BSU_38260","efeB"
"BSU_25200","sigA","sigma factor","BSU_38280","efeU"
"BSU_25200","sigA","sigma factor","BSU_38270","efeO"
"BSU_24220","spo0A","repression","BSU_24220","spo0A"
"BSU_25200","sigA","sigma factor","BSU_24220","spo0A"
"BSU_00980","sigH","sigma factor","BSU_24220","spo0A"
"BSU_16470","sigD","sigma factor","BSU_11940","yjcP"
"BSU_16470","sigD","sigma factor","BSU_11950","yjcQ"
"BSU_24220","spo0A","repression","BSU_40970","parA"
"BSU_24220","spo0A","repression","BSU_40960","parB"
"BSU_09520","sigM","sigma factor","BSU_00670","tilS"
"BSU_09520","sigM","sigma factor","BSU_00690","ftsH"
"BSU_09520","sigM","sigma factor","BSU_00680","hprT"
"BSU_00670","tilS","activation","BSU_00670","tilS"
"BSU_00670","tilS","activation","BSU_00690","ftsH"
"BSU_00670","tilS","activation","BSU_00680","hprT"
"BSU_25200","sigA","sigma factor","BSU_00670","tilS"
"BSU_25200","sigA","sigma factor","BSU_00690","ftsH"
"BSU_25200","sigA","sigma factor","BSU_00680","hprT"
"BSU_00680","hprT","activation","BSU_00670","tilS"
"BSU_00680","hprT","activation","BSU_00690","ftsH"
"BSU_00680","hprT","activation","BSU_00680","hprT"
"BSU_28410","gerE","activation","BSU_04110","lipC"
"BSU_25760","sigK","sigma factor","BSU_04110","lipC"
"BSU_40540","hypR","activation","BSU_40540","hypR"
"BSU_28410","gerE","repression","BSU_31270","tgl"
"BSU_25760","sigK","sigma factor","BSU_31270","tgl"
"BSU_15320","sigE","sigma factor","BSU_31270","tgl"
"BSU_36110","chrS","repression","BSU_36130","ywrA"
"BSU_36110","chrS","repression","BSU_36110","chrS"
"BSU_36110","chrS","repression","BSU_36120","ywrB"
"BSU_25200","sigA","sigma factor","BSU_36130","ywrA"
