"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","source","sourceLink","intType","species"
"FBgn0003079","FBgn0004638","Raf","drk","Raf","drk","Raf","drk","flybase","FBrf0207513","suppressible","txid7227"
"FBgn0003079","FBgn0001234","Raf","Hsromega","Raf","lncRNA:Hsrω","Raf","Hsromega","flybase","FBrf0244211","suppressible","txid7227"
"FBgn0003079","FBgn0003751","Raf","trk","Raf","trk","Raf","trk","flybase","FBrf0210411","suppressible","txid7227"
"FBgn0003079","FBgn0011706","Raf","rpr","Raf","rpr","Raf","rpr","flybase","FBrf0105264","enhanceable","txid7227"
"FBgn0003079","FBgn0033668","Raf","exp","Raf","exp","Raf","exp","flybase","FBrf0225894","enhanceable","txid7227"
"FBgn0003079","FBgn0036844","Raf","Mkp3","Raf","Mkp3","Raf","Mkp3","flybase","FBrf0167896","enhanceable","txid7227"
"FBgn0003079","FBgn0015664","Raf","Dref","Raf","Dref","Raf","Dref","flybase","FBrf0180264","suppressible","txid7227"
"FBgn0003079","FBgn0285896","Raf","btl","Raf","btl","Raf","btl","flybase","FBrf0187664","enhanceable","txid7227"
"FBgn0003079","FBgn0020299","Raf","stumps","Raf","stumps","Raf","stumps","flybase","FBrf0187664","enhanceable","txid7227"
"FBgn0003079","FBgn0003997","Raf","hid","Raf","hid","Raf","hid","flybase","FBrf0105264","enhanceable","txid7227"
"FBgn0003079","FBgn0003731","Raf","Egfr","Raf","Egfr","Raf","Egfr","flybase","FBrf0158996","suppressible","txid7227"
"FBgn0003079","FBgn0015269","Raf","Nf1","Raf","Nf1","Raf","Nf1","flybase","FBrf0193208","suppressible","txid7227"
"FBgn0003079","FBgn0003733","Raf","tor","Raf","tor","Raf","tor","flybase","FBrf0158996","suppressible","txid7227"
"FBgn0003079","FBgn0035993","Raf","Nf-YA","Raf","Nf-YA","Raf","Nf-YA","flybase","FBrf0220141","suppressible","txid7227"
"FBgn0003079","FBgn0264324","Raf","spg","Raf","spg","Raf","spg","flybase","FBrf0222223","suppressible","txid7227"
"FBgn0003079","FBgn0265778","Raf","PDZ-GEF","Raf","PDZ-GEF","Raf","PDZ-GEF","flybase","FBrf0152217","suppressible","txid7227"
"FBgn0003079","FBgn0050476","Raf","ave","Raf","ave","Raf","ave","flybase","FBrf0190559","suppressible","txid7227"
"FBgn0003079","FBgn0001250","Raf","if","Raf","if","Raf","if","flybase","FBrf0152039","suppressible","txid7227"
"FBgn0003079","FBgn0003651","Raf","svp","Raf","svp","Raf","svp","flybase","FBrf0078827","suppressible","txid7227"
